Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
AC_pH4_0,0,5.00323233,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_0,3,5.014134,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_0,6,5.016297,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_0,9,5.043927,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_0,12,5.011965,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_0,24,5.003232,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_1,0,5.00979026,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_1,3,5.014134,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_1,6,5.005424,0.046513,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_1,9,5.039735,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_1,12,5.027032,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_1,24,5.052249,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_2,0,5.01413393,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_2,3,5.033407,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_2,6,5.016297,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_2,9,5.020608,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_2,12,5.014134,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH4_2,24,5.056379,0.047467,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_0,0,5.16809693,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_0,3,5.117931,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_0,6,5.112167,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_0,9,5.127449,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_0,12,5.12934,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_0,24,5.110237,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_1,0,5.08473587,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_1,3,5.104421,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_1,6,5.402648,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_1,9,5.127449,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_1,12,5.133109,0.01,0,0,0,0,0,0,0,0,0,0,0
