,mu,pref,sigma,K,delta,gamma,,
AC,1.1782128,7.177087,0.22140858,0.2244806,0.40128908,-0.014503998,,
BA,1.0470767,6.560426,0.21684316,0.07001369,0.73212636,-0.06864689,,
BC,0.9512643,6.353563,0.17967169,0.060920306,0.7440978,0.032748215,,
BL,0.78554714,5.902932,0.32236388,0.19095649,0.61446106,-0.026534539,,
BT,0.57027096,6.119488,1.4206161,0.13503763,0.23990138,-0.07917642,,
BV,1.2186544,6.128678,0.30101317,0.121307656,0.7583787,-0.03505952,,
CC,1.0504652,6.0570765,0.81647575,0.25075287,0.60960454,-0.036094766,,
DF,0.3077402,12.701357,0.0638188,0.110443935,0.06389106,0.063826725,,
wt,1.1650752,8.146496,0.25498214,0.27058536,0.11973777,-0.048922073,,
delarc,1.2330052,7.6239095,0.32516885,0.3453961,0.1691341,-0.09257955,,
parc-,1.3305644,7.6616564,0.32745197,0.38227385,0.17014587,-0.09189705,,
parc+,2.6091962,7.2937217,0.07142542,0.5506786,0.705408,0.039935973,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
