Species,K,pref,sigma,delta,gamma,mu,dead
AC,4.941202114767949,6.748503873637604,2.0168988910512686,0.4285450519010947,-0.005479724372113457,1.1924170512250336,5.030414078191997
BA,5.48015534840996,6.523799423287327,2.0560062968294126,0.6798981091134247,-0.03700592596064893,1.0162598824886957,5.106307100101181
BC,5.128833167852013,6.2204567566822755,2.1638979477765647,0.7240546409680977,0.01385000091088158,1.035483438751322,5.162925660096178
BL,17.2100655273021,5.870070035917925,2.2376729050946005,0.7388303955833894,-0.03982644831508919,1.1461668792888564,5.033005860759334
BT,5.132284123681016,6.090311508138721,2.0623781694172942,0.6989755391248772,-0.04431368036481212,1.1084380940972363,5.004821837249383
BV,14.115437100082167,8.439410274880888,0.4315980638906242,7.868573326862891,3.5979632967231945,5.651754812633996,6.289622327416569
CC,5.156171515454672,6.106605114430426,1.9466129884855201,0.7192170493724473,-0.03315103114211785,1.30319109711241,5.014017064946105
DF,4.9877720115371265,6.870052047416175,2.5929639600602155,1.0813358508283855,6.060610813120587,0.9751024921459309,7.602228195428755
wt,4.774848333656789,7.0662296196410805,2.2005677641553154,0.31041136140895265,0.00013222055223651103,1.1134134736684025,52.85665710733467
delarc,4.992535134427621,6.538798181351861,2.01285385038272,0.4853913675832315,-0.04456593664532985,1.0332469540078832,5.003618014027612
parc-,4.996188637292109,6.528574314631124,2.012114061664325,0.4877681572818071,-0.044462753416253956,1.039672744988697,5.001746698812341
parc+,4.925659137183502,6.7495638448459205,2.202519393731877,0.3734589199218135,0.011499139247060704,1.1639706990331167,5.022993310419395
