Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--delarc_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.09010543170830478,0.040626522296148805,-0.018390972777877167,0.019524209183519298,-0.0027128423831385123,-0.023994208454437883,-0.02710678931973551,-0.03309855973752945,-0.014959703014920585,-0.03945348287568143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.07986404752115842,0.04744502128466315,-0.023966578143122405,0.016383959683387173,-0.009095763525237208,-0.014656701256399568,-0.02490858730414639,-0.02247456544281348,-0.02919739118088846,-0.028853837110750045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.07025932206569804,0.047921546799657135,-0.029543838630551867,0.020724024748348672,-0.007352960764066033,-0.02005591237188681,-0.024812869771343206,-0.032553865742748204,-0.018712722620238435,-0.015333119285819324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.08433748149353526,0.040102645621999444,-0.019108578329500945,0.009942794050211493,0.0020640086933322575,-0.017204829648784968,-0.02004175153115521,-0.040468346625566476,-0.023151375610867272,-0.025932443290948858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.0811108690743213,0.06309322340170972,-0.030964624371541582,0.014731000976070113,-0.005970897523929245,-0.026604998651082103,-0.017820439184813398,-0.02080880434130845,-0.05422108915189038,-0.012033581158713147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.08446088291218751,0.05393759012708197,-0.02926360786932966,0.014940366919921795,-0.016024479577722753,-0.028785722301058147,-0.013631319397169613,-0.01313264896526285,-0.03861524966423924,-0.02337515311558609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.08479759155570166,0.04886320451679439,-0.032053337937787814,0.01964275097879379,0.0012902167876777434,-0.03269352370630141,-0.026251218534358176,-0.021054562145601145,-0.04359017406630775,-0.0084402883797884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.076581431808679,0.0513255472400266,-0.024591482744916626,0.02067392181119193,-0.012266142058955586,-0.02747144434277129,-0.02212752622754677,-0.017015195176329302,-0.04045224960245514,-0.014146201638099943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.10954309865184451,0.06921999759810124,-0.03466566033823336,0.031073253718407263,-0.01640633940858685,-0.02988404095982727,-0.029032963219544163,-0.035986473751456846,-0.10282027030444654,0.025189109933765035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.08983237561324368,0.08493105213765215,-0.03603540299703245,0.024421621196619846,-0.026810341070851552,-0.03950986755930859,-0.020954908990989556,-0.029732875508134773,-0.08448839368055695,0.024576452779381166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
