Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--delarc_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.09901200366570898,0.24567236316997723,-0.04890758925239028,0.02324185738825928,-0.043461630616499033,0.02093007367752169,0.0063370379748875745,-0.04672243083138828,-0.2618937812850851,-0.15006848343931467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.08974310891378831,0.2044314789359012,-0.03790008772974428,0.03612327228745688,-0.029539973547115284,0.016320488012355305,0.018434799537872498,-0.057231984149016764,-0.2644631378717072,-0.1317785439696973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.15452372691067667,0.22202691920101644,-0.052346296006732664,0.028464265946784736,-0.05184087905789848,0.02711457477882504,0.018829759845267174,-0.06297601229713663,-0.27427354384537617,-0.16538309497758746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.08123952916782833,0.20164514168287104,-0.049024062712231406,0.02907639873983419,-0.04309837027655348,0.00160712274034386,0.0072843491780045285,-0.03128522580975424,-0.22737662040426027,-0.12592884193215034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.14473637196680778,0.3681446305079305,-0.04677559995861806,0.10084957388513112,-0.057951083301526055,0.022742248611605675,0.037114366546435205,-0.059233178453438964,-0.4646590601879617,0.1452664148807525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.1908729901707367,0.3742989470250905,-0.04096858425065875,0.10208236116996927,-0.07243231320105817,0.023201335478250106,0.04090780617831194,-0.05417296096115658,-0.5236600151439398,0.15010511803157306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.1609183524654287,0.3422999577321436,-0.04890600082100086,0.1032527990347665,-0.07163354437231369,0.028216810447528315,0.035616246824679176,-0.09410467403090517,-0.4131426240017881,0.1477173612185794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.1707751698945852,0.276337054784855,-0.04993058175901356,0.08512125722011146,-0.061543652853402124,0.02487472250085809,0.03683688432221181,-0.041715746295192965,-0.39428159794081813,0.1437611746229231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.24166467659337373,0.29007752883207544,-0.03673020069527885,0.084229240440966,-0.14713478838053085,0.028591478193259755,0.05183624228543563,-0.0512125432199758,-0.5221242058009881,0.13144339752990913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.28157979733189153,0.31972878271875826,-0.0216923559303193,0.06741659544489306,-0.13277587622890008,0.030664957952888122,0.06953906912356617,-0.1244776379689574,-0.5820706775517244,0.1627281708861499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,0.25345125990231404,0.3034453192531414,-0.047665465402052444,0.07442525090163817,-0.08010635171409534,0.022940777398483908,0.05149549381807446,-0.04815778482219448,-0.5828671984900923,0.12367952493302854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.16555404553594802,0.3223669345482535,-0.03285972241879158,0.10605499844836153,-0.08773310653865336,0.034374228046964043,0.04483389744211151,-0.08407720426421451,-0.5576930955173853,0.15981985049565206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.17274450512278985,0.34892028200399616,-0.023071663426640264,0.0655328121546494,-0.09147175507538992,0.030779480700907504,0.02290908375026091,-0.08234616078922281,-0.6342200290905715,0.10495820412898194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
