Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--delarc_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.02133826498266147,0.0448487947460102,0.09925445209054842,0.011065532540821512,3.953433069197897e-05,0.0024537161284166826,-0.0010155300601668962,-0.03797653691114292,-0.0644878672954181,-0.12628155535167968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.01753933548765338,0.04104824733313011,0.10350041583990274,0.019510585403312807,-6.060396037671802e-05,-0.0005773047600751344,0.0018801685066326794,-0.06618028289921905,-0.05719382079075213,-0.11022793510847763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.013257654615394453,0.041040229202936526,0.09885848415772551,0.009004371167848942,0.002025624539541161,-0.010400458214723546,-0.006255538972175641,-0.03700116792288812,-0.0567808540829498,-0.10450953915067344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.019610370648619927,0.0384140114777762,0.07999693835883037,0.03005676361853662,0.0020940252328696452,-0.005696822971753453,-0.00012427944851958143,-0.05405265076652816,-0.061969539560377575,-0.09909001137899315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.041295076952032425,0.12469320905759279,0.1816684194168319,0.07076111566437328,0.003367495282512638,0.0008925100853261767,0.01507992214320795,-0.030532856973940915,-0.059094872218759156,0.0999830692731168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.04457160061144311,0.12824485328696344,0.18634330680188924,0.06831706249519533,0.0033525846283072964,0.001601464187969333,0.016756620813647042,-0.009983494576552647,-0.07086322287664464,0.07977231331007635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.0622663865643351,0.11000266289581422,0.17839352596551183,0.057620467708810505,-0.0015082013121117763,-0.004725739538021711,0.02391158532513224,-0.04936195161031641,-0.02679736399780149,0.09831171668094137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.05657697491671729,0.12161621198220099,0.19167013784627548,0.07298597387969495,0.004503579787586043,-0.00192258665419143,0.018461109054801257,-0.023463387259322666,-0.08051925328600666,0.08820432841453861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.06044830721681531,0.11679771482134645,0.1925503788969439,0.05693965324079211,-0.015062042971991972,0.010823897729101393,0.03450064853319657,-0.06023642022486615,-0.08486199312235997,0.1282710428795089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.057231979750744684,0.08072358345693868,0.19102387871917176,0.05183198791645142,-0.01921240694496942,0.007603644297822664,0.023229946304598587,0.024855621189850827,-0.09034937053108993,0.11323232283896725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,0.08159952118182959,0.09326354111342323,0.2101426254261447,0.07427310081279793,-0.018188286809169715,0.006505120130984684,0.020506994648148178,-0.03771790877632474,-0.11029445024774129,0.12008092951839389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.0963802165797223,0.08054531381829926,0.1835341106662932,0.06761670542799907,0.008809990102182266,0.0024499459305535216,0.028456519673699915,-0.026696428228979538,-0.11717199830743279,0.11624681133614936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.0806006963842589,0.035092229159629874,0.1733965555724242,0.12080293058539211,-0.017065269138825976,0.006925114961745954,0.03194074670743682,-0.05610878348512494,-0.16350222643950715,0.07459879833719006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.08403873947651494,0.017644311273875453,0.1676534351058628,0.12059400690962438,-0.030632448112187165,-0.008827671078236201,0.024115493742992045,-0.03281800693467908,-0.12647612640229258,0.07138905866314536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.08328874919563532,0.021819852190497126,0.18205761962124836,0.07757024622157864,-0.022221895315400926,-0.012020063810050483,0.02893368656382612,-0.021089235589556065,-0.1301604911717384,0.07850232473858025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.08809798555691603,0.03031367678033269,0.1717586310305025,0.08741563373771699,-0.032822970258800876,0.00356680538343347,0.030346154871842137,-0.025455385219791665,-0.13051172584457243,0.06397198660704105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.008155076011367465,-0.021644490328819856,-0.027852500243031455,-0.011802235917876595,0.002121342624659124,0.0004322009144917781,-0.002709524255731832,0.01604303546249866,-0.00322148705954137,-0.02158785297332898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.00914050357983164,-0.014743011465863036,-0.028550850800845927,-0.011611546323351239,0.0010608275477652967,0.00359293754172066,-0.0008257242518922551,0.012925580634695028,-0.009718075799553291,-0.021366221025262186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.01102002910621788,-0.015566751009420213,-0.02845008260368005,-0.013390325609108678,0.0025186718886961103,-0.00012507892011300262,0.00027671758895335,0.012274464145302769,-0.00846546627905058,-0.01642870971366115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.007966455025193483,-0.022599272914230827,-0.026364598748800542,-0.01389710788007664,-0.0012383082525237745,0.0010667401438821914,0.0003719555262638179,0.011590894753842246,-0.0037511084001997236,-0.015589328082683292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,-0.007308316679428455,-0.019408398698205535,-0.0322194299798297,-0.010592771099637386,-0.0010657798450278196,0.0024441031803903385,0.0005212591782860137,0.01583648099847462,-0.008938477883196393,-0.017645256759031957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,-0.002245731567559035,-0.02839484415462484,-0.03200518145509388,-0.008972686916265798,-0.00021236153724400863,0.000679161836919578,0.002018255682095238,0.012733907132692958,-0.008655802479580692,-0.013321302904059059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,-0.009225066080689433,-0.0226817177641003,-0.0577842014250548,-0.014186268013132653,-0.0015505384912957306,0.0012520889840696174,-0.0018157371457504187,0.012857536743192568,-0.009517658683268915,0.024274974224036155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
delarc_pH6_1,-0.00832756155534931,-0.027424075192083487,-0.057129361553360576,-0.017080015595192496,-8.517743938642986e-05,0.005726275092557718,-0.0018309931748587145,0.027811051037000573,-0.01273617287530847,0.012699443539199618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.006126718770550643,-0.030863326648655143,-0.05446282866856328,-0.01667501889331186,-0.001590544161913188,0.0034903217220435987,-0.0054675180464982985,0.025756629784793955,-0.008779413254688619,0.016341827578194766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,-0.0078009205068583064,-0.019835232941676745,-0.05458624971625597,-0.022777169568707113,0.0029560191394842183,-0.00017222057380106035,-0.0033928405282937953,0.017026926262871077,-0.010640721826449685,0.020845823896967847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,-0.010044111766568992,-0.024466216536643715,-0.06261883583243776,-0.019839546856996806,0.003138433302874148,0.0047572863685048155,-0.00647077305485373,0.01726421799186779,-0.008261359160685018,0.028164316717049356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,-0.012384150337589822,-0.02523031328359376,-0.06739145747993305,-0.021778021440233875,0.004156992736717929,0.00016051662194988052,-8.615960083577846e-05,0.030631816008168715,-0.009723018734999322,0.023267206364999644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,-0.017217196227739685,-0.019692397073883084,-0.043843404564844535,-0.02179633720575468,0.004640537338412327,0.0019129606984231793,-0.002562801075046477,0.016279071258461994,-0.014946335414829457,0.018849314873957114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
