Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--delarc_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.08595594951275576,-0.06538832930928987,-0.0159186208098317,0.2461494298923112,-0.033344249505873606,0.022711118027648847,0.013410275361865107,0.0018661440018078541,-0.22431867757933618,-0.04495360283666979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.10667862620528629,-0.03473807020315334,-0.020003331141627348,0.2180675724209489,-0.06520507064162065,0.03859190035004005,0.030024155963860127,0.012381736028372592,-0.22388872003628182,-0.07573936290310128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.09568206554886115,-0.07035837623979087,-0.030765318780246638,0.18547493919973138,-0.041970585631206626,0.03167231867332822,0.028911999371712623,0.01679387282134722,-0.2146891430789686,-0.014582335301067513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.07420179089207365,-0.023506613332049345,-0.022929160986095678,0.18037500756792732,-0.04623184955678881,0.022651012917656612,0.01814350093512431,0.03132947007072684,-0.1960926597180736,-0.05177106220032209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.15728029729110068,-0.20400891003725316,0.027989553648411575,0.2861376222198749,-0.0532413069996983,0.07418910491361243,0.10419304971299749,0.05242775902961908,-0.4328104403214123,0.24656613523019072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.20013420462041442,-0.2256217837661667,0.030891828444259976,0.2799064186353075,-0.07304193672683576,0.08104535127139607,0.09283195030713538,0.08315072472895615,-0.4565590387813585,0.24598514595433418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.1539814931012528,-0.1860254043138222,0.0349648199667749,0.3440621082901793,-0.069418600987562,0.042387026886901144,0.08485173258485028,0.05262023137801368,-0.42562441685439467,0.22692387463524935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.18361091593118473,-0.20113899231119,0.01064531770008414,0.29757580401173434,-0.06197510367785784,0.0633284094200834,0.08726403030809828,0.07684362190127698,-0.43697531120892125,0.23954417261295013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.1005713995946976,-0.19896220470292736,-0.00017577030493513412,0.2426859000515516,-0.05880067667195007,0.06146362766704481,0.03872188149060569,0.0042089065245312154,-0.5393058231432475,0.013787768666591977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.16757054397795831,-0.23791872778623976,-0.014640906354331448,0.2231004374263727,-0.06304259120972584,0.007939560819093297,0.08974277456452988,-0.004335047124439606,-0.5255550197187973,0.021333984577542393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,0.18322594468360356,-0.26772459349676,-0.0023230703081935727,0.2813207965097188,-0.07098961410193663,0.0583444052894154,0.04694630041232574,-0.0053658066204060675,-0.5977993458558034,0.038559992659998966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.10916951110708002,-0.2221287403907626,-0.0010200554634565914,0.1895697372086832,-0.10803679382914433,0.04563528811518587,0.06946494835874308,-0.02272240451861011,-0.4441259124587573,0.048389431043001606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.10644533785545955,-0.16401459369241547,0.01590898904504012,0.23307297467699523,-0.026313337540739907,0.08036918756592534,0.08426850788740688,-0.02760135793936965,-0.35964414347651547,-0.07815564684934267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.13449982202773836,-0.1970904241903159,0.0019710911126078496,0.19440617580898106,-0.0032865513091825975,0.05044978595095808,0.06092908519077236,-0.0346177140230556,-0.2761999350498715,-0.06672541798618825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.11027348478041264,-0.1647892012568596,0.0038056318093415177,0.2431047678880555,-0.04192638565421753,0.025655045393530435,0.05940946452238637,-0.02592606940752138,-0.27792701657901975,-0.06734380396366445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.1520007413735046,-0.12440656424581033,0.005259951309746371,0.19245127012791197,-0.01027652208733818,0.0568523243519113,0.04799474922211274,-0.029386653768141632,-0.35961270919677035,-0.06654066955468255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
