Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--delarc_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.057254161540135434,0.04202950833507044,-0.04427865709562826,0.038846263920118945,0.12635585555928233,-0.0068257389663030285,0.014760670124188724,-0.06495823757682481,-0.10583266710255133,-0.17884006277415093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.048809195642319066,0.04223711258569813,-0.027632301296917305,0.02289635441083786,0.11328131114699595,0.0005367027435694705,-0.0033174410274090333,-0.05462260345422217,-0.10346899791033533,-0.16020823687719918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.05112486217494892,0.04234093176322463,-0.021639441156597886,0.03286076564665723,0.10742866913605806,0.004328770697238329,1.6836836205226244e-05,-0.06202760086273371,-0.12739662423689407,-0.14852607393191883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.05836062814149521,0.027622738657924143,-0.020887149666314535,0.030432742714436477,0.13667228624467623,-0.005368372903448407,0.005913101091535515,-0.07767258266250239,-0.13578414112531942,-0.14077815442629485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.1197901143044557,0.09317041493081692,-0.03227752541455076,0.09340279936507016,0.2220109012162151,-0.003709595356055579,0.03381144128577864,-0.07654489808391941,-0.22408777203532348,0.08535337933197457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.13016040162082118,0.08172111977883817,-0.02954438108141007,0.11195520956312181,0.2264406022799971,0.000736495304204844,0.007608965916113689,-0.10392237099899872,-0.2001551003339093,0.0859183174956833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.12087709705244101,0.06645778659548936,-0.019999702808892596,0.08458194410853573,0.21767911600576637,0.007481931581809789,0.029840878653542496,-0.09603153882082552,-0.19385763844535892,0.09388938562195426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.11107940599403303,0.10733835685168108,-0.014551074072192218,0.08844800473697001,0.20529765464122532,0.014397138500707632,0.011691602862075625,-0.08022930909454339,-0.2227074923293422,0.09015497145384713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.12449649471668121,0.0702567565335852,-0.013385501737584887,0.11525137445808431,0.2588029535321275,0.013400439098477365,0.0366252917063463,-0.11333381096913436,-0.2273350667265123,0.1745051899438967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.15029488953215112,0.0363713434935831,-0.017025994332102324,0.127103386339934,0.24736899191290948,0.02595517789965253,0.05039186312007191,-0.05844403517918418,-0.28945943268218444,0.16672793045113593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
