Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--delarc_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.03202843850640498,0.013630563074155994,0.0022780118532397826,-0.0011370495777658146,-0.006764825376601005,0.05319844931060367,-0.0009607060622099956,-0.05698972737295148,-0.017350707073574483,-0.06119405720180467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.011845204681562988,0.0018170262555308318,0.004440459828904788,-0.011254427184796207,-0.004908294809941688,0.030196231802237097,-0.000802454502200302,-0.020025556582107158,-0.008805830086297964,-0.04576396931691661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.014911812929153122,0.0027853312817118746,0.000750932465712335,0.013213273187613358,-0.017703230972401805,0.051930650861974306,0.01179975078198249,-0.06482333728638678,-0.009796645751668383,-0.046330147460305504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.01584420442317977,0.005836644081560815,0.0001927513509745825,0.004998398070102151,-0.022780875403676994,0.0641482990467921,0.006964473449625074,-0.044119340387861354,-0.0278414983595924,-0.046504666162452295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.04850378149836929,0.06936622675953676,0.025622385462705538,0.032106020018944276,-0.017052494936177262,0.07325003612665053,0.03916662673567139,-0.0029625857823892803,-0.06457863146520179,0.05688830929727335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.019583328039911772,0.028075787758900097,0.041653122462777664,0.05917708886625328,-0.011278752193016852,0.07213745160089077,0.03992518929460936,-0.015561862943855963,-0.03470318347782546,0.06130150430673815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.06461872478056212,0.04532992292479005,0.021152068227327066,0.04896706712938359,-0.014211758418494593,0.0733274078687005,0.02373821975602566,-0.042184798578610225,-0.015184495424163402,0.05475731544986205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.055820911752626934,0.03730741680154335,0.04205239923387444,0.029962695751177222,-0.011077745575457815,0.08001952332525473,0.037715654557003916,-0.03975049723506621,-0.046101270236641824,0.07436058534106808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.048803711024153484,0.008124308018013832,0.01605165984744773,0.02125881761332731,-0.03299194948545292,0.07107241011852318,-0.0015939362375470617,-0.07665979636488889,-0.09953801640349882,0.0022111817680137277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.043382846060937834,0.017090191600803772,0.008935248248441066,0.009443288292209416,-0.041010254325102205,0.06604556914054505,0.003262591939419509,-0.0834281657749544,-0.08521661846736525,0.018233693183156784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,0.04568169198707557,0.04404854012066093,0.016149749625879135,0.019163447121846613,-0.03634485080878695,0.0773441610135057,-0.0051282998559105675,-0.13511240968318736,-0.08033100108433837,0.011267361461346888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.014066043016905689,0.014146496164207547,0.0089403916867045,0.007578555593348068,-0.0341181802334588,0.05128419732391512,0.01490180149330231,-0.07042769510015522,-0.06015544241618202,0.010522222369504368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.03045064973320974,-0.011478762100248235,0.0035823827455549137,0.012064045707128292,-0.019703235840019973,0.06323663807696786,0.014227594953111333,-0.06527992974582088,-0.058892676745662884,-0.01146831688612861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.022509162512850824,0.003036433978856581,0.008375226367953355,0.012485652358838074,-0.01687914261472938,0.05462264335471328,0.007578600285088888,-0.04461128319127728,-0.07237760119949992,-0.01800130195470284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.029737195139750837,-0.010024974421476542,0.004750142677322677,0.009264614876643148,-0.0182079522576912,0.044853639065733426,0.010016977251507343,-0.04375247717288364,-0.05969889016295583,-0.010199885097858699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.050165829228075304,-0.01922087407346977,0.0030175943952053795,0.01422637536149958,-0.032761549818450995,0.0679277703660014,0.009439586080691736,-0.045154044590890396,-0.09258852296306387,0.0016862259124932083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.00496295616293893,-0.005732467189512175,-0.002990170952094638,-0.004318580281839747,-0.00045180036949560705,-0.012366451416974482,0.0017641162489662357,0.011756563787146105,-0.01102942350320518,-0.014930439374369123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.004638258151143141,-0.008899615137716348,-0.007252051724404422,-0.002708807277452686,0.00021753172288932251,-0.008180233880715527,0.001350590789731106,0.01214977757073939,-0.008523995871858104,-0.016776547170163168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.006699616438709199,-0.007398968109172649,-0.0020828034704470115,-0.003175195639588587,-0.0011364475066733104,-0.014411626727036808,-0.00017891883343944107,0.012154919671542619,-0.01029158390208107,-0.010041370837260848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.0009096615923487622,-0.007087014940688792,-0.0036708852213442984,-0.004201545028582864,-0.00017520115224887482,-0.009635638504734504,0.0007934308975287107,0.01000546750632803,-0.014346424439598035,-0.014034138144520314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,-0.01447625221401129,-0.00735572801335998,-0.0015679477276685438,-0.004689988752260155,-0.0012209325636048682,-0.010827252725746646,-0.0018792093227333994,0.02678528217133135,-0.015710617707758813,-0.012318962215972335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,-0.0011138526560819668,-0.006520280510835025,-0.005299291169351858,-0.004423140332143269,-0.001153998399841721,-0.012947555689100665,0.0016398065454205088,0.012147856413022334,-0.015420082424078952,-0.01017107187891784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,-0.0009137590152575915,-0.010265016752781105,-0.004484066585200314,-0.00562309865495595,-3.7654288841980115e-06,-0.025500585136165762,-0.002021954053931911,0.014125072536990047,-0.02740145945759571,0.018827023074314324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
delarc_pH6_1,-0.0030729209977890483,-0.009984138324735282,-0.0072885135680680006,-0.009117250719269656,0.0012541125044631565,-0.032772340126862025,7.244368974606191e-06,0.029581138780340556,-0.031102690598117596,0.019233749583363536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.0009715125681427507,-0.014364603144805069,-0.004440930268281828,-0.003473540951659823,-0.0009015012178165111,-0.032103417107389995,0.0005596919635148804,0.01264473904835303,-0.017434816775519568,0.0172242793843717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,-0.0069129654497879995,-0.011015529543890254,-0.004908916126410275,-0.0006003058262412317,6.332121404778713e-05,-0.028025563633190875,0.0006489299602158692,0.017516866140270038,-0.020614108624868094,0.010586661787946584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,-0.004268121983370056,-0.0026181237897633216,-0.005793518004534037,-0.007100430803535426,-0.0032829186340551024,-0.02860190394658434,-0.0021020937340496025,0.03521586528878012,-0.036914278319429436,0.012203912289165286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,-0.0062220520003820265,-0.012740290503260556,-0.0022490229534552143,-0.0013449446488495757,0.0035220437636598934,-0.0388166005457954,-0.004103058497826366,0.03038187273798268,-0.026549539014332654,0.014859980601493432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,-0.005955612294618849,-0.006004396050399088,-0.0049254561158949915,-0.00116488324397284,-0.0007903319716696512,-0.026343333355718007,-0.002601027733889287,0.023414721989842218,-0.012046035104633672,-0.006845255288012001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,-0.009618276073394912,-0.004245281763698745,-0.004776344339808692,-0.009235619355762462,0.00046746401784374716,-0.01846382936786698,-0.0006893053810800549,0.025397138116962238,-0.018948990329290216,-0.0031485656258123727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,-0.011127565863096845,-0.004814326131270955,-0.006042767353760808,-0.0048944536867834955,0.002473774178196554,-0.022707998716555856,-0.0002462771715110409,0.02256599486603037,-0.014895153323026458,-0.003572835746909614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
delarc_pH9_0,-0.011193211114681934,-0.004145563809484567,-0.0026359428248732626,-0.003719380013239773,0.004830862251312836,-0.015421269745363491,-0.00321766691768299,0.020925322867444026,-0.018852125584228857,-0.00983263521111044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.003926186226973
