Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--delarc_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.02216048794798553,0.0322562915003737,-0.0731870431832605,0.01296622343563839,-0.01626172756912875,0.0025887591650446333,0.09393908930259108,-0.021012922317376767,-0.07432262336804896,-0.042245923519974755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.0353286198302901,0.029347046980300256,-0.07820501862007762,0.014823224922267553,-0.012735968505629625,-0.010994131508556642,0.09812796226500167,-0.01746796220166447,-0.0824553288112435,-0.0388878331512071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.02746537389557646,0.03535162765978147,-0.055086479423537275,0.02323855914676602,-0.020721485528983577,-0.01343610452402019,0.11518570595380409,-0.02622624853220971,-0.09111091599819943,-0.05777942140414582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.01732084154794195,0.03527499621121578,-0.05613830097171518,0.011336862694208878,-0.0222938517465904,-0.009263284936061373,0.10124618941811722,-0.014931536485572624,-0.061637251800958734,-0.06403405250434803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.045559288804854645,0.018614789377746126,-0.05757560343390493,0.09431887468226945,-0.045091998555808865,-0.013422434663845472,0.15278242651201057,-0.036289531602321755,-0.09415439856299404,0.10559043089079712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.03584414235139064,0.02210154683526564,-0.046141811780145654,0.07502801592259305,-0.03856939909595024,-0.006347870005993168,0.1452281435628158,-0.022187116370414903,-0.11194501195639452,0.11732120398563613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.06873384145483294,0.03635364112459406,-0.052837508527572144,0.049656597129777866,-0.04526928357704056,-0.0035580506389859437,0.19112629974028095,-0.05919290476109141,-0.13506042148892605,0.12037963299293315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.059611547908836805,0.018887907880986023,-0.05502847947570009,0.07699489713165622,-0.06770895671828288,-0.007373717523271056,0.1592553750009519,-0.016394082624768918,-0.11061614751684194,0.1127034993852367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.1007344543451504,-0.03610346812770054,-0.04452672463381137,0.06865934742032548,-0.07004750875644791,-0.004238311853361032,0.16148530090065752,-0.02451722799046167,-0.16767282907000702,0.05588324948836564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.1207669267340806,-0.04766607225138656,-0.051758388702140154,0.05714892863726204,-0.061906821744455734,-0.0002508827778207071,0.16503314521826762,-0.04397419810376087,-0.16693084084206142,0.0691944855547247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,0.07154758652824017,-0.02357450133032651,-0.04731663684492283,0.06985747739576491,-0.08319594192065542,-0.003999171688261889,0.15840568399056792,-0.028982481097336855,-0.11859101139920078,0.0455052780888408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.07532716262437728,-0.027591982211350743,-0.05072107150290243,0.05412192201580972,-0.08544548153077533,-0.001490008774031279,0.1758032545537445,-0.01745097568860966,-0.12606325215366468,0.043166714390112174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
