Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--delarc_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.0349977057394774,0.03593514564568581,-0.042483077711709165,0.061411508456196466,-0.023995208861711224,0.012859512957865771,0.0005418323644477399,0.15750615034738316,-0.1758149385743815,-0.07125777007930952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.03969343917687302,0.03115836837693401,-0.06026115891564152,0.03711143375252899,-0.02351477984500968,0.019390183403764083,0.012221550206127375,0.1668380087160546,-0.19402935929110515,-0.03890682542939549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.026280088410105394,0.013915538902839895,-0.04861150401441947,0.06601398975952809,-0.02002545283216497,0.0091167231341419,0.003819385825291925,0.13290424438760334,-0.1636582757937519,-0.030053878159302737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.05582022883645866,0.02183470201395128,-0.03596105422500683,0.026159941247947828,-0.012829760398877708,0.0025894937664270416,0.009920116434602633,0.15824561903658124,-0.18040903520810866,-0.05566939175128937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,0.14836523238731467,-0.02574715416068616,0.00023630848073440426,0.1493420542242087,-0.0619708473397338,0.032752089816267066,0.06121847616103679,0.21958326399650266,-0.3544561631621225,0.14334819801961599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,0.06024827570694944,-0.057901919534348936,0.008097519319018592,0.14932280074157148,-0.05287889506343913,0.034255709560668965,0.10168406289880687,0.2581656016733336,-0.3858598696084127,0.1975381727289895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,0.1197562408220509,-0.043906356690694495,0.007206325315586895,0.15440627603913135,-0.040878064763610764,0.03642202517260675,0.10425999500019392,0.18123404194155462,-0.37952594763720804,0.17369692322352656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.11817090525899243,-0.03176071442987609,0.0017018452562067785,0.15888012710634783,-0.04558542579088521,0.03275825531748327,0.049697788203864,0.2252304746777468,-0.37575973290788095,0.1793379357311389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,0.13947294849092542,-0.09135548814483313,0.012183730856555964,0.08953011787941921,-0.06433853376008897,0.03272348179279462,0.06938437680997278,0.21731621761360898,-0.41554130744027057,0.0801618329613753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,0.16143908614211763,-0.10198515713538811,0.003591353582299273,0.08565803099423648,-0.07925759081121374,0.032662016250517054,0.05983961509783629,0.2385318521102486,-0.4104353630947675,0.07949353392357413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,0.17322071266725017,-0.07634901378303767,0.017209768306625926,0.09183834599088071,-0.060431807565948244,0.019893731139600263,0.05365554875329785,0.23422843533851534,-0.48758541514206183,0.10385707135433735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.1566467942427034,-0.05855607313630371,0.009411070894287988,0.09465517201501392,-0.09155071858478632,0.0266978007133888,0.04465524550527333,0.2235051549064077,-0.43656793468510335,0.1006408651885779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.1582374567992013,-0.04922208583873252,0.012594617953443014,0.09998482707401983,-0.04835846285457198,0.022163056621085038,0.028075736678488877,0.13626475602226415,-0.47121080861143466,-0.01218160597688478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.12070440212669582,-0.12489990360872903,0.039945992488899955,0.0661245598498246,-0.040153837864813594,0.05196951801362244,0.04295100732665995,0.1388884730151166,-0.4099138217225022,-0.009268901757895942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.1268555583642877,-0.09340039672572978,0.0166966383094373,0.04956792775379575,-0.0368093452975154,0.042336835365580486,0.029765312033502946,0.16699948193910333,-0.4126714056924633,-0.012993118183120435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.10510209092627401,-0.08711442490148802,0.01096063948195914,0.05491017279741557,-0.04649921104473913,0.03859916715518288,0.027407973107436426,0.11667364493822276,-0.3128027094479488,-0.030889855145436275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.02583745801902336,0.004568025827731776,0.001419936876906001,-0.015693219427181323,0.009749169186081574,-0.0057678188804699045,-0.0026273576234993727,-0.03713641315536655,-0.026795488553850548,-0.025531890531596928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.020370574834878027,0.00427981049956187,0.0019735136288015747,-0.008998783770138803,0.011710180476631806,-0.008433961092453939,-0.006733198541661967,-0.051107596369541215,-0.024319966241069465,-0.021651937751018483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.02256428900620212,0.008389641618275124,-0.0017085015401244168,-0.019639246677574905,0.013701581188842005,-0.008963128349379353,0.0009089341079411298,-0.039895398931010906,-0.022966042496263973,-0.03091605458084655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.01834205522809339,0.0016340681959105586,0.004094221190265987,-0.013442168601829074,0.013596935730589468,-0.005933561342889848,-0.004873435795307162,-0.043559604337357956,-0.03480529910844305,-0.02202160558622816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,-0.024927547256583752,0.0013650697761255764,0.0007306092864145404,-0.01992899798342715,0.01385162648299466,-0.009321489374598733,-0.008591224413527093,-0.04579002039749986,-0.031243078870617825,0.0002025388553738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,-0.022624632690263827,-0.002094350849156793,0.0014039702049416037,-0.02194821572336166,0.010914269933558029,-0.002313652882433456,-0.007293366859464544,-0.04795062918215989,-0.0312687000275954,-0.00047720405718554656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
