Experiments,delarc_OD<--AC_OD,delarc_OD<--BA_OD,delarc_OD<--BC_OD,delarc_OD<--BL_OD,delarc_OD<--BT_OD,delarc_OD<--BV_OD,delarc_OD<--CC_OD,delarc_OD<--DF_OD,delarc_OD<--delarc_OD,delarc_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,0.03878723238392369,0.0973675942097021,-0.024938757523246417,-0.019080990240301767,0.0016386617793013212,-0.0027557839898635517,-0.07691809854510685,-0.05555896202993134,0.2958005055809475,-0.18774389648810036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,0.0039002781652885863,0.10046747059439835,-0.03654608341986718,-0.0016332390224156148,0.0015667320787906625,0.0015844250203150792,-0.04877514944047383,-0.059060527294388286,0.2945039736754868,-0.1894103751874164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,0.015724777026992775,0.10890985871624688,-0.02871934406945239,-0.0028252296781410354,-0.007121044126055807,-0.009540828719087274,-0.06459424474964971,-0.05661996592969997,0.30120400307862005,-0.1898204763865341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,0.011238937799049456,0.08510442932176848,-0.030002159647967507,-0.0019381530250868072,0.0041227050651998646,0.00335286609828472,-0.06661136477456793,-0.043742688188086375,0.2904616558721857,-0.18538872337049767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,-0.010020271367190976,0.17405757469732477,-0.023350034919769856,0.025990730001712627,-4.609582702742563e-06,0.004139508877921357,-0.0579164876529704,-0.10586010699200889,0.44406276043585463,0.023870799126832383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,-0.0003436813770752967,0.17525855410844085,-0.017888286168808516,0.04839251030560421,-0.0057008473980038,0.003271007796182586,-0.0675602993166641,-0.12929075547615473,0.44243026065599655,0.026401399495485044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,-0.0037639647438798335,0.16060348694091262,-0.03433935936216424,0.03309814740296291,-0.004124384266526797,0.008449163958430294,-0.05111629275767053,-0.10867912058435056,0.4443364143177219,0.030505771719567164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,0.008883189779260876,0.14297137181072134,-0.020175680330266118,0.028619839818743255,-0.0008994862331968224,-0.011720287138191258,-0.06482072985690576,-0.09055133981387253,0.45251110971783814,0.030151874870871724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,-0.02513944201333366,0.20241737702780435,-0.030372648159770848,0.034605629949466046,0.00010807345094888139,-0.010288858316514807,-0.06518230099716914,-0.10137145376561776,0.5417177251329562,0.19107916245398965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,-0.03765932828673847,0.1943521295147746,-0.02937876267925551,0.04504456377223782,0.0033082231531000607,-0.009641192030647523,-0.06927189393373936,-0.08589780626980507,0.5378357260965785,0.1888816054262545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,-0.02868539054189687,0.19237475882405816,-0.02040964956597788,0.05193317066473158,0.0010880392554985451,-0.02418295923215541,-0.058692758384606095,-0.09358688705236365,0.5403557896460204,0.17737915114945046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,-0.0359531220016272,0.1968932934048707,-0.03031111934667694,0.04151224102905911,0.00037351225462296377,-0.01700546548499362,-0.08360298733915324,-0.08517721736965622,0.5610562370992873,0.1897878925170264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,-0.03228045872048192,0.1574404210969806,-0.03033061185365787,0.04517601077404359,-0.0065034012658440575,-0.0344478743661033,-0.060712971902735856,-0.05862509312837023,0.6128112447496665,0.2517921961260879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
