Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--delarc_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11delarcaTc_1,-0.08323993681565577,0.14969106985822964,0.008805974536453917,-0.08270211130137675,0.0011952670679792085,-0.01143823260441422,-0.14430999489420132,0.0241968012916977,-0.006453817302118173,-0.11086432353471933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_2,-0.08962181791420214,0.21647539093280618,-0.010718400599030047,-0.05603616239988933,0.006229069830606815,-0.03159726828255731,-0.16269410490989689,-0.004601385147999164,0.0012937103827362468,-0.12384833553239055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_3,-0.09347315638123646,0.1929860195193601,-0.0014374099728529871,-0.0767841460539595,0.001379218542057531,-0.02246966406783981,-0.15807363369299665,0.016629386607395574,0.008815379114416632,-0.12269129730923023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
5comm11delarcaTc_4,-0.08233051713637037,0.1598645952643583,-0.010451686243000234,-0.08105941609115054,0.023297625299057233,-0.03113657702489393,-0.14572115992317378,0.01580210601182088,0.011277979612350468,-0.11466225333430848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0997489321824637
6comm11delarcaTc_1,-0.1825513993065966,0.19609163720484654,0.0211842875757619,-0.02610279173630735,0.024769729617983106,0.0036092949820601466,-0.11761851823848224,-0.08534025614757255,-0.017844126243954105,-0.007009678774553793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_2,-0.15073838426610053,0.20485329265260818,0.014160451083241599,-0.022362468782002504,0.03255769759335596,-0.04301669488296561,-0.13608630710483896,-0.045292093392623495,-0.027411326786260248,-0.01747598717799004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_3,-0.19041376373609117,0.19432394006653975,0.029868568837156752,-0.028501640689437807,0.02002482005111549,-0.015796012333391795,-0.12194580702839986,-0.026133491080254333,-0.03185886720276399,-0.020379567957766676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
6comm11delarcaTc_4,-0.2142902813746553,0.2256114178701587,0.0547122088641576,-0.023371602726857305,0.021520425261848646,-0.04023335400158946,-0.13767890814367845,-0.026216972752919673,-0.01891262096555337,-0.031952133094486974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.294943607271727
7comm11delarcaTc_1,-0.2286135126666531,0.22302011060164026,0.04966985552288265,-0.02422840688215649,0.06394515034378223,-0.048342215568637055,-0.13490937644048873,0.007624734975397594,-0.044681654496361405,0.1581953463403751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_2,-0.1886379000091034,0.22445365727352712,0.04700619342453452,-0.022784235555192697,0.0552502141309821,-0.053649748230110046,-0.1310307489035894,-0.007982038755131803,-0.04823215274545163,0.14728679120297664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_3,-0.2344346840331411,0.27402289467985225,0.01817258595286504,-0.010502502765182569,0.04303978267652183,-0.03420449886875956,-0.13122540441544156,-0.03555042353742147,-0.00011174543072347565,0.13247402799599195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,-0.19520884988424567,0.24840692176524076,0.02531491740080325,-0.026745483074337238,0.045425255584490044,-0.06347195046427456,-0.13863656661513704,-0.02170258688861908,0.011648593889144446,0.13664977992277433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,-0.2419654442459021,0.2919649717738124,0.01542750909843523,-0.02773964852985481,0.04381645660442502,-0.07963826891034843,-0.15199986259331522,-0.011511793566624757,-0.032782205940912613,0.33154216008746756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,-0.2464395977370441,0.30738175650329697,0.0192294364552135,-0.04121471959773613,0.05609070216022107,-0.08351566253391947,-0.14982914402756994,0.006347837257806377,-0.08713619139612373,0.35619945680641607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,-0.23628332478358696,0.2564303452724024,0.035089997824929324,-0.02599208544777787,0.054381084237247704,-0.07657193502330265,-0.14564250600807696,0.026457751237017945,-0.09588526296388843,0.3451298095455961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,-0.22112543010760255,0.29328617276704827,0.007812108962756136,-0.04853368381767169,0.048005488344022754,-0.06912452832107312,-0.15660513029393294,0.006686834380354581,-0.07189902381647541,0.3486110655728566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,0.026450614963212743,-0.045381909655812,-0.0060278963945482045,0.01793006205202445,0.0010199050500017117,0.005970923801803067,0.025155054868563353,0.0114157175871989,-0.0777759906552408,-0.2854196702551257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,0.03374447865735577,-0.0394949923520503,-0.009803723835426827,0.016013604484336526,-0.007901154417220665,0.0019425688675888191,0.031478025997462494,0.008754265316478589,-0.0687097312429029,-0.29264138728542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,0.029704783570993213,-0.03993568219730387,-0.008587977272336896,0.01581822569360552,-0.004348664206007247,0.0035914298730052034,0.031901885583672816,0.008801498270553092,-0.07104467132817142,-0.292551813888485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,0.03851228155276699,-0.07536175475901237,-0.009516742850613335,0.02313616954114126,-0.008867276038002705,0.004327505349950944,0.04420361771855665,0.0034103015121882364,-0.0737488992180189,-0.22099065639483537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,0.03857234848177305,-0.06067541256951898,-0.007541803963806319,0.02009863707115469,-0.010382960754568158,-0.00596856706249325,0.034595918538777734,6.031078326961615e-05,-0.06199821897984848,-0.2020106983022845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
