Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--parc+_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.07274596457410118,0.024937373428888947,-0.024102556415550085,0.003995188970280731,-0.00752687611495671,-0.023145334385335444,-0.021586405957198664,-0.02008296669663295,-0.03288814151578625,-0.02446704118634048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.06967854547435823,0.02411125192823617,-0.023257247326166727,0.005661480204890606,0.0006517001403414692,-0.024964658420370975,-0.023877217262659383,-0.020454914892173333,-0.037264402996262797,-0.022405332247524157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.08302155983674783,0.03197380299963381,-0.025086686957789508,0.0037459271708908297,-0.00858049086092607,-0.028023858475296398,-0.022300094474592934,-0.019481089544361053,-0.04386644524400649,-0.023523419624113518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.07668030793576135,0.048766142285388454,-0.0318393476890481,0.012710020077293334,-0.013409801987202269,-0.028605083372929826,-0.03326201460607674,-0.020117449423541187,-0.038344838024805435,-0.024698730716886726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.07771770867640555,0.052813883660280184,-0.03656282698492641,0.001162779645427414,-0.006080692118924596,-0.03907480826358432,-0.02691181232747825,-0.052821202525949996,-0.04529627304524184,-0.03004660425626713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.061566225403676865,0.03827726421472819,-0.03372785669953926,0.010466807287024414,-0.012964877636860243,-0.033814994083798455,-0.016907012896693278,-0.04257190521158603,-0.04317253890568796,-0.032250959011523604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.08832281216979028,0.015628109976001413,-0.03186435625119054,0.0054580619801645695,-0.008778051612493782,-0.032820444016352944,-0.0193398361928437,-0.04808144231205401,-0.05469774190660404,-0.018926959374676585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.07144790230885796,0.023643511323177296,-0.03189425662969764,0.006842997197223748,-0.014451403982289453,-0.02558845446971447,-0.03283444666992063,-0.04760929245177818,-0.03064181949295427,-0.02401458467316368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.09100700653441575,0.04960767245325057,-0.020699432482538017,0.017020512519647247,-0.020042499559728998,-0.033030454147121184,-0.014646901339292527,-0.0013168247870129057,-0.09670123302904159,0.02411673888240172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.111918311515904,0.08006009574169697,-0.039057289702088924,0.010031031091576034,-0.02192115078153817,-0.026011846572484662,-0.02423022205414979,-0.01790245200952758,-0.10982029393801224,0.03224840175360441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
