Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.10273852402101394,0.20255799041656058,-0.029834029017745158,0.018847621241989344,-0.026285997522266014,0.010151185839558428,0.01234764031984884,-0.04721402347978691,-0.26845752371475107,-0.10225879169838582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.08952567074933777,0.1982842972736968,-0.032456420702130895,0.043873925085139015,-0.04469099499852113,0.022703029951485605,0.003964356893430589,-0.049584338643952564,-0.24925200977646136,-0.1097749193798265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.13209179783482916,0.21781480523960095,-0.02686479518675933,0.022160626033563974,-0.06098922561368218,0.011010493260362877,0.00994090326211374,-0.065123809909691,-0.2376194924634436,-0.12982870605085853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.10595227265649518,0.17372031768136045,-0.019187788814306255,0.022681746468271896,-0.04227226353776845,0.015298378188163047,0.013611544927825096,-0.05424832423824981,-0.20003227457728076,-0.14293101230231314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.19102288375244195,0.33372250185145635,0.007106622971756303,0.05797840948743017,-0.06235872032444763,0.046494024188622196,0.05274710401487739,-0.03671923295230321,-0.42964969928902774,0.18417153998318572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.17072817349887415,0.3817693240276498,0.001338281646046947,0.06768397957572471,-0.048806918456988486,0.04921863990876337,0.04864242798689266,-0.03488457542722641,-0.4806392869912088,0.18946538791546355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.2575689649638599,0.3034203433399292,0.001929169339330292,0.07004392291621668,-0.05389388237634431,0.05461964910283037,0.05121491012203951,-0.05950319632077996,-0.46726334260533703,0.1863788952022467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.2096544295387424,0.3437680254325919,-0.0014592150218136935,0.07033605128688657,-0.05029681068318693,0.06485514777024154,0.0472511284644513,-0.05200567419033336,-0.506666513758347,0.21907886484475886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.2566776916433289,0.21849319493802988,-0.0023003696682660445,0.0801950708379888,-0.09703770093700806,0.046008221755695085,0.02829102608253774,-0.01582386265792276,-0.5900467044868224,0.1315442222688833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.21724220529441596,0.24125174541836192,0.008237509255337963,0.07308751382176644,-0.07207101005979853,0.052535260041122855,0.045138032379681656,-0.07131222298449794,-0.5768305514615192,0.13872230807157315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_3,0.15627599492831082,0.3907092766771499,-0.005443483196684852,0.09074434827608263,-0.08728557040671939,0.05207542841606165,0.035493964232180424,-0.03332880630765272,-0.699415414198099,0.1561750513558155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,0.1874840437183562,0.38336723548724605,-0.0009834361772822326,0.09297053777977175,-0.09381140356073558,0.04792112206230344,0.0472551034066988,-0.06481409264647442,-0.6762823221549067,0.1328940018614673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,0.32569372105290706,0.35034977487166946,-0.010492700908495033,0.028299718662772477,-0.1159375049335801,0.033769812433292044,0.015255143695875347,-0.09911314686436373,-0.8275328833990447,0.08294803179638544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,0.08919477852790254,0.37233598288391606,-0.004820045630407082,0.025470715887520617,-0.05565503777450193,0.008939016722952544,0.010492930516762576,-0.06494071475189664,-0.6564349258512906,0.058657265876460356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
