Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc+_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.026117231476566062,0.034615392458179725,0.08587020865115134,0.02917501654637896,-0.004282436425919121,0.00016080276311739857,-0.005652884066752763,-0.032688190974295143,-0.040955354033604924,-0.11900455578027866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.021263474097232456,0.03323267810937503,0.10451271297653078,0.015818229664279072,-0.006733406007937762,0.003159869910906196,-0.0016136886495286982,-0.02956294138470423,-0.05104418173837275,-0.11567751595507496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.022359579576422352,0.039053657557005475,0.0883554147111009,0.016414638662953743,-0.0024265787629005717,0.0024565884292773606,0.0088625902739232,-0.01220976493928744,-0.05468495440223944,-0.13482594054030336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.020684165620933413,0.05269121040630598,0.10202813468225624,0.01774940046279327,0.0029335056634052976,0.0048266483486994445,-0.0001917234581449754,-0.04105902994780436,-0.06410474186844155,-0.12220233887757946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.04398964028967463,0.13248738454897763,0.20546721636439144,0.024488322457865537,-0.004991678743744673,0.02323917511526658,0.027109996023709365,-0.029213459661797357,-0.04029779984332299,0.11221118967494241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.05314714002220529,0.09567643240337138,0.20034724187267863,0.040944280802555716,-0.003537025149587707,0.03173074091906133,0.022287828083271576,0.0013945946178358503,-0.0631957355838107,0.11569448823838129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.07488676969609831,0.14291004586964845,0.20699354259540206,0.024607340282072208,-0.0019737439521628876,0.02001214683217847,0.027378348512979954,-0.04165678512143052,-0.04054846558152982,0.08188078709270641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.0898408267258302,0.1195997606622784,0.19044496695146612,0.04011326592091634,-0.014410286229913645,0.017440670197424686,0.013886535768599613,-0.014268810621098334,-0.061752740773169904,0.11359579762362917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.09330203673437885,0.07259171434475675,0.21771443088093526,0.04880450910362212,-0.019442378191844273,0.016897539784726887,0.03917963554677755,0.006433555267589254,-0.042708472951274855,0.1319362768093529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.05866891163522784,0.1152024797512137,0.2003450982078262,0.07838216085634801,-0.02012853321821792,0.030561287746481283,0.045374259875844335,-0.06079580913743249,-0.02789206627108481,0.14499105788281427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_3,0.0574088603112361,0.11843251474687581,0.24315804317917514,0.05189276173062946,-0.004328273376045023,0.024976845649273497,0.031131692731186104,-0.08921081731500832,-0.019879609655750842,0.15112682932744856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,0.07271694645771516,0.09498441033065318,0.20231778567413922,0.06537782223733223,-0.006646125310950944,0.02963594251919701,0.023489885766707023,-0.012110018182707868,-0.05052479303320467,0.14546699087014017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,0.06594061638431056,0.013664411721022228,0.1912439021824495,0.10458020784932638,-0.010967565705270872,0.0024050274896232973,0.030683573835893818,-0.02467623684555292,-0.10503147097142489,0.07895320079896763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,0.05833414849865696,0.035157912545230076,0.13196438530379015,0.10110754447948676,-0.005943113599458464,0.008787675567943127,0.033411073984335286,0.0043942708522081405,-0.09464258015641702,0.07422434926356958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,0.07900502101234769,0.0007518873817246802,0.17910062492379678,0.10686918758503769,-0.013915577140515268,0.030649109814801942,0.04055388109515541,-0.025274717897662655,-0.13383905456360914,0.08289530452826749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,0.08660895365411818,0.05250672237704629,0.16982129455908485,0.07605458340405125,-0.024707334746161234,0.026988807526295597,0.04088556317369576,-0.05072406547063069,-0.15074835462090763,0.12010949688275223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.008002219175838907,-0.02247875559427168,-0.02262359850108624,-0.0037205053396199062,-0.00020650872069856275,-0.0009340145357924964,-0.0012593049912349031,0.013982391956707706,-0.008280314111515232,-0.030642369501292694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,-0.010946285322956415,-0.013167066446141054,-0.03131657816145731,-0.010990191560400568,0.002069526951274148,-0.00011246626953715909,-0.0034555846533697574,0.009301713204578215,-0.0034430657424356624,-0.022105200442930923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,-0.008954131757111653,-0.021257998941709166,-0.032434156316777936,-0.007958226809683052,0.0017065302428344038,-0.001683871933947439,-0.0029637218720239135,0.012045858419783735,-0.005249292518457641,-0.01741618825851575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
parc+_pH5_0,-0.005981113593215526,-0.018613403016782326,-0.021934998239512032,-0.01194208145627509,-0.0022747026837390385,0.0014033992345566335,-0.004273783250347427,0.010934577247370845,-0.008666359936089617,-0.022816733928478283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
parc+_pH5_1,-0.009881224784514179,-0.024151594658260757,-0.0295270622699805,-0.011199390554557676,0.0014946743262850722,-0.001437189909427062,-0.0009116357856470591,0.012208978404169499,-0.009090103498943474,-0.01167064971897913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,-0.00612014679805092,-0.02387843763698702,-0.026702255962983427,-0.011276237632593382,0.0005656845154969603,-0.0013220873750422312,-0.0016254173818489768,0.014762294183930625,-0.013059241099526052,-0.015509351901710032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,-0.00828456936971001,-0.030857575720419056,-0.055719320822669116,-0.016778513081371786,0.0017817886724420238,-0.0023597786235420594,8.174512535333603e-05,0.019220887788611914,-0.005648442454960036,0.01439858011415471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,-0.011884856802289902,-0.016915147165241447,-0.05652799664470164,-0.013055855654503986,0.003545493977549284,-0.006382177065572012,-0.005311268845006175,0.011012003394248692,-0.010497030878196591,0.02185163730512495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,-0.010260079342709933,-0.030486892771137808,-0.051266092659662595,-0.009873418772350187,0.0032002730311258996,-0.00857325753925935,-0.006665467825596748,0.021434735301072188,-0.010526992095553356,0.018851993038602497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,-0.0183896887998866,-0.02149593016051728,-0.0540870706996192,-0.02003012325128783,-0.0005319721251726138,-0.0015814260344790374,-0.004643682202567222,0.02240894528510778,-0.006545808946956762,0.02073155984606432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
parc+_pH7_1,-0.00885683069248562,-0.030966965113968962,-0.05697988975307215,-0.022594155129855097,-0.0023966820732406933,0.00035940478677334793,-0.0032065476817281346,0.028760153189625434,-0.0069391117585094085,0.018655424305926198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
parc+_pH7_2,-0.011633932307038618,-0.025901894185530093,-0.058559478087269724,-0.01602880556298339,0.0012510468243904745,-0.004667877401022807,-0.0014036318821751548,0.022016320353292904,-0.015054062818703449,0.02581711537002221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5469120935714209
parc+_pH8_0,-0.02358262036481629,-0.014605034730680611,-0.04805900068872648,-0.017734766314211097,0.001458874906858674,-0.004355541644212993,-0.007089443509669407,0.026188114824826303,-0.009827216580186203,0.013441435657441617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455353071301549
parc+_pH8_1,-0.012016996150107486,-0.02364586369660885,-0.03599549397988164,-0.02309744079313848,-0.0008127477667901819,-0.004419020652447058,-0.004870957416360791,0.018959314857164157,-0.009989200380185376,0.011723208889041258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8378107178569503
parc+_pH8_2,-0.013141167278846969,-0.028402028971392178,-0.04064116541782152,-0.019733597028838548,0.004621698960014013,-0.002563616335391998,-0.010941396975970786,0.016913657149542932,-0.012949400631629903,0.022671818346109082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8442380625189879
parc+_pH9_0,-0.015352895925550355,-0.029875267353718694,-0.03504314385840426,-0.019803624826928847,0.0040140158326729515,-0.00674469937448916,-0.005216319663045199,0.026946011768734977,-0.015066119991242884,0.011976846302657027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.003926186226973
parc+_pH9_1,-0.01626854824145203,-0.02512399200026108,-0.03852008317151795,-0.01773248236950325,-0.002202883686708366,-0.001668260364752749,-0.0050220853495209095,0.018518189938495994,-0.007313006293514502,0.011167954449420389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
parc+_pH9_2,-0.017127462123399197,-0.012639170783045496,-0.0376089231815675,-0.011671288985273113,-0.0004179480396535075,-0.010301612840722438,-0.0054909135903353275,0.01629999069092067,-0.01270950729594283,0.0075016366010126866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,0.004108170154302017,-0.026740933889928063,-0.039837000386222544,-0.007951408642465652,-0.002126900976442771,0.002623635140126166,-0.001683560702139915,0.01793965349702731,0.006236517946033375,-0.03673337015930725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.004591484290102255,-0.028886230754787502,-0.04129373980767053,-0.00997227001287367,-0.0013866892052085498,0.001837666342439859,-0.0004190037853044009,0.018895771315564275,0.003935274909371916,-0.031467460397145014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.004108170154302016,-0.032820356169148635,-0.03697314116132001,-0.010983006254486413,-0.001849633934705152,0.0037835286444296012,-0.0012123556661864977,0.022270447088648445,0.00409461282193661,-0.03458346265813579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.004349827222202136,-0.02616210294806439,-0.03680511943348076,-0.009590696169306401,-0.0006607437020410656,-0.003058807143698567,-0.003777860608761724,0.020379949751431526,0.003925721123814582,-0.032765365336900165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.0036248560185017805,-0.02495750110758387,-0.03705415801671536,-0.011538367791344291,0.001024172375707523,-0.0035252161874719293,-0.00045133944114913055,0.019248119200701293,0.005472874142553497,-0.03600863696602375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.0036248560185017796,-0.028475596942007544,-0.04140793707707654,-0.01141072490940923,0.00016301840867685412,0.004962130073943863,0.0009667542981712725,0.017081618396484335,0.006590915341740071,-0.03626023153733949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.0027425679888414315,-0.03633853918670312,-0.05384367830403473,-0.01558991379873908,-0.00348467604783566,0.005271487804534641,-0.0018500711509714964,0.021018389615675676,0.007969488232679988,-0.010060253059086593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.00045795276113178463,-0.039061230343321096,-0.05617718427887428,-0.005318722820476345,-0.004853522680375886,0.0008888841906319489,-0.0004288763439525726,0.0256038608175257,-0.000255684243596117,-0.005020675404888135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
