Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc+_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.03744698058570856,-0.016104907594297245,0.0052476041727577884,0.1435358681379939,-0.0196350242594338,0.026397793230236225,0.018273945735443546,0.02296350687944694,-0.2342002839906869,-0.018990124749910575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.10367928455786216,-0.04283636340142592,0.004891411292002245,0.16768241666621816,-0.04874049111431383,0.041913213174709155,0.03504396585342677,0.02802183736358647,-0.2880880512738519,-0.03663186479278879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.10474602250058358,-0.016081532110338626,0.012616671877710716,0.12436452585839382,-0.020291839553772107,0.02561962433402305,0.01583929780384769,0.020679428493199127,-0.2330878850400609,-0.06946895618153656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.07287254837260622,-0.05806424414091136,0.006878103236060421,0.15398714136494246,-0.032934506717745365,0.04110658942195384,0.0386085588723907,0.019628273091157493,-0.2572328448024295,-0.019914260168519358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.17075638974166435,-0.2124184448446106,0.04747592745510781,0.20957721648089903,-0.03108456000604707,0.09725009654243681,0.079513477417033,0.07000202428913958,-0.542781329596334,0.17734294160471667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.1548341495636851,-0.2062888971825495,0.04630008225086267,0.23322183576898406,-0.0629037745134986,0.08981401465752202,0.05832392884296889,0.04407939354484171,-0.5036511486448834,0.21190415479607233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.131075687073981,-0.25918867739524853,0.05597477618038008,0.24403589159371733,-0.054135549664497386,0.09171456178650257,0.08626147717156486,0.053112130312087065,-0.4824324182530299,0.19921586027854807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.13006717641109036,-0.25471334376250926,0.07532382675365587,0.2554234540061619,-0.05060836944567122,0.07533012313444332,0.09007053441772969,0.050395498946714,-0.5351746263241636,0.22951946494655434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.07485365604536363,-0.19973266331114523,0.010952410095411808,0.1854747456437706,-0.03670688873278381,0.012203766288964645,0.059009461170467355,-4.636947753960982e-05,-0.41427458794099165,0.03668842160183449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.13044016103138742,-0.19550501490619196,0.009614889482846084,0.2854578030996186,-0.07428760381172535,0.0307710014619743,0.09514237810817101,0.01683253423837217,-0.6168749374049998,0.04683074008389985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
