Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc+_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.05756297782367175,0.043734452215063835,-0.01651303289194956,0.0266154712671414,0.13190880188758933,-0.003963241823139076,-0.007679045755699604,-0.05189699817226148,-0.15444576744961996,-0.15106969065680773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.06947554955886598,0.011560934775751892,-0.015373158886137866,0.028641193872115205,0.1449667412453614,0.007201024815845102,-0.010535371676492301,-0.04273911560986839,-0.13294529383131512,-0.1859985779744128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.07278890863749321,0.016506042198642438,-0.021025050450116396,0.01898501452969631,0.09556487572298425,0.0041496170004424885,0.0019294072768610458,-0.0369681761012939,-0.14131583421673302,-0.13636087830826316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.042043388105483484,0.02390519684281848,-0.011252322004419626,0.010538062852523901,0.1156816835932272,0.010094064188432755,-0.016228763195483574,-0.04786065409931801,-0.13039986233064985,-0.12226686756005103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.08329404135194159,0.0813524542617328,-0.0012145782320800672,0.03786532474378042,0.19436327546247806,0.019875179213350233,0.053604824542391884,0.010698082721589699,-0.16824893341743916,0.12835089540028055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.16194451764347442,0.05196756566570992,-0.007077482049150951,0.062280191568576775,0.21828322552488713,0.023643365478871962,0.052333619682644696,-0.01091732180677355,-0.21206241156338992,0.09954529590317572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.12492951861542205,0.06681063094540783,0.007537153786777155,0.03366806896585648,0.26847868636797145,0.046014097901668556,0.057395772429830995,-0.058732483356016794,-0.2243637783375933,0.11820289872870177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.09898353539629963,0.08818542228667468,0.0003531379576610541,0.04715598979337222,0.21829263766640394,0.0207395530583175,0.04620176099261025,-0.06282776514128985,-0.15688713719886124,0.13974343123683788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.19573504955730514,0.058145237985755445,0.03921890400188125,0.10763446419520062,0.2221410337631064,0.03767747624797504,0.0533642430641972,-0.12867350511070672,-0.2986074278386229,0.18608800243626797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.11110571181826778,0.0291134138609809,0.023283353512499324,0.07393265715273828,0.23164617087509806,0.025839518815198016,0.03733030897585432,-0.017526898967993008,-0.21201747050407632,0.17001671276379213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
