Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--parc+_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.043574505482354885,-3.146339450841257e-05,-0.009384671910868395,0.01585280121243356,-0.012070082176841147,0.05428144831615299,-0.005057529347300854,-0.0554023485104351,-0.010013754336446848,-0.12956182493261345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.042232524147864596,0.01554025614188741,-0.004327605425825585,0.013563213061298363,-0.022032062382761234,0.06282291543750983,-0.01676545467956559,-0.08369752606377005,0.017655162088087074,-0.13280434194871263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.041431017602672406,0.005442936022199043,0.013672569912210428,0.010773930374897368,-0.008770640863551074,0.04917339328838431,-0.00681270073086995,-0.06492705707802719,0.0013242169755065536,-0.14912058506910078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.04407256270839793,0.004771475142434888,0.002651945150902736,0.0014930760629637105,-0.019348835066851717,0.057045150140057434,-0.001018115347656222,-0.07409884715473038,-0.002101507150851513,-0.12127982408921838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.09829673931933938,0.08604983748078507,0.021361729864071578,0.04428944649640471,-0.021759622766352866,0.17899794046119172,0.05819274769124127,-0.02380616525005873,0.07733417732398147,0.19332553555460083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.11248705424955519,0.10789856446340033,0.03964522558021479,0.017996586935756648,-0.018916615135157893,0.18705937579517132,0.04178057853719623,-0.040419243099167945,0.1271100500464925,0.1376407888017433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.09321988684489672,0.07652827794987546,0.05922067561065375,0.03616056344471873,-0.012720167171817436,0.13084456255052074,0.06429472032327044,-0.02249594286286636,0.09630698465094292,0.1909228048350095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.1202714800304207,0.08115291443916603,0.05148960128912458,0.023337042534764377,-0.019907905968999415,0.1548999558174577,0.054378874127996045,-0.05636657140663138,0.11029361754250915,0.19273335776939665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.08198605646176832,0.008922895173461204,0.05031130455697522,0.09025062208853499,-0.021313773438374956,0.13655451506416763,0.06492738810570342,-0.0070330036354615605,0.045024265540439805,0.12618809650976043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.07903369770587786,0.005418918193722863,0.052038530059077825,0.1209654424629053,-0.03397612884640693,0.1745210302133194,0.059560373576722433,-0.06800423078724871,0.07123796273913718,0.11502277110986735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
