Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc+_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.01678886347789439,0.0260003338598788,-0.024167045525923043,-0.0014915024266456774,-0.012490514777297073,-0.01789366116347399,0.10469487953769126,-0.0329020437514713,-0.10484578509906145,-0.06897856344043721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.0330988881882766,0.010410078589946194,-0.024229147725171696,-0.005856597064336274,-0.02413651854705836,-0.00907042501833411,0.07145323642251161,-0.027889765515397104,-0.09683865187876936,-0.042226136617980005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.03704765899056246,0.01704452834117388,-0.032936347486329794,0.0025446763306694155,-0.024782792405407556,0.004259950112318618,0.09459693985014307,-0.04498643103663041,-0.10241864973254018,-0.06565457208492063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.03688823550630807,0.003847487597098654,-0.025661571608633617,-0.004082102469502666,-0.018478857414118702,-0.004347136697033419,0.08291105065120222,-0.03927171873313414,-0.0955766399049848,-0.051513786106471594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.054345882213522635,0.011081522969458168,-0.02368269776156091,0.039419679832442295,-0.03410378449819173,0.012324135404981108,0.16602861577037564,0.016742956666630168,-0.1395583219360054,0.11574285483519223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.04529920946558654,-0.0026793023811288812,-0.007217905743746088,0.03291472480758901,-0.02025762962891073,0.015843345854866683,0.13186876793948768,0.0045714698950051445,-0.10796328330807306,0.1259614465961678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.05610471222129569,0.03617570047762812,-0.012721165341841385,0.044769111114260525,-0.02722353579992751,0.00303434454689167,0.12605304133035647,0.026222519659508108,-0.1383139265854033,0.10424004187407576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.05920209724780011,0.008461458141935742,-0.021071049130886137,0.04485569977034489,-0.023768662128081215,0.012534468728978104,0.14427564093321762,0.021629847576284948,-0.11663022446734624,0.08885156682459637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.08455225777721195,-0.047707540564006196,-0.0037279900544039597,0.0202995264151579,-0.041352861866446045,0.006328085632033081,0.1325502751764598,-0.006797714411412652,-0.1757399085684396,0.02577638917855676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.06940955730347449,-0.044437204375255696,-0.017027572361074148,0.028701134594207964,-0.04298905641377053,0.0007198967194468122,0.13853833653194747,-0.008401394674260902,-0.1662197380940146,0.03588655948401025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_3,0.08513552059191684,-0.03190728753633068,-0.010641640446442379,0.018533287573423554,-0.03606779451547799,-0.0022599960500171963,0.10280607067144718,-0.01596453146928029,-0.15540260306427897,0.03994949295975105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,0.04642916585850207,-0.034902566919184246,-0.018345763580822995,0.02884743561629084,-0.030129586058395465,0.0009683761272943915,0.12894135807246054,-0.012293322610304407,-0.14948876610795112,0.03415418831682157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,0.0512660647826978,-0.023243602680133493,-0.009803298645875537,0.02567999329336959,-0.046193386190267194,0.001572914975897774,0.1060726711798824,-0.030407894370551025,-0.09511200005912383,-0.04296053012595108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,0.07282520022167337,-0.058591550832776285,-0.005430649775535922,0.021051351408494397,-0.04754271276360984,0.009657557183907007,0.11512086383107563,-0.04927432466435002,-0.09878596082684055,-0.022158841622092407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,0.07225012477543002,-0.003406378318069745,-0.012813887932924959,0.015623135726959638,-0.02512865904789499,0.003879603864726329,0.11152578552339593,-0.07748198812427606,-0.11097733807947445,-0.03659946622792631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,0.060269884343471615,-0.037598362074628404,-0.009629690356846172,0.030972941055306753,-0.04059467345202827,0.011092126638800635,0.14389932739760974,-0.07907726955306515,-0.12015565300638706,-0.0223076988322883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.005418403227206158,-0.002915638876754952,0.004654972780718589,-0.0018130742489238791,0.0037486061787880627,-0.0009554410426189062,-0.028902799843344845,0.006506007273843431,-0.015532874109668901,-0.022500422314700227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,-0.007905596289277563,-0.003819168078328442,0.004202088172162843,-0.0019641196521242026,0.007608534454003622,-0.0002918616697475637,-0.02220904713881242,0.0037746140410435266,-0.02582030812010129,-0.016704203258825302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,-0.006966932691714686,0.003393716121841546,0.0057733275075240635,-0.0033273125706119056,0.006163325554023131,-1.587940572315526e-05,-0.02071682410193202,0.00401881906396264,-0.023088954167602507,-0.028362350428740135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
