Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc+_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,0.05519565594747015,0.006810684393605456,0.002180160595023114,-0.01300799611631943,-0.012284313535884672,0.02127929606353459,0.004871512055397034,0.15291383317307283,-0.239889381704447,-0.034077453428636426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,0.06250398745679334,-0.00032392538112142633,0.005286910822210103,0.004361000752643402,-0.036204923323315125,0.022129187303716727,0.006345625500316204,0.13953170113427482,-0.19576623662496387,-0.06387133033055326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,0.05108106239496366,0.017238830936991655,0.0009464691595538803,0.036612817560848984,-0.02031015946813251,0.016664982820334635,-0.003564659298762034,0.12256937408900775,-0.2109431331799082,-0.06630358783771162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,0.041339890349494375,0.008048239931788137,0.004730439641229486,-0.004684474035773589,-0.013099391739005628,0.018091711767989654,0.002467027956052967,0.1271664194309193,-0.177523204088211,-0.06254466217011215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,0.1130029431519949,-0.03873283649268358,0.02467425244333951,0.09163861735197514,-0.029170336634244606,0.04774035967238571,0.09936937872806322,0.23910154296328195,-0.42344313018671853,0.21850584008609464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,0.11900479301000422,-0.023363856614931785,0.056264090065075,0.09629949135300912,-0.03165461676438218,0.0593764421440985,0.07278887442272641,0.23470538974294197,-0.4349732640337038,0.19423928775865096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,0.1725599722337463,-0.049825461412901444,0.05423077901096447,0.06652857246444277,-0.0391532069509444,0.06381684871471446,0.09546417773417805,0.1959570496156812,-0.4011499006641298,0.18425780033773706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,0.14406084847677011,-0.03223840482694947,0.055882652403543814,0.07604840825919224,-0.03314059707619573,0.055835655312175325,0.07568842931124177,0.20702260264883873,-0.3787194521109693,0.1722464886858411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,0.1717277086542353,-0.05122162810810235,0.012788785247375138,0.08172137517482045,-0.0319809868607832,0.0463388880342245,0.03243511071833582,0.12847992702184807,-0.4293230098842279,0.09621895118090121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,0.11810284192309436,-0.06517223122651164,0.03128329766347356,0.07551788103969204,-0.02992931730559339,0.055046562087600656,0.040397481058278804,0.18943664117027884,-0.4683813135487877,0.1108832783171016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_3,0.13457321034015524,-0.10564570082594521,0.0438831489905715,0.11401943054050208,-0.0440726476940124,0.050967332351466874,0.04184688241747409,0.20778799983956245,-0.5027267836536403,0.11655224887249264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
