Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc+_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,-0.09276785293513017,0.19983796968408254,-0.06610422301308617,-0.05124708147476548,-0.014471688294864216,-0.03889593505341073,-0.14178043282388342,-0.07270769954213628,0.057496964686104775,-0.11788051808009979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,-0.09278413834374233,0.1738543356566326,-0.036184368029884666,-0.037369159830167226,-0.008500578742798259,-0.03734735064856385,-0.1509814678804706,-0.044778297162898203,0.03212594319701845,-0.13655541465091317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,-0.10025162351601151,0.19865346223196903,-0.0621026721264681,-0.04208102032866167,-0.016006358481295727,-0.05030476678324781,-0.1289693743233447,-0.047048551884034395,0.04093115925060021,-0.1313407506631768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,-0.08966404585977612,0.1811162478201415,-0.06529923359741986,-0.04469584193080665,-0.015437581017613406,-0.027772252630928283,-0.13318447109635756,-0.050385375273130494,0.04525585216510557,-0.13845379545069905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,-0.16320014965113086,0.19261354925353885,-0.0490345981935768,-0.026317032751343828,0.0094404316102357,-0.07816739047594046,-0.13962971364593377,-0.07488974477447893,0.029064514090347545,-0.02203508618085281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,-0.146039184630727,0.22830136751108193,-0.06083728151719856,-0.016278789411096468,0.009934001347131056,-0.047444978391184736,-0.13111801249339528,-0.121706833285482,-0.0011112029008243387,-0.03585430694743991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,-0.15152693349949045,0.18258555828958095,-0.03952520708917925,-0.03505600712626524,0.01501827414188048,-0.0501143457311327,-0.15593823207866236,-0.11834247086521074,0.042903602518465214,-0.012159459279121263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,-0.1584267716717137,0.24962783193134738,-0.039652783639891005,-0.012428758538773536,0.014912459438099816,-0.08207657927485262,-0.15339433955838502,-0.15046889971779742,0.02843293226202544,-0.018680311952434157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,-0.17169208717896883,0.3006233883479045,-0.056467755457953274,-0.005330588665345442,0.0392017090085732,-0.09137503243253933,-0.16221383628799863,-0.07872064868474135,0.08719377356864837,0.13289379224667086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,-0.1367895312437221,0.2721984322174736,-0.04630421734779424,0.0013317516583787362,0.041650410533437265,-0.09275886000822418,-0.16203648109069985,-0.10606854805803816,0.048187805586696976,0.17470195221998128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_3,-0.1619061447177892,0.2972081410204587,-0.04587650783521974,-0.0068679465612639596,0.028757909218092327,-0.09460581907111666,-0.15150631325805317,-0.09907019441299461,0.06705385226594365,0.16092573802675247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,-0.1464646605653283,0.2715321935802375,-0.04760817201808096,-0.005623853686063191,0.04032979982297706,-0.09439112390513006,-0.14875469943184566,-0.0946366057277697,0.06460242891603192,0.15512740779668094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,-0.18674388612661022,0.22377063928576924,-0.037110237343155814,-0.012762169577181341,0.020239263938173015,-0.07493630558738242,-0.14016331858366077,-0.040335024885185373,-0.014692399658910608,0.3540763192024568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,-0.17654916937098547,0.26378557031083366,-0.052610467925829726,-0.02838551448739093,0.02592586468662256,-0.08103504722775973,-0.1391850027822606,-0.05523680508055764,-0.008297622289670552,0.3429310749446892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,-0.18249931019204466,0.24376444923569973,-0.030209397896314445,-0.016163559151894373,0.02850389791652559,-0.09697428588310014,-0.14765499342475893,-0.03190749749703252,-0.03442289065326686,0.3589064681003599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,-0.19625611757211708,0.2745458942975687,-0.052853186078693555,-0.022387465494482423,0.017105118466298218,-0.08756991104749233,-0.14668116364709063,-0.053741405759330674,0.027911500408435635,0.3312696172920582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,0.01983870422386605,-0.07754048269808939,0.011158098507186645,0.009904498031929785,0.005434922650456429,0.015592940357392249,0.04024682283320505,0.01679063795053441,0.03008387850030609,-0.43538624233849677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,0.025038931546327862,-0.07674397092150605,0.013410579049554856,0.015108795204888224,0.003459811836643065,0.013366425462553034,0.03675475737565886,0.024199065915916276,0.026815100449906763,-0.444608757659469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,0.028586160793252605,-0.07703233381652316,0.013009250518744407,0.011704515532954879,0.0031736601832444257,0.015280525383903936,0.030927882260926402,0.023573178452156177,0.02845220419375794,-0.44136855687541166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
