Experiments,parc+_OD<--AC_OD,parc+_OD<--BA_OD,parc+_OD<--BC_OD,parc+_OD<--BL_OD,parc+_OD<--BT_OD,parc+_OD<--BV_OD,parc+_OD<--CC_OD,parc+_OD<--DF_OD,parc+_OD<--parc+_OD,parc+_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parc_1,-0.008625062383387403,0.11415426768362522,-0.0712412978384806,0.0019939369675905784,-0.007583218301120009,-0.023359592053229388,-0.0817015670677242,-0.07254183211566315,0.32303124415971657,-0.14148117813403188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_2,-0.011411173283729863,0.1381232059099104,-0.08514890892998032,-0.0035232595694453823,-0.015526438431571355,-0.026894752506328667,-0.08834026697213235,-0.0781317059323191,0.36920750493588644,-0.1657085042252488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_3,-0.020797698207847447,0.11820680045563244,-0.07114004254341125,-0.0025497028134439307,-0.010356888955701951,-0.01774072000027999,-0.07611162211422041,-0.08512543581102205,0.3396551588080499,-0.14139414790045954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
5comm11parc_4,-0.008874650352998921,0.13326099337443065,-0.0784972000786144,-0.004015210285458876,-0.013380769189933072,-0.0175460133312837,-0.07408044684678318,-0.0829136236627465,0.3394222628211845,-0.16072964150458569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0997489321824637
6comm11parc_1,-0.02870717325288316,0.16283744297435748,-0.0861303938585131,0.046604011118735966,-0.004088827844547193,-0.0292942325203963,-0.0579979653219166,-0.1460752495021924,0.48843527051417707,0.040921408840171654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_2,-0.01195992828387281,0.1887366689288098,-0.08259655383456012,0.040760509637386894,-0.004260393580340831,-0.03884521714047246,-0.07668667609438948,-0.14817779252062682,0.4848565432737054,0.034677130761353876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_3,-0.023864095071735595,0.17657600578406588,-0.09063907061420057,0.035341434324889065,-0.002477050723265053,-0.031107873205581445,-0.0758721316832563,-0.1295062115383537,0.47365805911305153,0.05439522476137982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
6comm11parc_4,-0.02597663842141629,0.1494742027929296,-0.07524384116672951,0.048639509216274905,-0.0026939645976476086,-0.022150141417008388,-0.06739780735710395,-0.12296921221134453,0.4787793149637138,0.02604286934532548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294943607271727
7comm11parc_1,-0.04101125472265741,0.16804735458739425,-0.10133570671081542,0.06654545429122188,-0.006534784952907457,-0.05620120844925227,-0.08604543837678172,-0.07376002897224998,0.5559573925173152,0.1530284502940333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_2,-0.04207015150591083,0.16899186739293132,-0.09297857779037694,0.06929268393179644,-0.005557043090786621,-0.05061410360362218,-0.09291514070299656,-0.07710031827992721,0.5460434210543399,0.1555975920998532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
