Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--parc-_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.08871038309257963,0.066051310909831,-0.02846068075331656,0.03494227209168931,-0.006568701045344703,-0.02758003181575433,-0.03492591748257047,-0.02947904785852069,-0.0032668005529305224,-0.004565518823978692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.09964701249061714,0.05064808718536211,-0.02313584634305342,0.02362411593937355,0.00020848711871582473,-0.023965406165174813,-0.024165701571366067,-0.03266147741966922,-0.006085627545481143,-0.009256375927640042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.08011794707535401,0.051040710252912146,-0.01549868915715943,0.030069725361207257,-0.002343268005744271,-0.017834828364784307,-0.028653810194329082,-0.023237925160514275,-0.007949719696265201,-0.010852874297162755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.10941957716546627,0.06383345362932787,-0.016923189203700294,0.02297204018449006,0.001482418892176256,-0.018106978943814408,-0.02758592153049033,-0.02300607320083224,-0.033053414130016515,-0.024174644830434227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.07440933680404786,0.056266835127835695,-0.02087590529218964,0.022014737631315773,0.0004801405415586802,-0.02568990237686945,-0.02077646328379278,-0.05257042938276478,-0.03661901587377423,-0.013452248207252963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.07364165306415246,0.04501277407874234,-0.031217513455320957,0.024415551014244564,0.0004191980705313064,-0.03052346510569686,-0.01789644820858603,-0.040016008053460846,-0.03237961343773033,-0.00826904227876145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.09066214021943184,0.050293232780759756,-0.02217082235314276,0.025768486936779134,-0.01515198763459921,-0.026980885745066657,-0.0267410218456517,-0.05619658913463354,-0.033087751045823094,-0.003207716489939588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.06525305639628483,0.056002573153894876,-0.019240857657531033,0.019397287569616152,-0.0025241482274039927,-0.022824548171914146,-0.027912764183205107,-0.0250605559543423,-0.05076856707587191,-0.00913439016141322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.11689079827264601,0.0792983374048186,-0.04243096141063648,0.027786262577966517,-0.012082715168919258,-0.04243452039749728,-0.044366984090403364,-0.018264203473277712,-0.08147906603534584,0.02208969972865737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.10645849329945835,0.06367514461926795,-0.03483850617123687,0.030029283601628688,0.0009676992034782541,-0.04487594540190437,-0.05611011534443367,-0.034668432849904764,-0.05344748568599639,0.02781651213765145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
