Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc-_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.1257076722788422,0.16725422130330755,-0.055438881628215315,0.043300145834522394,-0.03350677505216521,-0.008163379249365436,-0.004313512743329217,-0.06343888552697456,-0.2074685287289321,-0.1252219170793567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.12954119214059218,0.1982891925999328,-0.06630854173037024,0.04132386364366697,-0.031099406908387722,-0.0035206490819868867,-0.006400363699573539,-0.054644558932632196,-0.21211048427078386,-0.15636008441529195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.1372465428070206,0.20619178539546934,-0.05266218567105091,0.05615586926026834,-0.04657907007990971,0.019262840007634265,0.02132560498040655,-0.07784648293224367,-0.2524199605287741,-0.1719647837235876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.1298601484582152,0.20400322438258198,-0.03781686327379682,0.019593855855257608,-0.04526242471583511,-0.004381446443174203,0.005604322194729163,-0.06292837967529245,-0.22819539185208468,-0.14176688550768987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.24794747012545887,0.37645842939615254,-0.04932882297136213,0.11857810827377051,-0.10000368151570789,0.028783154468173554,0.03409247524793381,-0.15103897897202687,-0.4703933367643344,0.13498718603716597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.23010863103782353,0.36193668101306836,-0.051711156398219896,0.09933593055719264,-0.10684706618118547,0.02560996563457276,0.0447617485560477,-0.11387342000542125,-0.4499684948352692,0.1307291839466147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.2307969520945588,0.3534876410298697,-0.049961622740425496,0.11497391451879041,-0.11443306346950326,0.029665513416023356,0.03724274851138826,-0.11703887420342018,-0.4625307631492615,0.1478795573172038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.2403343726986129,0.33163484442088265,-0.049266280439560835,0.12126370099818577,-0.12583410451188684,0.021202975649224673,0.041148541107287884,-0.14731095283818632,-0.4249174462372195,0.16182635247788357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.23508310287704937,0.39252821821881373,-0.028975696870652216,0.08755134537411123,-0.12246755992831747,0.04941929634741466,0.04475439962485561,-0.17401457458005656,-0.47010054242675714,0.16834582186344527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.3264014736206636,0.35573831814219764,-0.04590810737370149,0.11474732597156065,-0.1489489261271513,0.043348237515791616,0.046472456339422784,-0.13529882298620502,-0.5390002395868623,0.16457209498419068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_3,0.2936873499984327,0.33653383009783594,-0.043372139880514665,0.11157625785988308,-0.12225493757864056,0.03531727213250555,0.03707047380992899,-0.11992087389949868,-0.5179270141944291,0.17141359215440313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.2638161261752248,0.37572693219975284,-0.03463426231933029,0.10685193375400877,-0.18494464484407852,0.048465495534727114,0.04784850825515131,-0.13684956662113903,-0.537034210420983,0.23287749878657243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,0.2625099920602921,0.26463188628058715,-0.037700892343469274,0.08462273151330325,-0.13861556355315058,0.04794885380922451,0.059517694336726594,-0.10191411958683445,-0.48286102771273126,0.127801879549642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,0.2805834521717676,0.3336350819670959,-0.049929482550562725,0.10612480835827147,-0.1594345027337904,0.056494464366494294,0.06345976859817037,-0.08374116982211886,-0.564221596772904,0.10297061077116625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,0.3202310343143409,0.3267547478931752,-0.03297489969059826,0.10275971005549246,-0.12976954935523477,0.06531658661106357,0.05251625394367653,-0.09986739726656158,-0.6107718950955439,0.09174684294377981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,0.16081370497041425,0.3598014632029378,-0.04710704544802074,0.08540265172072078,-0.1487276069795632,0.04626749305378484,0.06474156823414176,-0.08985378116612201,-0.47784256705609346,0.13244555382139006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.034428253049921725,-0.06402520868603301,0.005928997031372529,-0.017311490636480898,0.015379559778324935,-0.003368586450815201,-0.003841305967096403,0.02332196083810666,-0.04048807015237601,-0.04245744516506144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.03996811546871196,-0.06925401622996383,0.011139462725461827,-0.016631775051355366,0.024089690829910658,-0.005664497732144335,-0.005370786947238706,0.020068011284684356,-0.033305491202551385,-0.046392325199330633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
