Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc-_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.033119119839823755,0.06083564576733371,0.13923774311561948,0.049183539584602996,-0.016005355139141496,-0.0029449129153204983,0.010699797037826931,-0.0597555645895393,0.022574337055177796,-0.13589760416713745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.039672005149009426,0.06131992131633601,0.1330071008788503,0.05404842987980531,-0.011820010275620477,0.0027184397986401696,0.007945361490482871,-0.04742880738461795,0.0014305368130621717,-0.13984623192769033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.03392389380413551,0.06538276436860149,0.13570354451303895,0.050994718756688685,-0.007099128341221287,-0.0025881655060726676,0.005326439911580606,-0.04348405133446922,0.008216923015273138,-0.1453301933100042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.03551881704965362,0.06743206329481759,0.1468829450788705,0.03214933454018573,-0.013353708266564032,-0.004944699239795624,0.005442789190489313,-0.04348592128928588,0.00835987488536731,-0.13295474918802147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.07984653548378011,0.11387347442948297,0.24036403605309517,0.07150290257904843,-0.0017180863103788866,0.018128325417637824,0.03120450093532387,-0.05893988555702178,0.04114523056570602,0.09871942516740248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.07197946830126253,0.1305945419925063,0.2554100747357892,0.08013731208184492,-0.009978719426561955,0.016129147815315614,0.03301905222561049,-0.043907009541340504,0.006946085218502133,0.09379650536114756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.08641028401482366,0.1317146129598436,0.2406224750128129,0.07720099663928799,-0.018310349170604475,0.03671836293909859,0.0264360229411851,-0.05856250267313876,0.009175129889146144,0.1027214262116214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.08921963717950429,0.1346384749383382,0.24285215382342754,0.061766940873602155,0.006538048177633593,0.011022455023358697,0.02312806931688733,-0.07092252489017406,0.04042393673859213,0.09545926758290631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.12699984740141942,0.07360358242755351,0.28631547242241057,0.08343431961115289,-0.011342382840812208,0.017234713867630647,0.03596116786741692,-0.06110226078849773,0.004559788943632774,0.16796150461001239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.12584518573044431,0.07698576897382738,0.26687138894653833,0.08185344774599958,-0.006238201033809905,0.028519081359972127,0.03865797934810751,-0.08323672133619371,0.0267965989316935,0.16757122485534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
