Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc-_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.09905898261734322,-0.02096018810351584,-0.012548177522080742,0.19012609155119758,-0.04605541417577669,0.027067290062246768,0.05544880313555834,0.0205071546493665,-0.1613400341319325,-0.03853157574472868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.10374868069937371,-0.0379737849092192,-0.00917825333814582,0.19998645146255906,-0.0585385392104154,0.023391766535199206,0.05335205925547558,0.013938934360023428,-0.1385228127880913,-0.03743156903585338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.10298063723613389,-0.04286434053038448,-0.013654407283858114,0.26601975594849686,-0.05986344490321758,0.03243905263709959,0.04006245070865944,0.017080695473224574,-0.19035569758154453,-0.0390717693798892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.1558257928697149,-0.04458232473622522,-0.012769349251428376,0.1922312223668331,-0.053087057027074946,0.02615766677155119,0.05078965657390655,0.029518508397285696,-0.19571746489519007,-0.03559371855352885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.2515826435634137,-0.30153979137256415,0.017650534093946874,0.27210315545899383,-0.09914816994422482,0.08509994485172563,0.08608986852366639,0.016932669571884308,-0.397335934293173,0.1980561603370892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.271712256130236,-0.2907521215401104,0.015157740808942395,0.3121673599727776,-0.09797522939174719,0.09014784408125863,0.09137006606744681,0.03402775147848805,-0.5146259950599429,0.2182614082434093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.20193821645422802,-0.2652024379992128,0.031267109866375514,0.31106329605347766,-0.09138446556039802,0.0746203805392851,0.09436048659455516,0.005889850034095022,-0.41189839467163336,0.1788370394799858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.19481897111172258,-0.24632757708916198,0.03272754360597743,0.2723299658537397,-0.09722105701008565,0.0859175249116252,0.09843355178266118,0.004024620157787974,-0.4181824348567297,0.20296997232322125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.14628374695413457,-0.3378782869316638,0.016505667485458696,0.27530910121884367,-0.11977928965514442,0.036284566911180385,0.0467700512824661,-0.02098968893208581,-0.3552742299967972,0.04435567224600716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.25869510592568823,-0.3629797746998299,0.012093022669382072,0.2539439315948151,-0.11550076060604464,0.0755389175661232,0.06166234810796121,-0.03808055297633552,-0.4822668077634729,0.06848188076411253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
