Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc-_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.061929015672522715,0.03814394673211096,-0.022595135061191797,0.07824282693798126,0.1274801361429221,-0.010809026912016712,0.025879093923646467,-0.07491177221739907,-0.06605511963650908,-0.15934245351418524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.07049447147479361,0.04441657169883989,-0.012141579959501065,0.06439421815919162,0.1594114892662543,0.005652859375771628,0.018556134487785727,-0.0873910901936419,-0.08225242603023578,-0.1831791362628017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.06541108785905755,0.051419642204823694,-0.026711988386738553,0.06323292004389929,0.19113230269624973,0.009003729903463117,0.003867577780240581,-0.09092361131521023,-0.0679624172081442,-0.20050773171546007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.0873475193295061,0.023909537347802975,-0.014293481349823594,0.057882112977499865,0.14265024005739096,0.011865922869588048,0.025328089840831645,-0.07787748102321412,-0.06806226090811518,-0.19078868707358518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.1523546439089367,0.06119836409657221,-0.005061255363018615,0.07084310371448974,0.2806565680298144,0.02424292909021935,0.02762225911223695,-0.11280873415809452,-0.11548401801563472,0.10132560809790768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.1776744803907755,0.036390626344262926,0.01073667205687936,0.11720847216799206,0.2899344247751667,0.03705557891795332,0.01651693721220869,-0.14433152109748965,-0.14904781110362028,0.09275160884930066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.2049976944872785,0.049668376008656034,-0.01754881047927167,0.08247642047176867,0.2915513743563434,0.031247430400234526,0.032766259531692966,-0.15422586268036748,-0.14398034715599828,0.1079369335730925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.15921225846178186,0.0583606367521798,0.001964587247728005,0.06945467615864524,0.29852507516539295,0.025291432531591017,0.026124929812453374,-0.12573869147823882,-0.12387402760796246,0.09556859146985833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.22560980790760363,0.05149349556709438,0.014950137483360973,0.16659629423981132,0.3331824671985257,0.0285303666094399,0.03555293710679626,-0.11786838306377274,-0.210895179109243,0.2341954303431609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.21000235042595508,0.05428216735569194,0.003103173374522314,0.11406628730646132,0.34061147709782036,0.046670633004978306,0.04261621308917909,-0.12358608670269501,-0.14482988581871206,0.21841104514957602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
