Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--parc-_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.045749909925558,-0.012939386566614974,0.028320336618015297,0.02699313848724832,-0.03139814464577838,0.05512452557521021,0.010021110793737614,-0.06292798453901448,0.04881020774902858,-0.07944290850959394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.0266968533736856,-0.0026030108012744914,0.03474379311315716,0.02514049209006455,-0.026571249813853726,0.07100282621731903,0.010953295245645164,-0.06447524876819681,0.033877107402228795,-0.08045405294098282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.04049276283253794,0.004833569573036029,0.03419314745084746,0.010569241285202619,-0.026424496581818422,0.07080158475523247,0.0022593326619623822,-0.06975092728784228,0.0489310011445828,-0.08759441077101811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.03872111597888009,0.016417323466714307,0.03722526465340153,0.004099884298427597,-0.02769191970198374,0.05416593898776108,0.01673646884707167,-0.061127165511007546,0.037291312564326363,-0.08752741853382599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.0894449219632003,0.04573877441757561,0.053575071029203086,0.008849761912639692,-0.009811243385117015,0.11082202201668659,0.03764380851598537,-0.0825854747019627,-0.0007953568695760923,0.06230580197242292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.0888927465709655,0.025810101916203674,0.06860483869485073,0.02081681563134264,-0.03091717548526662,0.1211979602046473,0.03268978430302409,-0.07671759183680557,0.008913333485226913,0.055897273386869076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.08826210286225313,0.035528178146189984,0.0709298738829144,0.013102210206991951,-0.017996362938910073,0.1271990683197003,0.031056609079241747,-0.0709795302377366,-0.016202695964147206,0.054288633514560126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.08323468652209669,0.029311092025397917,0.047456165091742,0.022425509323973362,-0.011833154089019996,0.11127876172733049,0.029774950816822437,-0.07205456087993377,0.021969529037242353,0.05362510729540625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.09763425783557898,-0.008731902022238655,0.06808306893495764,0.09721175549308889,-0.019225581915158295,0.13932886833001093,0.02248907988587313,-0.09389951631831735,0.033804533525127106,0.08403326225406287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.12429502784618703,0.0164122993124487,0.06738991602607394,0.06286766663801087,-0.016363876754944412,0.12548634896662245,0.015573939840592762,-0.10148569842577788,0.022174385164702395,0.10437781738906934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_3,0.15393543247335953,0.0355556360433769,0.06710065146867673,0.014929999403615035,-0.017059266815650394,0.1277484089984437,0.019519271903023445,-0.11936077036024277,0.05032577573261023,0.0880326871557728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.08331718167998706,0.03979625309270847,0.05610690467181091,0.03085126707391085,-0.010117604677241454,0.14635666914729645,0.0461691875822599,-0.12911955254496602,0.059504700235860526,0.09786281974135856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,0.07487244936556596,-0.03432055177065827,0.039878607178916746,0.05922053132489647,-0.03381467200026078,0.09196782906094322,0.050575332326774046,-0.10154908806632233,0.02947757397251934,0.023912312054763674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,0.1020675924381889,-0.077477368422298,0.047294536909169474,0.05256233116976268,-0.025510175276912107,0.12198919530006366,0.05115157402302745,-0.12754075449243513,0.0248064161590098,0.030876975639561276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,0.09296104900579413,-0.09347093104951731,0.055685979390678854,0.061228022928268684,-0.033110471637312164,0.11974606834574723,0.04993669878914143,-0.09622664332389828,0.021933439778487968,0.021537111219747558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,0.11027020305314143,-0.08951017141180195,0.03675995510800379,0.06007626322381523,-0.042821327515108434,0.13176753023639323,0.05990800763237412,-0.0695325387334046,-0.029461591561203426,0.03276399341492874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.00460586129606742,-0.011382529438351807,-0.006710978810391998,-0.006871371833688539,-0.0006121369937191848,-0.018944940985301913,-0.0015559003085059962,0.018084685670049946,-0.007880505787046707,-0.020729355996312655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.00523347921628991,-0.007795610851405757,-0.007265121078766559,-0.00818334614250647,0.000160216107640577,-0.02277561933855,0.0007312855274295034,0.014199596261605621,-0.0047985434594928576,-0.020248273763927103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
parc-_pH4_2,-0.010668611263289402,-0.004219827824069753,-0.0070356373839161315,-0.007958991259903363,0.0010889745507713239,-0.019986496193577417,-0.0007280107356769882,0.022062022157985237,-0.0111418074545572,-0.022620512595319227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.014847482134304616,-0.01580965333577731,-0.010699036105576418,-0.005311332304111641,0.002919483401853105,-0.01834972219582161,-0.0009272300676726131,0.030854492359592218,-0.01022377681007366,-0.018814641122260813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
parc-_pH5_1,-0.011860115781993322,-0.003765089637397424,-0.015328689279115714,-0.0029043110694898216,-0.0013579287736312207,-0.020295821254587045,-0.0012068176812127878,0.019015213280673262,-0.005145067978326393,-0.01836026774678865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.011254924165044467,-0.0007192377926295871,-0.014102884269440952,-0.004440637073965501,0.0008365656417268121,-0.02449141748128054,-0.002553829179833765,0.022856104118830482,-0.007428466608423902,-0.019910170180804057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,-0.020282613525126614,-0.004538575286126654,-0.011525412291774282,-0.006035269520690908,-0.0011097986668186348,-0.040779065930729975,-0.004685916420801177,0.03049111130647361,-0.024112379946948394,0.021369024418982793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,-0.016449943495428436,-0.0020317285779215713,-0.011912787364309894,-0.00955800739562382,0.00080789646214765,-0.044490328024991845,-0.003107441273801353,0.031599526604961445,-0.023517287241133004,0.017451204099166007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,-0.006295717670379774,-0.011825718520533135,-0.011209930711547314,-0.010448172622886687,0.005819786225405076,-0.04727846002206206,-0.003560783212761516,0.024851652500017182,-0.023267535853564093,0.022005981799296064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,-0.016929318234324454,-0.006257398348180171,-0.012755264546317252,-0.00814196326041027,-0.002536538625136019,-0.043750915192472546,-0.002256263130668389,0.02455885210398423,-0.009781258550432066,0.01664117079309147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
parc-_pH7_1,-0.021558662393413808,-0.0017295103582918002,-0.01753886679754309,-0.010186206896020017,0.0005174209343512407,-0.0452982546708992,-0.00818413436372319,0.04272888799238465,-0.015524549943840376,0.015564979551481489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,-0.028768763081778,0.005873495482880137,-0.01526185772968861,-0.009970023973804453,0.00236482704280997,-0.037556784457891526,-0.002587586855110915,0.027245071533176568,-0.022001865231229562,0.019454589335490827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
