Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc-_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.004562575407123761,0.03174881263798023,-0.04475640438061775,0.07747437450756399,-0.02533537953849072,-0.015635225032304374,0.14145903379737362,-0.03676331714215769,0.006751592927055591,0.011928892282607118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.000983973954267718,0.03142150611657163,-0.04212181678107616,0.07904362645875865,-0.04031870307567853,-0.010611408104381081,0.13226358855988468,-0.014741287020480505,0.0026749876108141993,0.012840487779846983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.03774163610651158,0.041215897474195004,-0.056402905486554474,0.08664490636002842,-0.03204101988200464,-0.00867161456110848,0.13792493632402394,-0.040485391104239564,-0.01781395234881252,0.00332246246747673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.02318448629331491,0.060966286566614604,-0.040862008365802456,0.06355893481340584,-0.029672038140200557,-0.003915279838256539,0.1305640419364563,-0.04280548508800363,-0.01797595698062493,0.008391974178527519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.07316971930017209,0.016122214116824223,-0.06047916256579692,0.07870009228597272,-0.07092183899873382,-0.005583639397468099,0.17941135864137953,-0.07456555036220539,-0.07849678658672771,0.07578615155825187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.07246773334073266,-0.0018893286037643452,-0.0703175140919326,0.08856977818807103,-0.07945264346948218,-0.008899655045749135,0.16300062087096237,-0.016029176860642827,-0.10079846790227433,0.08649121156574792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.08030357210567908,0.0008600452228489779,-0.06855249626420278,0.06802357953730163,-0.07978745324203096,-0.0005740165323241775,0.19229351509165052,-0.05609788009066784,-0.08985376377367295,0.08652745593708698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.06948067884851732,0.005143900881926325,-0.06747144988262216,0.07032308543379337,-0.06058181857892679,-0.008783378836789939,0.17649086640469488,-0.04905242421608621,-0.08671179964713267,0.08430489758429441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.10003481838082814,-0.04836476030222992,-0.06761213257083788,0.07248274021417551,-0.10779774829735167,0.008774544501768263,0.20998148614206633,-0.0597963160257179,-0.09246773131738377,0.06934994363853626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.07737435440704953,-0.01859240351310609,-0.059798101223144745,0.07081858734949495,-0.08295332955874749,-0.00037919311804453975,0.19950579419266432,-0.08567212089536834,-0.08241787265348453,0.0666991293765402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_3,0.10863976563443431,-0.04775107003642126,-0.04886252531341439,0.08187750824084307,-0.09614448519474218,0.011658160927877555,0.1884328773030606,-0.08908961987446831,-0.09683006683764371,0.07265429951432768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.09477235356695018,-0.0375164472063214,-0.059700403182321934,0.07043480757148128,-0.1015681094639813,0.014816030922912697,0.1846588350442218,-0.07394915088646764,-0.08439763059991452,0.07703455859729413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
