Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc-_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.0072619149283222545,0.023721471475842203,-0.021439688140931328,0.14547556103571604,-0.03046285441712192,-0.0018343733817986847,0.05331926998074935,0.17643873691396866,-0.08760061402035797,-0.032569217814699465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.01831456890248734,0.023440970271501854,-0.013627035499590896,0.14596341749572242,-0.03604326295463935,0.00792076438989328,0.0397680279644935,0.1975840142498846,-0.14085830035740915,-0.010152957637024958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.02537120432795391,0.0285236935965393,-0.013885186029517129,0.10769027688581008,-0.04528258523701325,0.009750302278477205,0.05212818395022466,0.18187682570970579,-0.11963679032319267,0.005774282330404152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.04508888624122608,0.009938857615317992,-0.027016117935595302,0.1433890412488709,-0.047871663631952326,0.015441627615819804,0.05360676857116429,0.1545485014047312,-0.14840611263947648,0.03359041846802701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,0.14995594468615622,-0.10230642062166463,0.00040166677826124176,0.14641493596784455,-0.07433525531674208,0.04488992416016433,0.07653889990047266,0.1990373821993885,-0.45502740620594984,0.15445540829845103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,0.13645732833315496,-0.13220303395358113,0.01716700754411842,0.14540294559267553,-0.06655982277315595,0.05040923791897036,0.07324001241475345,0.20073052145216785,-0.4375006549675828,0.15288153828486153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,0.14018527703602685,-0.11126492709893245,-0.008790367440037113,0.14389890643241612,-0.0829689044845493,0.03566457684921181,0.06410278585455989,0.24169051759916804,-0.42480671853636914,0.14231393363488754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,0.11798029631538241,-0.11843583935304829,0.007505217949333393,0.15332602232856596,-0.08380638475489355,0.05840472355161021,0.054242018270103824,0.22597597356075816,-0.4154217151973559,0.14025476717592578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,0.0997137230116388,-0.16213139913652252,0.01257217768255783,0.10342706907540558,-0.10236318222044602,0.052281035379223205,0.0448080650376885,0.218336006615149,-0.36602601674587837,0.05301745453444511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,0.17931097931835965,-0.17922466391454575,0.027941105684832396,0.08982136127417499,-0.09538107502233724,0.04622009151655695,0.03337912371949009,0.23625563251097573,-0.4487989522597711,0.06411133040552552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_3,0.09629090190743624,-0.18625519384670514,0.01721657891798278,0.12366244681017556,-0.06097714358859737,0.048156075720553825,0.05491229244224403,0.1828491407535646,-0.38996651126152804,0.06774634537813458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.10600508232965414,-0.1872863996952124,0.014361704544204735,0.11231121944020624,-0.08482881899761116,0.06133508114387158,0.03136815911401873,0.27500576431660545,-0.45116009179016814,0.07652323282769193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,0.06547015083548816,-0.132053126566436,0.03142213019501904,0.12460352659063494,-0.07382275761793487,0.036737249179378796,0.03450582348296176,0.1591997285737939,-0.35321442300210826,-0.011105764053114085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,0.14616128261808467,-0.11796033708297692,0.008790051517603193,0.09466323878130187,-0.03519510916069798,0.04359642309339148,0.04203688273125368,0.1322010902525938,-0.42409947743882304,-0.00845150769404743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,0.08836464126958797,-0.11849877327194684,0.03005944914305988,0.09565323165901331,-0.060016087264470434,0.03178825231026048,0.04035992700444615,0.1874366866975375,-0.4186004044471875,0.005195614517382948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,0.1028209584254934,-0.10895393700541363,0.006112915855710922,0.056548193761188074,-0.0731618927127641,0.048171056926898326,0.042946396314579485,0.18211757517865174,-0.3584248702211872,-0.01643385890547348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.021791593809814557,0.006748781656117543,0.004785769499190477,-0.02181890836390464,0.016313272643348444,-0.010417354463235192,-0.004981070931838909,-0.03358266202651936,-0.028277833957387054,-0.025235863946702165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.017123401733520238,0.015491347011664639,0.001881385115177735,-0.025776485211175416,0.015147036103450737,-0.007260580723700316,-0.00797064415462639,-0.041420623394458185,-0.02720787063241005,-0.024017626453676954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
parc-_pH4_2,-0.02138388541405616,0.016689511035447534,-0.0029671952970649882,-0.021607136820321494,0.015961128317791482,-0.010425420162146506,-0.009635583661172701,-0.04040046248746955,-0.029038666368502643,-0.015449739416008407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.023965159306383654,0.008358443014971588,0.006338722143808136,-0.03495867407192354,0.015139490607316078,-0.010893651744269806,-0.004850103208876176,-0.05191444863767729,-0.022125392322954924,0.0006133233691039281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
parc-_pH5_1,-0.017083814808208003,0.01566987646014794,0.004938612646706727,-0.03305023987818023,0.0174357479762124,-0.005611154383615306,-0.00720873085377009,-0.07170630441573651,-0.027084147376210798,0.005442690792614998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.011941033737814946,0.016941907820494283,0.00010733696429625803,-0.02899182929454939,0.011479610627436118,-0.005702363453481509,-0.014523411647457142,-0.062284287646736804,-0.02954507212599982,0.006201680111496346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,-0.03337178913471492,0.03676936021155637,-0.003183748744752095,-0.04121480775268182,0.022416485138237477,-0.013763615983011925,-0.01831378430937943,-0.06382151628641977,-0.03491362014866394,0.031139572748671407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,-0.02254053232786448,0.029070620925530144,-0.007237141762414704,-0.0300070975040612,0.018140495586330473,-0.010856183180990428,-0.011428868265255637,-0.0624955110575842,-0.04594944796808388,0.02504620161393414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,-0.03883147027991388,0.03000981750857571,-0.0011549949710783762,-0.0403790018480757,0.020206793556394785,-0.01500430666072213,-0.012181977352694329,-0.06622076961657275,-0.024510951278650245,0.02980941070810609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,-0.04816811948204819,0.039444033140721514,0.00020197456135698022,-0.03848863905862622,0.021669352062694408,-0.01959081549845312,-0.01878974618633156,-0.048494052023667356,-0.03811316705916239,0.032071717161199324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
parc-_pH7_1,-0.03188090663241303,0.040509773598093046,-0.005254861292955668,-0.0386588106887496,0.02233775335971428,-0.011410469646039218,-0.01763157039070907,-0.058374558972275774,-0.035465868879919475,0.017572069213442176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,-0.02954918281215688,0.02460596142255742,-0.014597007122052752,-0.03102524087642845,0.01809362683931123,-0.011745847210935922,-0.014943340503327221,-0.062287544656706904,-0.023585863103685177,0.02677698802526878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
parc-_pH8_0,-0.026955768781835622,0.04367336517442827,-0.005741795827837092,-0.023081118132433166,0.014107191084843618,-0.010307334410431591,-0.006065971469101698,-0.0615357645244702,-0.0410717609881059,-0.001278506580578246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8455353071301549
parc-_pH8_1,-0.02365406206930461,0.030563539112715612,-0.012843817341262885,-0.03455265988636276,0.023633650128284226,-0.009677850029066853,-0.00867854749864858,-0.03790095155491778,-0.05017589662547992,0.0050291333817269485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8378107178569503
parc-_pH8_2,-0.045138072454087116,0.04041206959958956,-0.006310033438646275,-0.028811631766350373,0.025397341193064398,-0.012267636561199372,-0.011594434477712795,-0.04808192437271708,-0.04127466391124156,0.009411521970253921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442380625189879
parc-_pH9_0,-0.02456616379806529,0.025696175001237703,-0.004162342865829882,-0.031076206846729577,0.020744936589313586,-0.012592713644971016,-0.006344340252487557,-0.04606898852016616,-0.028757837189604406,-0.011129980855014012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003926186226973
parc-_pH9_1,-0.03323025170551694,0.04080460316785004,-0.005892842345587587,-0.031199517713292782,0.018816772849987385,-0.009247280163285524,-0.010411611589724604,-0.04884034235840258,-0.04558248002891954,0.006525487504575564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9964236708955914
parc-_pH9_2,-0.03767781845091477,0.032685506060395546,-0.0009640035081816759,-0.03266080672974171,0.019155540780528734,-0.013308130795864957,-0.01180808997510568,-0.0382400282488569,-0.029775567378686828,-0.005664051754967025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9996501428774356
AC_pH4_0,0.010015820731287416,0.03475523680448532,-0.005703809533430181,-0.021649207135905384,0.020818650226878083,-0.017086293370179508,-0.007861798272832583,-0.09588575458720972,0.02607406076043844,-0.06173436123553827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.009280037876704464,0.027933046735175274,-0.005036019796262617,-0.03594177582665631,0.0270164509943646,-0.02271321069935094,-0.008750885179185349,-0.07665260752420062,0.028397496951662975,-0.061789994275440345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
