Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc-_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,-0.09042936181001687,0.24829820519475196,0.020549884120245332,-0.04900910572432308,0.01951497679333324,-0.01086585747968891,-0.14276648653185237,0.05073191165924072,0.1269915681470024,-0.09005131031346064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,-0.07454902356652462,0.2420680677631627,0.03036824160134013,-0.04220626053278861,0.014627608205799175,0.014198652684040703,-0.13241961977404101,-0.014566375974403781,0.14416536234157243,-0.09872222748463569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,-0.08228539189080829,0.2341420616970762,0.03185438774040211,-0.0761920724720087,0.018193906080787584,-0.012464553717847751,-0.10913814947333024,0.04419114719995338,0.13657709013184774,-0.10191400151618796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,-0.0724754306860268,0.2411043852600067,0.011946457135288602,-0.06357379206496738,0.022782270351991703,-0.014231653699408407,-0.12498460938911077,0.04048760070667967,0.1617721411164688,-0.11986294428858421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,-0.18533260335011975,0.24962643642221458,0.05100250110435097,-0.007966620790893619,0.03827550197668048,-0.018940122792416282,-0.12750055985768202,0.008727716013951146,0.1194561575766167,0.013616971243172892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,-0.13756718273072138,0.2361049530509374,0.057494637344194494,-0.0251043123808568,0.04095439296296755,-0.04344422767991605,-0.11675766286723643,0.036394189013897085,0.08117916134712491,0.011711429482244929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,-0.19637058430796736,0.2565345661496015,0.03630294702461233,-0.025269636792009307,0.030331031563489323,-0.008818398191715069,-0.09962304628494642,0.004122899097754909,0.1284130093528201,0.015342589943953173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,-0.2010214532280097,0.25184387361954735,0.041840669148318146,-0.00825688591874812,0.03541108035037051,-0.015285756234079602,-0.13759203058303052,0.03089673515247262,0.1278549032739323,0.015274241961862724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,-0.2133841908180519,0.25808736124359394,0.07543609988268304,-0.02033546670218525,0.04997491914050086,-0.032983346009707974,-0.12465389995471293,0.07072525923018869,0.09888986084448255,0.16228027266004816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,-0.24792522248933482,0.2956683418146618,0.0759948455347963,-0.029493404952404295,0.052796702502376364,-0.04299818436250739,-0.13667578652015203,0.03918461607850116,0.13227523212604547,0.185209729694154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
