Experiments,parc-_OD<--AC_OD,parc-_OD<--BA_OD,parc-_OD<--BC_OD,parc-_OD<--BL_OD,parc-_OD<--BT_OD,parc-_OD<--BV_OD,parc-_OD<--CC_OD,parc-_OD<--DF_OD,parc-_OD<--parc-_OD,parc-_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11parcaTc_1,0.015323357415264059,0.18019852637434783,-0.04110090738567321,0.00761185029278631,-0.0011699948419371467,0.009856414143805916,-0.06013245176280969,-0.026294229747322578,0.40990548273629485,-0.08393913654286576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_2,0.022445068410395272,0.17503193606905962,-0.059055630105507115,0.01783498657705344,0.0008531621819280991,-0.00531956937892929,-0.05302530202609687,-0.048623853915411505,0.44505153917990947,-0.08493342631698951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_3,0.05110735761811552,0.17714124842263435,-0.04305831111076734,0.009539440122797435,0.0006860789915789703,-0.006139630612957731,-0.06006724198551281,-0.014680659812267701,0.39705600210586967,-0.10132537308351501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
5comm11parcaTc_4,0.05007909280369466,0.1700973840487068,-0.04777056900055512,0.00609734823927283,-0.0009685062941001908,-0.002192373547864992,-0.07284723614706942,-0.019348888116200343,0.4153854847092019,-0.08827282603263206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0997489321824637
6comm11parcaTc_1,-0.02558573753694478,0.20444636202214847,-0.047656856414092626,0.03580559304550939,0.007434891011241982,-0.03449483922723196,-0.07633355824438771,-0.09784869595633254,0.521084532553897,0.04499735688385756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_2,-0.05773479884409385,0.19626174041434474,-0.06118106452019319,0.032632814082114596,0.006273030154407021,0.0037031992362893174,-0.0655393789951568,-0.07240747621606874,0.5098472274030035,0.039993755423018466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_3,-0.04082493072780579,0.2011269643975665,-0.054734644144773484,0.03721428786282954,0.008189107514917845,-0.01746904566479118,-0.07662377515078884,-0.08238418226899659,0.5122395684553878,0.04511569786411913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
6comm11parcaTc_4,-0.02333185237629905,0.20221707821945134,-0.07206514895448216,0.029493551524760936,0.003492701542766189,-0.017868789325103815,-0.06879635810933032,-0.09818912799348654,0.5421429079868225,0.03475408562256592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.294943607271727
7comm11parcaTc_1,-0.044126741641565506,0.18142327972161382,-0.030883566798723273,0.02706006074486219,0.014648869514627304,-0.04568386248677321,-0.08231206590957614,-0.043988210894977266,0.5809382812281991,0.15748782456812002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_2,-0.03950424978185607,0.21311802352333203,-0.026005958157551023,0.028993459839535805,0.006326943067428848,-0.042629297049311184,-0.09883881545099228,-0.07786227820603095,0.5956901230209549,0.15527591724029702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
