Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--wt_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.09836163534742332,0.053108500509482355,-0.04579597848750976,0.002531865452942642,-0.0079946047861291,-0.02230973245818978,-0.028915457493909027,-0.01788767442917047,-0.013893603965964006,-0.02646975718762563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.10434476314031559,0.05003776435942754,-0.040511671291745224,0.004839237597973452,-0.006453133521844511,-0.02050505336536014,-0.034559341806756405,-0.037986583265921345,-0.007002317711063052,-0.021468471290300717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.11551662868779636,0.059757236882072434,-0.04111493987881618,0.016305506522564784,-0.020499798197137275,-0.03250600798136514,-0.03587658790466578,-0.034255617084386555,-0.0063212589109721455,-0.03026996951388275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.09655593757234189,0.053950995767246115,-0.04016318894112888,0.028081480229030488,-0.00023566540168679337,-0.028967972287665237,-0.04222557662459819,-0.036025336694134324,-0.0047096233766364,-0.035525857398043495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.10912313870113825,0.04482742519320354,-0.031578215383317156,0.013175796390227647,-0.0013119950307452159,-0.02762024517616499,-0.025962326008340586,-0.02345515821453021,-0.008277080003982005,0.0012993695716495073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.11661473848735508,0.05983946071046849,-0.03185857532302971,0.025057779676888305,-0.010965578802253892,-0.02957038922316354,-0.025967077669566088,-0.020021892037728556,-0.031434111898036105,-0.0014736438817952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.09418349827437296,0.07347504738556303,-0.03563579972023549,0.02417581582846849,0.00023474256953467297,-0.025114943913143617,-0.030606823626743707,-0.028280934409602825,-0.02871684148745693,0.006506949138382203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.11825049700134473,0.05873062903790371,-0.04206351745549752,0.028323792327681317,-0.012366895662701648,-0.04097202607147072,-0.013332648482983525,-0.004321957041064034,-0.03450986462766709,-0.007517298986406429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.1258578329047431,0.06879770619227832,-0.04325004924574623,-0.010577883304137246,0.0018777625473297146,-0.03296949262042409,-0.036668522926452354,-0.00010686738011629691,-0.06889029235457596,0.019201140358396197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.13050935876434266,0.09389788455775248,-0.039413934743598764,0.0040961408566521544,-0.022001456789996317,-0.03399234340242718,-0.03864075843244791,-0.0223173496613036,-0.07675665303578844,0.02789044605811005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,0.12379749140661699,0.08920958453708368,-0.04189096009925657,0.009183714705640856,-0.011216407769724079,-0.0425127020964156,-0.04443144812856033,-0.0313414870072966,-0.04695844816286926,0.01943199678607609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,0.11379578630399441,0.07603805434120735,-0.03808703977128732,0.0074125145424319356,-0.017484559808736266,-0.02977920869608288,-0.023961361612638697,-0.00727556670651488,-0.07163770084309838,0.014250416422019834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,0.14808336609731546,0.05034737891962995,-0.04752548578802658,0.01508481210988501,-0.016980446031236135,-0.031820450397613255,-0.016957951416463956,-0.044682728405232026,-0.15913552118708257,0.09046804080352831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,0.17258886536016407,0.04497528379864018,-0.054942920714940724,0.012929652189107046,-0.025005741281353907,-0.04177706842513187,-0.01610724371250557,-0.02561692214206508,-0.1427373568859437,0.0625744665187338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,0.1588956161912368,0.042392164365105,-0.048447987333587975,-0.004211619818664115,-0.021416359393169052,-0.03985355670199446,-0.011519773216999095,-0.01769280895266844,-0.13791531950397334,0.06665065906941887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,0.16623638569822774,0.040360017992232156,-0.04828682242204313,-0.0011691067788911914,-0.02491072673188604,-0.03496589666475419,-0.024560762340931786,-0.005262596495449538,-0.15869827597037603,0.07813879841857627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.03521194225420123,-0.013471472486853599,0.007740346633869667,-0.003270082768538723,-0.0007407854303069736,0.009057647485447967,0.006781365121512311,0.004413555345457534,-0.015400604699616849,-0.0186975661503232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,-0.027388311956563726,-0.009412135042898033,0.007875341811905738,-0.003049555914881436,-0.0017219466586475788,0.007313136495649813,0.0051897378476417596,0.004539705317305482,-0.014370403432327768,-0.02777510788453662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
wt_pH4_2,-0.030135773472163997,-0.012822373954822188,0.006588881318659885,-0.0018814258066856342,0.001361908543369044,0.008434231229450391,0.005373704394568568,0.0037087554630378015,-0.01876585392686336,-0.020661595803887954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,-0.039356503329523236,-0.015104623339746309,0.010081617984434832,-0.0025902658895305963,-0.0011496546589162043,0.004404785531046597,0.00655202757243229,0.006230969935979534,-0.01139498846200497,-0.016472907184582684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.03734269889962414,-0.014615896175736966,0.00963014615294726,-0.003102760559514813,-0.002300041557654091,0.006339133846695008,0.006067011293185795,0.007525471596290238,-0.01811195896857459,-0.012887945824667162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,-0.037253802509411515,-0.014049271623725473,0.008492417665927305,-0.0014576596410378164,-0.0014268960560793467,0.007522199811494869,0.006016992954132352,0.004446348016676696,-0.013205871507525448,-0.017883995126770892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,-0.04970407155706832,-0.01919825121760368,0.008848031155117179,-0.00159446617183478,-0.001202976305199706,0.009072291347319668,0.006950397658283297,0.007002343992176263,-0.01819424242915019,-0.0007785959606585296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,-0.043972665053670826,-0.01540767384774011,0.008363242105621359,-0.002602846193248811,0.0005971184810218598,0.007270785340148469,0.007952537317962749,0.005090584401851116,-0.023121136250379294,-0.0029694859391969195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,-0.047862460605152285,-0.014684203051678514,0.008666516451731972,-0.003218137816242551,-0.0012704805705858319,0.007760167478219323,0.006270956662685975,0.010065205991268159,-0.02408842552129342,-0.0004386810278115071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,-0.0711037390290395,-0.01944511039101559,0.009074917064736718,-0.0003686672562490345,0.0006601189157885048,0.009208887962867385,0.007123454778414707,0.00871792295704717,-0.023911865285557245,0.02124454226668762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,-0.0610601586735119,-0.015884896615601104,0.010297309048473834,0.0019193071159331696,0.0016775991719054132,0.0070547507492744405,0.010306217367558377,0.005589427936660208,-0.027390871558176433,0.008691773484258548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,-0.06601166556224873,-0.018047351467868553,0.011450786723390867,-0.0016027365138997216,0.0025995547988492515,0.007477260701682256,0.008229688806054387,0.008416062598319158,-0.02435630695813376,0.013045164748378423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,-0.048433039833022204,-0.018874109150922812,0.009779726257142811,-0.003069196685176828,-0.002372330017387867,0.012010385376279771,0.007132231186589468,0.012500357405970924,-0.04830142194162245,0.02082785792000916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
