Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--wt_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.06775732163663792,0.2638413011015433,-0.04251985251498613,0.05177175088745097,-0.061148314707629055,0.012763891289739508,0.007616198440284834,-0.09020163307209375,-0.22276672263508257,-0.0686358954862732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.07812182976013941,0.23272549221778033,-0.04251434826251606,0.0446218329457485,-0.034705718762200806,0.006463179863665417,0.011947184094106375,-0.07642643317094314,-0.18926892091722594,-0.11248605289941897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.12803093476220967,0.2079887925606707,-0.04404949120448334,0.04865295199596364,-0.05046580359339714,0.011781893885977892,0.014379233780276519,-0.07778268378470898,-0.2133312718513544,-0.10672651179620753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.13697518136595258,0.22576509482753665,-0.03582940822710162,0.04645185739854754,-0.03438288683233703,0.005148665892851099,0.017140603448547745,-0.09160281017260705,-0.251143230419282,-0.10004502251258361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.22687694491008709,0.32487595739248,-0.022506365806836157,0.08172141415674403,-0.09923334028733816,0.03887207805543491,0.04052839939118081,-0.07831301827226646,-0.5228809820083173,0.14214503606943332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.1804909677147541,0.2709642730531808,-0.044530672077899396,0.07986744404729941,-0.07043137027760564,0.031197097111979256,0.04785079106121608,-0.052329984717071065,-0.4431911078484162,0.13219868553316463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.17861572236875475,0.28018068522619805,-0.027865535036215323,0.0683900449635542,-0.06045391832761792,0.036444815539795415,0.036263753110137964,-0.05872256814461687,-0.46434346043950175,0.14357658434011364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.14519133540761214,0.296658070931292,-0.021688768291926903,0.08921852244712088,-0.06936738477048018,0.02722918484764902,0.03353987281980073,-0.058796652259062165,-0.42430227533063813,0.11440421779923461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.23112831607865902,0.23793128510451184,-0.0012758068910435506,0.05734433333996846,-0.10191136585953443,0.03709380949725923,0.04377914554884899,-0.050616172028948435,-0.5824758132749602,0.16383337075214666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.1534229769849259,0.30180863478909364,-0.005232972171481539,0.05820857132420593,-0.08284857604328705,0.04633245367070902,0.03290981433394811,-0.05324697118414484,-0.5762363689595266,0.15971353952246511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
