Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--wt_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.02074242780713931,0.04699589075439651,0.1135004523914793,0.019706433577382044,-0.0033679321197711922,-0.010594673767361952,-0.003978769116751525,-0.06106568484526613,-0.05657401776508146,-0.11839107424992577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.00856946239328903,0.047037633506824134,0.10031141503835501,0.011527744003612063,-0.006569831753554553,-0.0017183303913992406,0.0004401961892195391,-0.04119265494139299,-0.04567624392554812,-0.12575633778034345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.012647469884351545,0.03995926982520716,0.0856675337093032,0.028983967978021375,-0.004255444441476593,-0.0029707723953153772,-0.007245422360365806,-0.053999191478866615,-0.041482524259582786,-0.11033183395376674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.002269379342703715,0.036776127654897135,0.10316837591483542,0.0216380653400784,-0.00279855245481367,0.007653964795172216,-0.008799662716362783,-0.050283309303871974,-0.05954784574230082,-0.103103490193253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.04558147761322882,0.12937322779356134,0.19148079268310378,0.06854801695955837,0.006410491476240365,0.0010196779765512622,0.018203662007075284,-0.05108080810178881,-0.039577592716592794,0.10782701794867934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.07888243909601286,0.11626159366382204,0.1934420228862892,0.057468858241387054,-0.0056668485911644025,0.009255578342987143,0.011989959920554058,-0.04708570243061885,-0.038955152151377306,0.10219321466172519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.05669633554213721,0.11120107694326532,0.20611061623724908,0.061992652962065256,-0.012097874541321522,-0.0015520219763983832,0.02924171082999395,-0.03286089287503906,-0.045030547194182854,0.104084907711848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.051301073106410716,0.1525093156552833,0.1872986495721599,0.04498518803197405,0.01060584960424382,0.005513425756083882,0.01480293675771226,-0.06762282961574588,-0.030816096159751005,0.10920845093124588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.10165433549200709,0.1082371558394769,0.19816425355880155,0.036388247795403006,-0.026845426714938628,0.022750123689032117,0.03282095992694729,-0.023453651940369084,-0.09872233992199536,0.12630509754885796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.08610102808993796,0.1130935560474577,0.2103103598320613,0.036771042280547,-0.035266824866766515,0.007377949548156363,0.03664807578143865,-0.03661127883616997,-0.06781867468648631,0.12669352208304663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,0.098075767946632,0.10287191260606053,0.19660672112165586,0.024970128831008215,-0.022384033386150127,0.018094993800572723,0.031824576384995286,-0.048601053423531666,-0.04751032290899235,0.12335006430097249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,0.06739303099720372,0.11257177760743575,0.21533292906115883,0.027430557581069687,-0.027733847477837758,0.019235776620714566,0.030908524303332612,-0.021839470699753446,-0.07758443943022389,0.13158391671012282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,0.09318283633693404,0.016406883645964706,0.1702423845652653,0.051165060057588245,-0.032817569771862544,0.020005612621164837,0.03441837399226168,-0.02090523667147626,-0.09476998559320753,0.07364234657391257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,0.07928935195926741,0.057280527638352445,0.18679831382859005,0.05440085186582547,-0.01778334339189789,0.002189635653858597,0.029011702743237437,-0.028231566468982595,-0.12284639749352051,0.07046162942181462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,0.09922582605934663,0.058351149385714014,0.17524287094078636,0.0525048677607075,-0.01681048680744741,0.01442748405687187,0.05027799975774858,-0.06049730689143358,-0.16278719622155902,0.10063549771581007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,0.09296246225743192,0.03644480385372173,0.21055920761402544,0.05242824276180371,-0.018519036136567586,0.007178465301251929,0.04047977555057278,-0.02482432753981456,-0.16397623578491413,0.07783734787903399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.009354866140562555,-0.028796390192988127,-0.021544951195626157,-0.009714131536691085,-0.0008408186260772796,-0.0015843267949379011,-0.0005759045935195428,0.01806473014957231,-0.0034347221060939477,-0.02286463947723741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,-0.008919971546401147,-0.01951571107558582,-0.027713097497496914,-0.005702280267749145,0.00099336251616478,-0.0026236486564511848,-0.0005919378769138581,0.014623094385732775,-0.0015209968258505287,-0.029674833727919542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
wt_pH4_2,-0.006157220297533532,-0.01787066875754491,-0.02684106613954772,-0.01110984142383804,0.0018009814117913659,0.0007368194392841796,-0.0005360472315679426,0.01666691105650819,-0.009608170509986257,-0.02772771952916746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
