Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--wt_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.07737704328909194,-0.06461106687865181,-0.005758949344086906,0.1741487327716111,-0.04512115337966901,0.02931656489472673,0.04765912840709739,0.002215924819769415,-0.19428109706946362,-0.026876891282508548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.12192999317391731,-0.09719977672697731,-0.007849032544814376,0.20273760130709928,-0.05914430147360849,0.03502171462563717,0.02967023792474167,0.004831430137805318,-0.18092647685183455,-0.05500315297475975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.05483626723613427,-0.07063312587854657,0.0025717204586481286,0.18854977497183115,-0.0660793973590531,0.0445995375805575,0.04688613455175705,0.004652849843968515,-0.17815060605497468,-0.03316491910944814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.07797657548652394,-0.04608015055687207,-0.006021388304703258,0.1636555501025008,-0.042424163496445705,0.035570752705325906,0.020759087080621852,0.013661112584902546,-0.1972364599115985,-0.02579267997092203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.14090553772068867,-0.2869281550508964,0.021634628951711497,0.3122085295896978,-0.06136273161670112,0.07663569043026022,0.12248591750293321,0.07634733423550168,-0.47515437651668574,0.1958855347428471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.22505408856248404,-0.27812618056271704,0.02678238636287658,0.261008314187841,-0.061875284529169614,0.0897155027269669,0.09137601986972857,0.08233592897815548,-0.49189361294610023,0.17828074733929142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.1483591764756357,-0.2318773703074649,0.041877041947420514,0.28921675931500357,-0.0630682547673907,0.060635956584516426,0.11661641682255208,0.04453339531005401,-0.4727145683145879,0.18907935692361838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.16056869047248495,-0.2632955497065963,0.031363477911395224,0.3183957673163842,-0.07912248099587212,0.0758778435178101,0.10334245973995523,0.0747027652937433,-0.5225081197018533,0.22333305614190588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.13858688865423852,-0.32416937496634607,0.005242630992003757,0.24093018258840815,-0.07054389464547452,0.04826879824309244,0.06104614113133564,0.03244368528056404,-0.4896326282652824,0.010474812937495501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.33130856379826107,-0.3971296910941601,0.038587191013376355,0.2091521346560963,-0.08065938112285476,0.029269684702562904,0.09708888880463067,-0.0007303973785399111,-0.5940598014074014,0.0198200499780638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,0.12542836777622932,-0.27631918539212125,-0.0026869349942907025,0.3059619369147265,-0.06021040030957564,0.05391110548263659,0.014454168105578943,0.06586654419484347,-0.5829465168912937,0.009188157063301491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,0.16674006024537524,-0.28963883951873237,0.005658330908450104,0.21917018123335485,-0.06390947036971541,0.005740912591876542,0.014867851448285842,0.03648817877528135,-0.4703854673452999,0.02791550398115878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,0.10472509019441258,-0.1606714845691686,0.010753730265423658,0.26719216239395677,-0.052625181138839426,0.036257291467779354,0.05150630717368229,-0.029919547706275532,-0.3114272723261915,-0.04695101227489824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,0.23462959379038734,-0.22019114156618064,0.02638578226020479,0.23150565560421218,-0.10781179778034922,0.05290662382810337,0.07295353343143411,-0.033439825436748255,-0.35478561293617217,-0.03331272771501024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,0.08753943824249764,-0.14489447401512573,0.014337625404738864,0.17276796541946088,-0.027460075428952343,0.03302268797248278,0.02920456658157965,-0.01403940156912026,-0.24683629471039314,-0.03480195441728699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,0.122741504341121,-0.13571671908761818,0.010676926926750204,0.1882188492478884,-0.05731045426881832,0.044807851196712135,0.029296639191553647,-0.007276882650735589,-0.2675384667260654,-0.059059164690906565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.026749329091981047,0.04214317217712169,-0.0032835627954615203,-0.06795565764541213,0.017881006210556497,-0.018148401164571226,-0.013891644604180175,-0.004620891528447039,-0.025213332523632313,-0.031321276104806554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,-0.02856362411711852,0.0318100436327412,-0.00805557748383802,-0.07243704424604126,0.01215551643267922,-0.010079092335603808,-0.014349364390920686,-0.0061651903666231946,-0.025486126364735164,-0.009989457815156682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
