Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--wt_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.0535175254787116,0.05454807977394562,-0.014802293830308256,0.02730480981140356,0.13872223576874995,-0.003342172667465131,-0.0025494325237915565,-0.09492726812827523,-0.12002127739884279,-0.14402707805857065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.04221647462969565,0.032756636630460294,-0.011816244297255966,0.033316043415309304,0.14103342354520346,-0.0148204089741668,-0.007877181350132045,-0.08904858147401523,-0.08795765728082347,-0.14337937646444243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.03610596437736051,0.004123139206077097,-0.01452679480000844,0.030149616147998888,0.13993692364523427,-0.010167815143080511,0.007906376589089633,-0.05305360995253304,-0.12219108172591125,-0.12385958986154394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.05006359742670927,0.04652273693364922,-0.024594484252814682,0.05117948882868919,0.112669940414717,-0.006199802485618583,-0.0018413118222404446,-0.07416450096415762,-0.1359276844453795,-0.12328485140799669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.10475797881271041,0.06856942336783621,-0.007961902113266934,0.072968170250685,0.23857160379320538,0.01143970448139083,0.02097224557326863,-0.07894258157613324,-0.22118900337904365,0.11895198156996425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.10353479931211988,0.06668882796986274,-0.008502317021155495,0.08804041975036099,0.22139861811478825,0.02540371701607238,0.04532572751480113,-0.09597092061809709,-0.2087103712117381,0.0909291199536022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.12682002955703472,0.09409559079891308,0.0023631040425971177,0.0554048716177678,0.21452925168463705,0.02408098165998641,0.047672197107509084,-0.05446868232714579,-0.28321479046757786,0.10085506710689514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.12444441402594202,0.046243457802085455,0.006061149373367103,0.09761474224759024,0.22598038814617724,0.021603078805112638,0.030322281303410623,-0.1040584668280233,-0.21589597532687627,0.09582255123183131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.16352716439626297,0.03071383807889145,0.024031765808189377,0.06628874331024354,0.23538813323835306,0.036909257061981955,0.01970313037705162,-0.11081927449766385,-0.26480966400760025,0.19144876753729156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.15619139453659397,-0.002397335825852392,0.023828614522176595,0.06827767259603283,0.2221171904713644,0.045314177034179795,0.05093616202230687,0.0015482433136228522,-0.3746571250751857,0.20122286770776246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,0.20420532629298777,0.01425610585948047,0.013474847074274137,0.08395841361448651,0.21476835299546462,0.02365458941026388,0.03837609019089976,-0.12344784169356623,-0.22501368981219178,0.14814966737090243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,0.12766571340252358,0.029496861273908763,0.01703096407283421,0.06282683656449711,0.27154235416739847,0.024403942577419402,0.03504898532637923,-0.07202866443959267,-0.26700964583124476,0.16340451418887825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,0.17347444995630373,-0.025327514048422806,0.03859088704070969,0.08622435686988353,0.2234241189838023,0.02988554299606578,0.04055144750411904,-0.06353077460849738,-0.36208493256354296,0.08888975592390834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,0.1621061264033146,-0.015452435316679914,0.03423659867647551,0.07838909548302384,0.19787588942127882,0.02745987354575292,0.03619105817000989,0.013564575602624404,-0.4291981666316481,0.12492472270017728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,0.13913186395682556,-1.64414695261618e-05,0.0302707827275457,0.08510948519303421,0.20897789815177573,0.03167699131385787,0.052006911361670995,-0.11585214669978165,-0.3500662699291158,0.14885826344804268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,0.1595457654993009,-0.01048202012260647,0.01989193512592464,0.08158883935225238,0.22739477994041915,0.023732837050667276,0.048027831381794214,-0.06107305272684798,-0.3656478198429408,0.10711824239636566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.019899132087745748,-0.0043958556032537115,0.0017125588617004132,-0.010842005315277238,-0.03932009951596189,-0.0004540791368597883,0.001519547971572889,0.02147051281984086,-0.023938087594249976,-0.03831664264607041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,-0.01951623319749437,-0.012254385466727875,9.772435761988152e-05,-0.01162595400708201,-0.037908994477120754,-0.0009563545945464915,-0.00035845776068289717,0.020331203358895752,-0.02180151706217262,-0.02847031339051445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
