Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--wt_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.04632484791192996,0.0026983063293459027,0.00026152716888843585,0.007872948280495146,-0.013081263317726553,0.03831175185598271,0.004230465305483213,-0.05509088110421663,-0.025818648431450136,-0.052715895175124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.04039764145186736,-0.01072372796682074,-0.001561043682386692,0.016869864160518937,-0.01565499282077603,0.038162405747393865,0.006599807517360082,-0.044131244148087244,-0.02201219422216325,-0.05495335715175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.023292244185248147,0.006218653296160959,0.002625596822320443,0.017853349346829493,-0.010724271458128223,0.053286998395038705,-0.004945477121712073,-0.04207951122247007,-0.02184537898728867,-0.07068904454576906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.03783132699885122,-0.007533489426840906,-0.002063895625507703,0.019190654386158867,-0.014138353483184526,0.048341090383170075,0.004293215858304631,-0.03431076389130043,-0.029258445730918785,-0.06935818060301245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.03046510267071425,0.021344357747989505,0.033703077815716034,0.032382924766482225,-0.01890041138713612,0.06353950272800157,0.02611469759140164,-0.04281479718730501,0.0015134223283308963,0.04480461236818329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.05618668997295849,0.040320550615129916,0.03473613053033857,0.020758079077805514,-0.0068322841904085605,0.09601052433292824,0.024245840363082992,-0.058198867057166655,-0.050592462972170946,0.03551828876988072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.03662762273568659,0.042287015744242026,0.029112193151174675,0.0216258150683311,0.003906450400371916,0.06225424428733634,0.017765253178329898,-0.05192925249044178,-0.0024925705569836753,0.032995717924331196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.05414431729455194,0.02911990510785711,0.02744582745833727,0.028460573716413064,-0.015143767504588415,0.09818573773271687,0.022582894274155087,-0.08625710243480686,-0.003984650322843509,0.037598754120585706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.07307258554329366,0.012254267461678901,0.02929688029780822,0.051896677357549575,-0.04562344673150422,0.08310910205053086,0.03885086999011591,-0.0638916739376019,-0.009643009425059931,0.06755039481648609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.049356328784285676,0.043843654835110775,0.03278971602775805,0.046007876176711,-0.02038411537225803,0.08794675459558875,0.012772743589771183,-0.06432325937218315,-0.01953444339982841,0.06839739155834139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
