Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--wt_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.0052214499008740554,0.04309230397885624,-0.04325877651658273,0.012376025527331,-0.03318118218023774,-0.0198884468900708,0.1343300746785193,-0.06730192620762748,-0.047574227699635395,-0.025744229439524542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.014197755745389371,0.03516820373049045,-0.04219675180163113,0.018519889039554347,-0.027379310438308217,-0.01645697760102137,0.12548825782040424,-0.059997739813735934,-0.0579809872999423,-0.03129127419042482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.012102359286610681,0.05277559020095911,-0.0561134363288748,0.020642912082333605,-0.02892956395289334,-0.0039037136876267273,0.09454741035051564,-0.06973199537454135,-0.04844050020941169,-0.014877997117987634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.014098001576494422,0.039723200098631666,-0.05097464582796775,0.02390708215038657,-0.023817548069282955,-0.007783403804161303,0.11156877858397231,-0.05245391262512978,-0.05999084175852855,-0.036205644939277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.042024174624821165,0.012623292712808548,-0.031064203276967052,0.0565701878972291,-0.03893935248296221,-0.001169846652672911,0.15765915907934594,-0.04204226686335777,-0.09218171011742571,0.08338861982489976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.04300340174530308,0.007729920302770788,-0.03928248667968032,0.0825839053080721,-0.03799149910894061,-0.0018147855873077961,0.1521184097596384,-0.03324530521898693,-0.13598007404832577,0.10974656827317593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.04970552725489654,0.023336245998861676,-0.04885010075603571,0.07906453546020205,-0.05440305022497497,-0.006926305881073781,0.18670305950860705,-0.052073779708564104,-0.12566509545780716,0.09597701855160742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.05904231775116741,0.011239550600800173,-0.0417604614286076,0.057617113714146885,-0.06312731984926832,-0.011095885487941456,0.16072298054082282,-0.04311491046905638,-0.10770182101678547,0.12504649039044088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.07054691542911788,-0.027411739875349915,-0.020470484900338894,0.04659917097594388,-0.05169362296127593,0.0038037047847477843,0.13486930067190372,-0.04576058684402834,-0.15062605103877694,0.05012629723672391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.06142504365147982,-0.052223465570157564,-0.01602547527220019,0.047171138097663705,-0.05876196114402061,0.014169699292802053,0.16066154101797706,-0.06177111939005757,-0.13821210820637847,0.05354961100155893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,0.06537424651986878,-0.04981096287779308,-0.00924842896081669,0.05160550652512188,-0.07912640874962444,0.004503028752160783,0.13905671645543013,-0.07270327621509079,-0.11996975243987477,0.08030223446928529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,0.05529992729749369,-0.05487193595668625,-0.008975281074096491,0.05123831381429109,-0.07903061868440685,0.009167172175821976,0.16222384742319426,-0.035788736080437,-0.1671953950884104,0.07791560965190318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,0.07835813357682046,-0.03137709262659368,-0.014813123430813781,0.023072987202980108,-0.03288094454642345,0.005649512873243785,0.1243234641918832,-0.048775819821951345,-0.1215660739721953,-0.043955669880277756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
