Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--wt_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.04669215081502563,0.02454744242293679,-0.039390321889001385,0.035824877854598605,-0.021947129234347666,0.0076002114330944795,0.01102207954325106,0.1458498278600366,-0.14657260471388048,-0.03713151803969041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.0567206856041499,0.006673326816247866,-0.01888921813472457,0.034913831320793724,-0.035967473369901595,0.020156985247588667,-0.008181758378834824,0.17484421857025315,-0.17701727469168274,-0.026758306134978083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.013909261532775741,0.03517413860267918,-0.04152336493944345,0.01908358886352052,-0.02428023404077343,0.009734905203399454,0.014237216463231528,0.15822613433489333,-0.14105183779383487,-0.017014791908795422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.07500255675257549,0.01705648478282534,-0.03808077414398607,0.04422949382792349,-0.0325495261358826,0.008642059072204264,-0.004890243911548797,0.1848359301572909,-0.1586927997806798,-0.06905816390462541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,0.10259348051541525,-0.05052293751388788,0.026831530094470656,0.12414796763788102,-0.039795709898614355,0.04808427500174096,0.09156994755177396,0.27634492454483456,-0.3623122300677326,0.2049716669466833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.11353836338805115,-0.041166347124330385,0.02285520127448051,0.1066310472122353,-0.0311888367569317,0.04642543964897809,0.12650351301645452,0.25361030706082993,-0.383041433257901,0.20774566035069852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,0.15346681290184677,-0.05846631664458823,0.029259448717145812,0.10619683674496158,-0.037313909639158975,0.060281543811054314,0.09648098220805756,0.21533332115930065,-0.3574279260343831,0.21410212158832853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,0.09733117506231952,-0.04259528022259475,-0.0011798573949414796,0.09395533196790061,-0.034286678571092036,0.04619831130232499,0.10806219014622596,0.263708507300395,-0.34419409017362035,0.23491330539564723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,0.1554777758762889,-0.11452309298126591,0.04046370509202066,0.12218497875268047,-0.06099807060607101,0.060235802464835016,0.06390539514629737,0.1324397186027921,-0.3677618535073554,0.08164524132466834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,0.1236994034910332,-0.10180248138859221,0.03691049487694449,0.11047942983877398,-0.05424617248222881,0.05786637058724528,0.05263522925584212,0.20889032604577745,-0.4061811205339819,0.0848181204740768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,0.1522858884298931,-0.07258986131490573,0.025007787805212588,0.08579522091085495,-0.06789031157674996,0.04563862255895915,0.04436387931361148,0.24642386193832627,-0.43376615237444627,0.08780066447413487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,0.11526249664957111,-0.037953573743934224,0.03231483148005994,0.09963831730834814,-0.06999317534915779,0.044552593786755336,0.03753077906272982,0.22853300445429656,-0.4485822790666766,0.1117666055828981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
