Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--wt_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,-0.12534119045928768,0.2548973554210819,-0.026184377746413582,-0.043885295126263206,-0.0015235934673768039,-0.028179239567531187,-0.14114021402905172,-0.025364955719560385,0.04358656639152247,-0.17717233020164389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,-0.10223266219639261,0.20959939517566686,-0.04191222773459943,-0.051015685241993354,-0.001320708138949193,-0.02711614891238834,-0.14014364828962994,-0.035101186553745174,0.08854311867657563,-0.1696075207578099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,-0.08895828644866531,0.15812754371324955,-0.013335573654621853,-0.042198679578369085,-0.0005746484790807205,-0.0379761928141765,-0.13856566669743345,-0.024419024069995986,0.05747450788707839,-0.13988125451314062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,-0.06006954136749975,0.23518201826950128,-0.07821399888914567,-0.05373892734880035,-0.002838464768036553,-0.03542843327250169,-0.1359662394403764,-0.029614992780691907,0.06705923180055359,-0.1766779266670346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,-0.1763396280291288,0.23155555325033877,-0.01507602699667863,-0.017020222833785018,0.025207864069582336,-0.05230759035067067,-0.1455351200529738,-0.06683569380608591,0.07253589812909131,-0.017239838964913202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,-0.18499556803023043,0.24603480143067633,-0.019057189073899507,0.0064860259393311045,0.028297232449378654,-0.0636076611061783,-0.1637349523717295,-0.08410562017851551,0.08236102372245944,-0.008732898366516051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,-0.1917834251082462,0.25744364788755775,-0.028398574514557483,-0.01247442329545383,0.028649771547187917,-0.04416711110378737,-0.16151834983702587,-0.06213398936731014,0.061061240066166825,-0.007733591850037158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,-0.18859820124733703,0.2141188804821475,0.00014935286634642147,-0.01514546419453361,0.029355198788740065,-0.049124018222741456,-0.12825274794888886,-0.050776319232485864,0.05119671623020068,-0.02397820310991095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,-0.25390631956898646,0.3218712973529878,-0.034594650177042115,0.0033485696570056834,0.05629020336934405,-0.0755740102947406,-0.14615478174679955,-0.07418670539541738,0.12132325561069271,0.1974908221812676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,-0.2062473231100518,0.2876736883017356,-0.009458980246892443,-0.025063152649318392,0.04094569208505361,-0.07557123990648466,-0.14642619829543915,-0.026003576499288514,0.10818037946182098,0.16787839192816098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_3,-0.2161591978209174,0.3644104090746006,-0.035115122831548044,-0.008988671632402627,0.038134863826891664,-0.08576338317083276,-0.16333363922960736,-0.10489158801896413,0.14351543790944238,0.18409857338699306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
