Experiments,wt_OD<--AC_OD,wt_OD<--BA_OD,wt_OD<--BC_OD,wt_OD<--BL_OD,wt_OD<--BT_OD,wt_OD<--BV_OD,wt_OD<--CC_OD,wt_OD<--DF_OD,wt_OD<--wt_OD,wt_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
5comm11wtaTc_1,0.011605760924437122,0.11269332000459344,-0.053347440102016155,0.004808385508215942,-0.00806868246716002,-0.018385289193981375,-0.06010738303196492,-0.08872734149836978,0.2961326129803352,-0.16355604073761598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_2,0.004148119559268586,0.13183088351041078,-0.06161684446198788,0.0010237894640506584,-0.006206377215035588,-0.0177881765090253,-0.06456237782886169,-0.07723675760197576,0.3003634553673961,-0.17690781191072386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_3,0.0043944966205922194,0.08916287606541554,-0.040431146371461786,0.011465573269144992,-0.00986347083002329,-0.010701496239508626,-0.05007479565946954,-0.07983391473960617,0.29621807153458174,-0.17728829126319162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
5comm11wtaTc_4,0.021195651400105466,0.12724528041141833,-0.05560649293474852,-0.0031069406899421133,-0.008527775711339456,-0.0203823446713226,-0.07125561837390387,-0.08963443244523978,0.3065215755699445,-0.17340100012962575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0997489321824637
6comm11wtaTc_1,-0.006146362712606787,0.1787790537722732,-0.05931802272553679,0.04831408511644795,0.003928212319379272,-0.025936513069369223,-0.06711906901763184,-0.1338718682446558,0.44359595800547497,0.022540358756871326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_2,0.011706954753836218,0.18072737511976253,-0.05313185552540029,0.03994207501816361,0.0026794920015432238,-0.027474034541165048,-0.055271523027964245,-0.1720701906141703,0.4436459066269352,0.03401163238910553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_3,-0.010430839145961017,0.1696721570137078,-0.05866411792519299,0.04568656255207632,0.004836900120034169,-0.018674726531557412,-0.054665294672645935,-0.13424713696191165,0.43820930900133176,0.023043018750765407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
6comm11wtaTc_4,-0.010689445775326179,0.1707107984286773,-0.05228593639219585,0.04059683290674635,0.0007810728632561539,-0.03070839507586281,-0.072000608747906,-0.12383141572911127,0.4464330214148628,0.035759908307505694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.294943607271727
7comm11wtaTc_1,-0.028799298345718708,0.22241332861716326,-0.04195633622372281,0.04014840017275319,-0.0002486290879871531,-0.029128671352468105,-0.07356583596733599,-0.13545884384652196,0.5331137631088497,0.16874070672399324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_2,-0.04189479770827228,0.21257673884215558,-0.05303397559277388,0.03850436977475234,0.00495127732622559,-0.03277157848214974,-0.07522095529403053,-0.10835491706009792,0.5516147657176074,0.15888765627558787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
