Treatments,Time,AC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
AC_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_4,3,0.01,0.014286171,0.013562503,0.013328095,0.013582666,0.013480505,0.013541986,0.013932264,0.014265976,0.013642499,0.012702271,0.014147654,0.013775436,0.0141855525,0.013225967,0.01330443,0.013698467,0.013276552,0.015104915,0.013764292,0.013466271,0.013884405,0.013613581,0.013818063,0.013574934,0.013825204,0.0134269595,0.014032739,0.014144525,0.014470702,0.014363124,0.014013934,0.0133862635,0.013957591,0.014105061,0.013132898,0.013897201,0.014297246,0.015116301,0.014179222,0.013785126,0.013671596,0.013408636,0.013135807,0.013874199,0.014291817,0.014519265,0.01351829,0.013091912,0.013595241,0.01376466,0.013624891,0.013208666,0.014440235,0.013623549,0.01355704,0.013568771,0.01377389,0.014061921,0.0134360185,0.013776925,0.013489349,0.012939964,0.013964355,0.014026505,0.014000254,0.013677333,0.013674443,0.013595392,0.014044133,0.014137844,0.013622922,0.013993494,0.013569765,0.013815961,0.01310287,0.013949541,0.013811961,0.0144872395,0.014350547,0.012675977,0.0133081945,0.013332282,0.013384875,0.012966381,0.013852568,0.014509234,0.014147675,0.013119793,0.013779241,0.012742991,0.013731495,0.014382751,0.013134203,0.01356553,0.013822458,0.013613914,0.013843641,0.013348536,0.013709612,0.013183848
AC_4,6,0.022171,0.020396791,0.018385459,0.017756173,0.018441685,0.01816463,0.01833077,0.019399775,0.020340255,0.018603532,0.016129384,0.020003876,0.018968597,0.02011038,0.017485516,0.017693473,0.01875444,0.017618533,0.02279851,0.018935405,0.018127188,0.01926591,0.018523494,0.019085174,0.01841878,0.019103859,0.018021002,0.019679222,0.019996127,0.020925239,0.020618778,0.019627457,0.017911142,0.019471072,0.01988374,0.01724117,0.019303415,0.020429065,0.022832602,0.020093877,0.018994197,0.018681567,0.017970918,0.017248156,0.019239673,0.020413892,0.021067098,0.018267453,0.017132174,0.018473692,0.01893635,0.018554505,0.017440189,0.020838685,0.018550143,0.018370124,0.01840295,0.018962879,0.019762281,0.018044384,0.018972697,0.01818716,0.016738059,0.01948795,0.019663477,0.019591022,0.018698841,0.018689655,0.018474666,0.01971243,0.019975984,0.018549057,0.019570585,0.018404977,0.019076886,0.01716276,0.019449964,0.0190671,0.020975403,0.020579739,0.016062949,0.017702907,0.017767318,0.017906465,0.016807467,0.01917887,0.021038225,0.020004451,0.017206589,0.01897632,0.016234353,0.01884602,0.020672515,0.017244916,0.018394032,0.019095847,0.018525502,0.019153865,0.017811922,0.018786348,0.017374894
AC_4,9,0.01,0.029095408,0.024907613,0.023641901,0.025025796,0.024462301,0.024798805,0.02699163,0.028977506,0.025353307,0.02047248,0.028260788,0.026104994,0.028484618,0.023104493,0.023517562,0.025657218,0.023366252,0.03437142,0.026030088,0.024388937,0.02671078,0.025186798,0.026343478,0.024974307,0.02637935,0.024173765,0.027573172,0.028247362,0.030227836,0.029576033,0.027466942,0.023951117,0.027142426,0.028007023,0.022624036,0.026793899,0.029166121,0.034447562,0.028453365,0.026155058,0.02550946,0.024070786,0.022636214,0.026661599,0.02913465,0.030539015,0.02467233,0.022406217,0.025085505,0.026031896,0.025250593,0.023015665,0.030044505,0.025239902,0.024875138,0.024944365,0.026089497,0.027750771,0.024218444,0.026113452,0.024504578,0.021640616,0.02717247,0.02754457,0.027395425,0.025548866,0.025526747,0.0250889,0.027646203,0.028201502,0.025239268,0.027348595,0.024946826,0.02631985,0.022470746,0.027101835,0.026302768,0.03034301,0.029484056,0.02034675,0.023534952,0.023664147,0.02393945,0.021777647,0.026533071,0.030476917,0.028263494,0.022555564,0.02611387,0.02067581,0.025847968,0.029684471,0.022632195,0.02492591,0.02636171,0.025193654,0.026480485,0.023756353,0.025726207,0.022887
AC_4,12,0.01,0.041451704,0.033714388,0.031454735,0.033936303,0.032918017,0.033523247,0.037513472,0.04123533,0.03452383,0.02597122,0.039879493,0.035898868,0.04029573,0.03050761,0.031236062,0.03506472,0.030964026,0.05173016,0.035746977,0.03279138,0.036989465,0.03421497,0.036330834,0.033832487,0.036390442,0.03240366,0.038585722,0.03986135,0.043601755,0.042377573,0.038393546,0.032002255,0.037797388,0.039403968,0.029669419,0.03715494,0.041590054,0.051880054,0.040245984,0.035984356,0.034799423,0.03221483,0.029687341,0.036911283,0.041532695,0.044209126,0.033299834,0.029281605,0.034032147,0.035749912,0.034331743,0.030353371,0.043259937,0.034308318,0.033652883,0.033783447,0.035861988,0.03892413,0.032478303,0.03591443,0.032986593,0.027961843,0.037840787,0.038543064,0.03827194,0.034880254,0.034832597,0.0340413,0.038729556,0.03976734,0.034310732,0.038175434,0.03378419,0.036272615,0.029403545,0.037730377,0.03624862,0.043839432,0.04218226,0.025759997,0.03126381,0.031494197,0.031976424,0.028202912,0.036669128,0.044091053,0.039888024,0.029548801,0.035899002,0.026321871,0.035418384,0.04256682,0.029685313,0.033749424,0.03635549,0.03423354,0.03657063,0.031664465,0.03519831,0.030128377
AC_4,24,0.022489,0.16631195,0.111350544,0.09721235,0.113209896,0.10639887,0.11033207,0.1369472,0.16505365,0.11685468,0.06667746,0.15437317,0.12647696,0.15726084,0.091576055,0.095941715,0.11993773,0.094107494,0.254783,0.124676645,0.10580749,0.13294296,0.11446077,0.12921199,0.11201951,0.12930033,0.10321848,0.14430659,0.15465334,0.18284039,0.17442158,0.14321178,0.10051348,0.13924128,0.15081623,0.086815074,0.13475324,0.16766004,0.2559975,0.1574215,0.12674671,0.11832357,0.10181227,0.086790785,0.13304469,0.16735642,0.18844292,0.109070905,0.084285885,0.11327377,0.12468121,0.11529432,0.09073749,0.18069887,0.11494825,0.110814124,0.11192897,0.12578705,0.14720279,0.10346328,0.1265865,0.10651625,0.07712389,0.13888566,0.1445857,0.1429619,0.11931248,0.11862707,0.11347819,0.14579529,0.1534768,0.115130864,0.14172977,0.11176295,0.12803845,0.085343175,0.13920408,0.12824988,0.18589157,0.17157643,0.0656393,0.09598519,0.09745415,0.1001384,0.07862284,0.13105193,0.18756422,0.1546412,0.08607801,0.12565756,0.06868544,0.12263903,0.17480275,0.08697104,0.11167134,0.12892787,0.11487687,0.13026936,0.09878149,0.121234,0.089443244
AC_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_5,3,0.01,0.017271712,0.016700529,0.016612383,0.016286273,0.018087009,0.01666654,0.016265685,0.016150651,0.015890054,0.017046355,0.017825272,0.017234424,0.01721596,0.017264549,0.016347755,0.01683472,0.016640758,0.017485317,0.017721027,0.016304722,0.016774932,0.017061306,0.01720387,0.017324025,0.015676059,0.016633997,0.016488366,0.015444514,0.016137976,0.018271822,0.016223006,0.016518421,0.016383333,0.017496163,0.017198982,0.017314618,0.01609784,0.017078824,0.016626425,0.016164118,0.0182468,0.01688868,0.016969385,0.016996566,0.017046122,0.01746586,0.017313467,0.017664233,0.01683898,0.016613472,0.016670763,0.016856957,0.01610768,0.016132096,0.017225625,0.016765146,0.016472679,0.017074838,0.017460624,0.01760593,0.017066507,0.017195284,0.016334295,0.016216999,0.016894791,0.016841186,0.016456014,0.016189689,0.017103367,0.017303612,0.016808366,0.017083844,0.016528238,0.016008025,0.016948607,0.01830968,0.017451303,0.018192003,0.017608505,0.01610591,0.016107423,0.017110763,0.016488392,0.017846549,0.01681313,0.017338306,0.017137188,0.016264409,0.017294368,0.016915724,0.016878387,0.016003072,0.017864719,0.018084504,0.017109718,0.016422726,0.016158031,0.017054578,0.015649347,0.017296722
AC_5,6,0.01,0.029790912,0.027854595,0.027562575,0.02649475,0.03265169,0.027739821,0.026423773,0.026052598,0.025224065,0.029018398,0.03172167,0.029654816,0.029596468,0.029764893,0.026694814,0.028303804,0.027656872,0.030524125,0.031357244,0.0265528,0.028102903,0.029067153,0.029552963,0.029968482,0.024548903,0.027634373,0.027155716,0.023832066,0.026013346,0.033323474,0.026287884,0.027255084,0.026810447,0.030564347,0.029534008,0.02993621,0.025886409,0.02912433,0.027607357,0.026099114,0.033230543,0.028483305,0.028754808,0.028849177,0.029013077,0.030460116,0.029928409,0.031148564,0.028316434,0.027565617,0.027755277,0.028379904,0.02591751,0.026000865,0.029626442,0.028071672,0.027101014,0.02911752,0.030443866,0.03094926,0.029087974,0.029523766,0.026649274,0.026269402,0.028505387,0.02832177,0.027045883,0.02618019,0.029212689,0.029896997,0.028214302,0.029139852,0.027283015,0.025602387,0.028687466,0.033458523,0.030409481,0.033029843,0.030953161,0.025910866,0.025917724,0.029235313,0.027154874,0.03179555,0.02823076,0.030016534,0.029328043,0.026422678,0.029862706,0.028577404,0.028449629,0.025581477,0.031862758,0.032647226,0.029237628,0.026940295,0.026076825,0.029043036,0.024466155,0.029872432
AC_5,9,0.01,0.051265474,0.046358377,0.045635957,0.043024328,0.05874379,0.046066966,0.042838007,0.041943252,0.03997751,0.04928542,0.056287028,0.050886124,0.0507557,0.051193062,0.043511227,0.047482744,0.04587069,0.053136107,0.05534271,0.043158785,0.046977617,0.049401112,0.050636392,0.05171208,0.038382895,0.045814477,0.04464121,0.03672436,0.041854367,0.060568366,0.04251709,0.044887114,0.04379168,0.053250704,0.05057972,0.05162965,0.041556146,0.049537852,0.045741044,0.042066064,0.0603076,0.04792679,0.04860783,0.04885534,0.0492551,0.05298422,0.05159491,0.05475993,0.047508426,0.045641743,0.046110354,0.047678787,0.04162918,0.041845758,0.05082028,0.046904907,0.044495884,0.049545456,0.052950036,0.05425938,0.0494659,0.050562434,0.04339433,0.042475585,0.047987655,0.047514003,0.04435905,0.042256612,0.0497803,0.051523924,0.047254372,0.04957131,0.044940505,0.04088778,0.04844855,0.060923137,0.05285301,0.059757445,0.05424946,0.041609924,0.04163305,0.049828153,0.044635795,0.056476068,0.047297344,0.051831357,0.050073974,0.042846035,0.051426496,0.048174452,0.047845267,0.040820878,0.05666509,0.058750317,0.04985582,0.044112545,0.042003307,0.04933559,0.03819191,0.051457867
