Treatments,Time,BA_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BA_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BA_4,3,0.01,0.008920107,0.00861541,0.008770406,0.008832898,0.008896747,0.009031714,0.008933019,0.008858732,0.008878221,0.008902376,0.008968128,0.00878426,0.008890872,0.009061258,0.008762696,0.009081516,0.008716988,0.008670416,0.00896714,0.008843706,0.009073721,0.008850822,0.00892851,0.009101302,0.008995588,0.008638863,0.008855795,0.008873345,0.009003083,0.009313288,0.009058798,0.008663784,0.008866583,0.008942219,0.0087273,0.008915154,0.008679352,0.0090250345,0.008853174,0.008807209,0.008783876,0.00905627,0.008656801,0.0090685515,0.00877122,0.008887906,0.0089208875,0.008929,0.0090749,0.008708459,0.008796944,0.008802052,0.008896994,0.008703018,0.008907436,0.008911883,0.009035561,0.008907153,0.008791954,0.008895275,0.0089234905,0.008842412,0.0086735925,0.008818096,0.00896246,0.008724963,0.00877023,0.008829056,0.008911233,0.008782885,0.009016889,0.008840583,0.009068004,0.008927843,0.008953763,0.008783116,0.009109724,0.009046842,0.0089212805,0.009153141,0.008974721,0.008599192,0.009074591,0.008834839,0.008775905,0.008709179,0.0089599965,0.008894966,0.009051298,0.008935467,0.008833054,0.008846104,0.009008559,0.008906758,0.008747515,0.0088247135,0.008919863,0.008716846,0.008905178,0.008977859
BA_4,6,0.01,0.007958521,0.0074245916,0.007693835,0.007803687,0.007916918,0.0081587825,0.007981612,0.007849538,0.007884004,0.007926905,0.0080443295,0.0077181845,0.007906504,0.008212171,0.007680277,0.0082488535,0.007600488,0.0075195585,0.008042629,0.007822858,0.008234737,0.007835418,0.007973495,0.008284811,0.008093695,0.0074649416,0.007844235,0.007875343,0.008107121,0.0086749485,0.008207717,0.0075080018,0.007863375,0.007998025,0.007618491,0.007949607,0.007534962,0.008146752,0.007839642,0.0077585075,0.007717512,0.008203142,0.007495941,0.00822541,0.0076953657,0.007901256,0.007959939,0.007974471,0.008236908,0.007585613,0.007740476,0.0077494257,0.007917424,0.007576098,0.007935961,0.007943836,0.008165656,0.007935383,0.0077317334,0.007914409,0.007964635,0.007820564,0.0075251022,0.00777765,0.008034223,0.0076144338,0.0076935794,0.007796924,0.007942693,0.0077158054,0.0081319995,0.00781745,0.008224397,0.007972246,0.008018663,0.0077161314,0.008300223,0.008186099,0.007960674,0.008379345,0.008056116,0.007396558,0.00823628,0.0078072837,0.0077035227,0.007586911,0.008029836,0.007913792,0.008194022,0.007985912,0.00780415,0.007827087,0.008116984,0.007934793,0.0076537454,0.007789393,0.00795805,0.0076002944,0.007931971,0.008061811
BA_4,9,0.01,0.007101949,0.0063999016,0.006750821,0.00689572,0.00704635,0.0073715453,0.0071329083,0.006956743,0.0070024855,0.007059675,0.007216996,0.0067829327,0.007032488,0.007443906,0.006732963,0.007493715,0.0066284295,0.006522922,0.0072147916,0.00692124,0.0074745677,0.006937846,0.0071219737,0.007542765,0.0072835507,0.006451987,0.00694955,0.006990957,0.007301604,0.008081412,0.007437841,0.0065078107,0.006975065,0.0071548996,0.0066520255,0.0070898975,0.006542862,0.0073552756,0.006943564,0.0068361135,0.006782063,0.0074316505,0.0064922185,0.0074619236,0.0067529734,0.0070254933,0.0071038348,0.007123395,0.0074775456,0.0066089733,0.006812292,0.006824089,0.0070470925,0.006596493,0.007071783,0.0070822584,0.0073807435,0.0070709614,0.0068008187,0.0070431367,0.0071102325,0.0069181276,0.006530189,0.006861346,0.0072034444,0.006646752,0.0067505487,0.00688679,0.0070807557,0.006779846,0.0073351995,0.006914176,0.007460528,0.0071202125,0.007182574,0.006780164,0.007563888,0.007408534,0.007104899,0.0076721055,0.007232796,0.006363544,0.007476641,0.0069006723,0.0067636413,0.0066107553,0.007197616,0.0070422576,0.007419111,0.007138601,0.0068965955,0.0069268052,0.0073149116,0.007070291,0.0066981767,0.006877002,0.0071012517,0.006628252,0.0070665353,0.0072405203
BA_4,12,0.01,0.0063386387,0.0055177617,0.0059244726,0.006094426,0.0062725707,0.006661321,0.0063755554,0.0061666165,0.0062206048,0.0062883506,0.0064757555,0.0059621236,0.0062561706,0.006748536,0.005903535,0.0068087038,0.0057818,0.00565949,0.006473247,0.0061245924,0.0067855944,0.006144157,0.0063624415,0.006868168,0.0065555694,0.0055775866,0.0061579873,0.006206951,0.006577163,0.0075294157,0.0067412136,0.0056419154,0.0061881766,0.006401727,0.0058092643,0.0063241846,0.005682426,0.0066417768,0.0061510024,0.0060244673,0.0059611034,0.0067337574,0.00562396,0.0067703547,0.0059271296,0.006247887,0.0063408953,0.006364274,0.006789223,0.0057591586,0.005996521,0.0060103205,0.006273542,0.005744625,0.0063027884,0.0063151736,0.0066722883,0.0063017355,0.005983121,0.0062689106,0.006348583,0.0061208955,0.005667925,0.0060540643,0.0064596427,0.0058031417,0.005924217,0.0060839304,0.006313416,0.0059585506,0.0066175098,0.006116392,0.006768626,0.0063602524,0.006434729,0.0059588063,0.0068938998,0.006705864,0.006342213,0.007025495,0.0064946245,0.005475878,0.0067880615,0.0061004837,0.0059395293,0.005761296,0.006452744,0.0062677916,0.006718439,0.0063822465,0.006095731,0.006131143,0.0065931464,0.006301078,0.005862986,0.0060725957,0.0063377335,0.0057816645,0.00629661,0.006503949
BA_4,24,0.01,0.0040277163,0.0030534647,0.0035191483,0.0037232088,0.0039442265,0.0044477205,0.0040749675,0.0038127184,0.003879239,0.0039639543,0.0042033056,0.0035642039,0.003923816,0.004564503,0.0034941582,0.0046457415,0.003351972,0.003211858,0.004200491,0.0037605541,0.004614551,0.0037844116,0.0040578805,0.0047271918,0.0043078023,0.0031195472,0.0038014574,0.0038622336,0.0043358416,0.005679534,0.0045546046,0.0031916152,0.0038390413,0.00410834,0.0033839906,0.0040088277,0.0032374864,0.0044218507,0.0037932596,0.0036389467,0.0035630339,0.0045445436,0.0031715648,0.004594195,0.0035228466,0.0039134417,0.004030617,0.0040607913,0.004619675,0.0033257091,0.003605327,0.0036218145,0.0039458056,0.0033087567,0.0039823633,0.0039977594,0.0044618617,0.003980709,0.0035894522,0.0039402544,0.0040407623,0.0037558428,0.0032215987,0.0036745167,0.0041827275,0.0033769736,0.0035191025,0.003710515,0.003995659,0.003560129,0.0043891184,0.0037510341,0.004591689,0.0040547173,0.0041506733,0.0035599929,0.004763032,0.004507155,0.004032574,0.0049456023,0.004227592,0.0030067775,0.00461771,0.0037314624,0.0035372926,0.0033284577,0.0041740783,0.003938518,0.00452319,0.004083123,0.0037259213,0.003768465,0.004356935,0.0039804867,0.0034465923,0.0036974596,0.0040262723,0.0033520975,0.0039748363,0.0042400504
BA_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BA_5,3,0.01,0.009928405,0.009874939,0.01022965,0.009891097,0.010083728,0.010165682,0.009955961,0.009762565,0.009960221,0.010194585,0.010147547,0.010114318,0.009953498,0.0100440625,0.010011096,0.009898933,0.009915358,0.009816985,0.00989042,0.0097932685,0.0101098865,0.0099962475,0.0099270735,0.009978561,0.009898745,0.009887559,0.009891719,0.009679145,0.009517263,0.010153257,0.009910061,0.009723427,0.0097805355,0.009945069,0.009852294,0.009702325,0.010003302,0.0101088,0.01003459,0.010050573,0.009915636,0.009956505,0.0100528635,0.009882786,0.009966174,0.010114374,0.0096251,0.009925891,0.009842538,0.010075363,0.010017825,0.010216305,0.010057514,0.01007178,0.009952813,0.009827612,0.009636714,0.009846471,0.009969685,0.009915316,0.01006234,0.00985049,0.010101269,0.010062724,0.010193662,0.009992076,0.00964894,0.010047396,0.009977576,0.010069763,0.009954025,0.009731795,0.01005046,0.009944975,0.009774991,0.009792029,0.009985982,0.010240736,0.010116714,0.009921657,0.010072432,0.010027428,0.009929055,0.010104606,0.009757318,0.010076859,0.009844072,0.009906972,0.01024173,0.010259,0.009613751,0.009859448,0.010501597,0.009915473,0.00990214,0.009977727,0.009936799,0.009960059,0.009993061,0.009992
BA_5,6,0.017560333333333334,0.009857475,0.00975171,0.010464046,0.009783612,0.0101679815,0.010333735,0.009912192,0.0095312735,0.009920687,0.010392521,0.010296925,0.010229684,0.009907317,0.010088236,0.010022184,0.009799101,0.009831615,0.009637693,0.009782261,0.009591239,0.010220737,0.0099925045,0.009854827,0.009957212,0.009798749,0.009776634,0.009784841,0.009369257,0.009058784,0.010308519,0.009821112,0.00945509,0.009566327,0.009890559,0.009707059,0.009414094,0.010006602,0.010218542,0.010069228,0.010101313,0.009832165,0.0099132825,0.010105885,0.009767196,0.009932494,0.010229801,0.009264973,0.009852466,0.009687903,0.010151126,0.010035646,0.0104368115,0.010115213,0.010143908,0.00990595,0.009658536,0.009287331,0.0096956175,0.009939528,0.009831548,0.01012493,0.009703529,0.010203332,0.010125713,0.010390623,0.009984175,0.0093109235,0.010094908,0.009955254,0.010139863,0.009908366,0.00947134,0.010101066,0.0098903775,0.009555472,0.0095888125,0.009972009,0.010486726,0.010234522,0.009844115,0.010145225,0.010054866,0.009858767,0.010210091,0.009521017,0.010154141,0.009690894,0.009815014,0.010488733,0.010524119,0.009243184,0.009721157,0.011027153,0.00983182,0.009805443,0.00995556,0.009874131,0.009920363,0.009986143,0.009984036
BA_5,9,0.01,0.009787203,0.009630289,0.010703266,0.009677519,0.010252756,0.010504172,0.009868713,0.009305928,0.009881391,0.010593851,0.010448159,0.010346109,0.009861446,0.010132507,0.01003325,0.009700486,0.009748764,0.009462051,0.00967552,0.009393798,0.010332558,0.009988774,0.009783258,0.009935952,0.009699986,0.009667187,0.00967934,0.009069911,0.008623207,0.010465821,0.009733134,0.009194707,0.009357227,0.009836461,0.00956426,0.009134971,0.010009905,0.010329228,0.010103914,0.010152186,0.009749576,0.009870338,0.010159067,0.00965322,0.0098990165,0.010346298,0.008918988,0.00977974,0.009536021,0.010227284,0.010053461,0.010661564,0.01017312,0.010216408,0.009859405,0.009492698,0.0089513,0.009547367,0.009909522,0.009748668,0.010187776,0.009559077,0.0103061935,0.010188942,0.010590933,0.009976299,0.008985377,0.010142542,0.009933022,0.010210297,0.009863009,0.009218377,0.010151823,0.00983619,0.00934132,0.0093902275,0.009958093,0.01073805,0.010353429,0.009767329,0.010218378,0.010082321,0.009789122,0.010316461,0.009290897,0.01023185,0.009540393,0.009724104,0.010741099,0.010795478,0.008887593,0.009585082,0.0115776695,0.0097490605,0.009709885,0.009933482,0.009811992,0.009880914,0.009979244,0.009976062
