Treatments,Time,BC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BC_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_4,3,0.010565,0.010051215,0.009892691,0.009463913,0.008047136,0.009201016,0.00889978,0.008797536,0.01070201,0.010402618,0.00930324,0.0097263055,0.009494586,0.008943652,0.008728562,0.010086449,0.00995066,0.009845644,0.009837932,0.008395107,0.010782155,0.009926622,0.01017707,0.009606998,0.00812844,0.009914031,0.009407265,0.010286623,0.009313246,0.009636227,0.009726278,0.010773965,0.010972134,0.009545441,0.010512962,0.008779899,0.0095262285,0.009856817,0.0086879525,0.008533678,0.010720144,0.00961108,0.010190158,0.008997517,0.009458391,0.010379765,0.010141966,0.00919302,0.00914566,0.00971849,0.008749438,0.009984535,0.009404195,0.009638841,0.009857847,0.010141002,0.009104721,0.009774987,0.009427188,0.009011898,0.010181285,0.009572633,0.008511762,0.009849517,0.009028803,0.00938397,0.009937096,0.009413287,0.008410113,0.008902339,0.01031686,0.009070394,0.0082624685,0.0077592307,0.009639729,0.010924783,0.009150126,0.010586709,0.008787433,0.00976712,0.01060469,0.009520505,0.010238546,0.008937272,0.008774158,0.011120545,0.009075764,0.0096092,0.008766869,0.009333758,0.0093512125,0.009577286,0.009626223,0.009193279,0.009993712,0.010349662,0.010252156,0.009637219,0.00935895,0.009993257,0.009250108
BC_4,6,0.01,0.010102695,0.009786531,0.00895651,0.006475111,0.008465762,0.007920418,0.0077393814,0.011453187,0.010821406,0.008654947,0.009460088,0.009014659,0.007998709,0.0076184967,0.010173644,0.009901566,0.009693666,0.009678491,0.007047354,0.0116253365,0.009853781,0.010357263,0.009229408,0.0066067115,0.0098287985,0.0088495985,0.010581439,0.00867355,0.009285665,0.009460033,0.011607683,0.012038524,0.009111511,0.01105218,0.007708417,0.0090748565,0.009715674,0.0075477827,0.0072819926,0.011492034,0.009237261,0.010383925,0.008095346,0.0089460565,0.010773928,0.010285942,0.008451042,0.008364174,0.00944489,0.007655077,0.009969096,0.008843797,0.009290685,0.009717708,0.010283988,0.008289426,0.009555019,0.008887123,0.00812127,0.010365856,0.009163481,0.00724467,0.009701296,0.008151744,0.008805818,0.009874585,0.008860927,0.0070726383,0.007924894,0.010643732,0.008227043,0.0068263975,0.0060197925,0.009292398,0.011934907,0.00837235,0.011207778,0.007721624,0.009539646,0.011245846,0.009063963,0.01048277,0.007987263,0.0076982994,0.012366354,0.008236796,0.009233642,0.0076854937,0.0087118205,0.00874444,0.009172393,0.009266393,0.0084514925,0.009987429,0.010711522,0.010510651,0.009287579,0.008758903,0.009986518,0.0085563315
BC_4,9,0.01,0.010154443,0.009681503,0.008476258,0.005209844,0.0077891606,0.007048678,0.0068082837,0.012256963,0.011257018,0.008051759,0.00920113,0.008558947,0.0071534626,0.0066493843,0.010261591,0.009852718,0.009544032,0.009521619,0.0059156823,0.012534295,0.00978148,0.010540651,0.008866633,0.005369578,0.009744295,0.008324921,0.0108846845,0.008077692,0.008947829,0.009201061,0.012505724,0.013208266,0.008697279,0.011618989,0.0067675095,0.008644831,0.00957656,0.0065570404,0.0062136343,0.012319375,0.008877956,0.010581368,0.0072834753,0.008461416,0.011183004,0.010431956,0.007768855,0.0076493477,0.00917897,0.006697459,0.009953681,0.008316763,0.0089551015,0.009579566,0.01042898,0.0075470093,0.009340009,0.008377942,0.0073185307,0.010553755,0.008771797,0.00616598,0.009555298,0.007359754,0.008263206,0.009812459,0.008340934,0.005947637,0.00705457,0.010980957,0.0074619707,0.0056396406,0.00466981,0.00895757,0.013038213,0.0076605706,0.011865213,0.0067848773,0.009317472,0.011925648,0.008629273,0.0107328,0.0071380637,0.006754147,0.0137513485,0.007475245,0.008872726,0.006737279,0.008131252,0.008176972,0.008784596,0.008919981,0.007769454,0.009981149,0.011086005,0.010775647,0.008950599,0.008197247,0.009979783,0.007914495
BC_4,12,0.01,0.010206437,0.009577606,0.008021719,0.0041915965,0.007166562,0.006272783,0.0059890365,0.01311699,0.0117101185,0.007490557,0.008949248,0.008126222,0.0063974326,0.0058033676,0.010350297,0.009804093,0.0093967,0.009367289,0.0049655093,0.013514127,0.0097096935,0.010727273,0.008518085,0.004363915,0.009660525,0.007831297,0.0111965975,0.007522696,0.008622261,0.008949165,0.013473018,0.014491303,0.008301848,0.012214791,0.0059412993,0.008235147,0.0094394265,0.0056961714,0.0053018183,0.013206118,0.008532606,0.010782556,0.0065529146,0.008002983,0.011607587,0.010580036,0.0071416674,0.006995527,0.008920523,0.005859531,0.009938292,0.007821059,0.008631601,0.00944338,0.010576015,0.006870989,0.0091298185,0.007897888,0.006595033,0.010745059,0.00839681,0.005247714,0.009411492,0.0066446024,0.0077539734,0.009750747,0.007851399,0.005001401,0.0062796758,0.011328836,0.006767948,0.0046589905,0.0036222893,0.00863477,0.014243243,0.007009221,0.012561128,0.0059616105,0.009100454,0.012646418,0.008215396,0.010988782,0.006379013,0.005925628,0.015290993,0.0067840046,0.00852589,0.005905874,0.0075893183,0.0076462803,0.008413148,0.008586496,0.007142371,0.009974871,0.011473548,0.0110473065,0.008625825,0.007671546,0.009973048,0.007320718
BC_4,24,0.021217333333333335,0.010417124,0.009173013,0.0064342725,0.0017556681,0.0051351255,0.0039336984,0.0035854,0.017202167,0.0137117915,0.005610194,0.008008681,0.006603021,0.004091636,0.0033664952,0.010712841,0.009612017,0.008829726,0.008774535,0.0024641682,0.018258598,0.009427794,0.011507306,0.007255433,0.0019032266,0.009332549,0.006132272,0.0125359455,0.0056581823,0.0074340566,0.008008579,0.018147105,0.02099055,0.006891744,0.014918581,0.0035286515,0.0067813313,0.008910203,0.0032433486,0.0028094554,0.017436665,0.007280255,0.011626197,0.0042928983,0.006404206,0.013472873,0.011193612,0.005099473,0.0048927716,0.007957364,0.0034325048,0.009876949,0.006116226,0.0074501466,0.008917687,0.011185119,0.0047199405,0.008335231,0.006237105,0.0043484205,0.011545507,0.0070502167,0.002752577,0.0088575445,0.0044139824,0.0060116933,0.009507695,0.0061638635,0.002500205,0.0039419457,0.012833821,0.0045794356,0.0021693162,0.0013107163,0.0074555753,0.020280419,0.004911974,0.015776465,0.003552687,0.008281677,0.015990423,0.0067488817,0.012075062,0.0040678657,0.003509898,0.023368675,0.0046011773,0.0072687287,0.0034864414,0.0057590995,0.005845933,0.00707767,0.0073724827,0.00510035,0.009949815,0.01316361,0.012203947,0.0074402224,0.0058844932,0.009946185,0.00535837
BC_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_5,3,0.01,0.0117970025,0.013690444,0.015450391,0.013688238,0.013235755,0.013841469,0.014767423,0.010888077,0.013195831,0.012749312,0.011669003,0.00966538,0.013096045,0.013299664,0.01391138,0.011243995,0.012402022,0.013405712,0.012206104,0.013188458,0.012188282,0.014069432,0.011350426,0.013506181,0.011215825,0.011878196,0.010795286,0.012398691,0.013547159,0.012870821,0.0123909,0.011799052,0.013275658,0.014119071,0.015302135,0.01452408,0.012024131,0.012018599,0.013686224,0.014194757,0.013349552,0.013580468,0.013144361,0.013805765,0.014824936,0.010216616,0.012092091,0.013482799,0.012379997,0.01597594,0.013476373,0.009707932,0.014624183,0.014459173,0.013008748,0.013457678,0.015711494,0.01221419,0.010885946,0.011550189,0.012504831,0.013379092,0.01358249,0.01308229,0.013154318,0.012258598,0.011786059,0.013598657,0.01186453,0.012872048,0.011884238,0.011650344,0.011507585,0.012088645,0.012272141,0.014187043,0.012975901,0.012187865,0.012950116,0.013061041,0.011158165,0.013414547,0.01205921,0.010306485,0.011880251,0.012087094,0.014192147,0.013410706,0.012257803,0.010930162,0.014266776,0.010103317,0.012622084,0.013361228,0.011363417,0.013596116,0.012072975,0.01030581,0.013190339,0.01253467
BC_5,6,0.01,0.0139151905,0.01873345,0.023844168,0.018725796,0.017511267,0.019149024,0.0217897,0.011854716,0.01740567,0.016248614,0.013615008,0.00934191,0.017143887,0.017679835,0.019342154,0.012641863,0.015377524,0.017960692,0.014895514,0.01738685,0.014852261,0.019783052,0.01288239,0.018233044,0.012578781,0.014107206,0.011653582,0.015369667,0.018342856,0.016559368,0.015350031,0.013920294,0.017617097,0.019920753,0.023390116,0.021077888,0.014455472,0.014442186,0.018720571,0.020132937,0.017812246,0.018434688,0.01727056,0.01905121,0.021958303,0.010437904,0.014619679,0.0181707,0.015322695,0.025481679,0.018152375,0.009424359,0.021366522,0.020888522,0.016917214,0.018104596,0.024653748,0.014914916,0.011850014,0.013339304,0.015633646,0.017892972,0.01843908,0.017107725,0.01729725,0.015024085,0.013889204,0.01848352,0.014075034,0.016563527,0.014121673,0.013571752,0.013241155,0.0146114,0.015057846,0.020113992,0.016830286,0.014851312,0.016764628,0.017052548,0.012449959,0.017988864,0.014540295,0.010622328,0.014112313,0.01460771,0.020129502,0.017976524,0.015022582,0.011946459,0.020339949,0.010207698,0.015927691,0.017844321,0.012911816,0.018476358,0.014573301,0.0106209405,0.017391214,0.015708558
BC_5,9,0.01,0.01641126,0.025616584,0.036733463,0.025596768,0.02315524,0.026473524,0.032112308,0.012906798,0.02294584,0.020698855,0.015883403,0.009029222,0.022431372,0.02348797,0.02687276,0.014212415,0.019061532,0.024044352,0.018172458,0.022910083,0.018093849,0.027793622,0.014620059,0.024598483,0.014106492,0.016751753,0.012579833,0.01904786,0.024818383,0.021294381,0.019010639,0.016420858,0.023365589,0.028078485,0.03569391,0.030553322,0.017374812,0.01735095,0.02558683,0.028522845,0.02375116,0.025008908,0.02268019,0.026273089,0.032481283,0.010663962,0.017672446,0.02447449,0.018959189,0.040538847,0.0244348,0.009149046,0.031174487,0.030138804,0.021990582,0.02434467,0.038608868,0.018207243,0.012899024,0.015403687,0.019539988,0.023917245,0.025015067,0.022360038,0.022733942,0.018408531,0.016364962,0.025106708,0.016694983,0.021304576,0.01677771,0.015808253,0.01523417,0.017657518,0.018471917,0.028490545,0.021817671,0.018092196,0.021692872,0.022252697,0.013890695,0.02411199,0.017528675,0.0109478235,0.016761314,0.017650913,0.028526273,0.024082119,0.018406777,0.013056783,0.02896972,0.0103131505,0.020092612,0.023817537,0.01467002,0.025091603,0.017588004,0.010945654,0.022917215,0.019680995
