Treatments,Time,BC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BC_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_5,3,0.01,0.009501056,0.010588922,0.01261782,0.011002342,0.011649511,0.010800334,0.010462306,0.0108417915,0.009811256,0.011109731,0.010391993,0.009722241,0.010884384,0.010700842,0.0091888225,0.009937031,0.008419508,0.010689647,0.009011945,0.010055537,0.010814215,0.0098781865,0.010640924,0.009432607,0.011925386,0.009262783,0.011204338,0.010228459,0.011673675,0.009996916,0.010257508,0.010891774,0.010565751,0.010672476,0.010051451,0.009670835,0.010221617,0.010590053,0.010167204,0.011060485,0.009672801,0.011306497,0.010093666,0.009588119,0.010700291,0.011280821,0.010274709,0.010396117,0.009983413,0.010278066,0.009759766,0.01166357,0.010211019,0.008687867,0.010798189,0.00998795,0.010734254,0.009646175,0.008822871,0.010177366,0.010269232,0.011170521,0.010149611,0.010033714,0.011372754,0.010911012,0.010450091,0.01079473,0.009410281,0.010472246,0.010867501,0.009059773,0.009959472,0.012473629,0.011016199,0.01184292,0.00943704,0.012061615,0.011269277,0.011015924,0.011312043,0.010232842,0.010927446,0.01035792,0.009843309,0.010145225,0.01116143,0.010074688,0.012402156,0.009418761,0.0098229665,0.010883358,0.011583404,0.010843564,0.010068418,0.009095267,0.009824462,0.010995236,0.010824462,0.010398142
BC_5,6,0.01,0.009036841,0.011218405,0.015920822,0.012106097,0.013569518,0.011667992,0.0109472405,0.01175516,0.009628446,0.012345898,0.010803388,0.009449071,0.011849414,0.011454816,0.008447259,0.009882999,0.0070935655,0.011433031,0.008124918,0.010119473,0.0116930995,0.009762778,0.011329234,0.008899409,0.014221905,0.008581518,0.012558745,0.010462854,0.01362929,0.009991462,0.010525714,0.011868565,0.011164936,0.011397887,0.010106621,0.009358755,0.010448646,0.011214755,0.010340149,0.0122374855,0.009362351,0.012789745,0.010191181,0.009193281,0.01145517,0.012733959,0.010557036,0.010811325,0.009967778,0.010567464,0.009526775,0.013609443,0.010428783,0.007548622,0.01165926,0.009977844,0.011521042,0.009307755,0.007786357,0.010359644,0.010548343,0.012477649,0.010304619,0.010069682,0.012940454,0.011908607,0.010930728,0.011659374,0.008859687,0.010970546,0.011812949,0.008211627,0.009919673,0.015565755,0.012139052,0.014024969,0.008909321,0.014548023,0.01270273,0.012139573,0.0128017105,0.010482263,0.011944488,0.010733624,0.009695604,0.010294391,0.012462542,0.01015424,0.015389658,0.008874826,0.009649298,0.011851779,0.013414836,0.011759892,0.010137087,0.008273801,0.009653885,0.01209745,0.011718843,0.010814125
BC_5,9,0.01,0.008604239,0.01189195,0.020088334,0.013321724,0.015803814,0.012609164,0.01145603,0.012746295,0.009451324,0.013723667,0.011235459,0.009180623,0.012902872,0.012266504,0.0077687753,0.009837722,0.0059798188,0.012235219,0.007327955,0.010192014,0.012641517,0.009653537,0.012069215,0.008398156,0.01696129,0.007951696,0.014083188,0.010703424,0.015915051,0.009983643,0.010805194,0.01293948,0.01179968,0.012181396,0.010165638,0.009062563,0.010681257,0.01187613,0.010519084,0.013544726,0.009067541,0.014475317,0.010292671,0.008814747,0.012269682,0.014384812,0.0108471885,0.011246795,0.009953088,0.010868825,0.009300743,0.015887469,0.010653568,0.0065592933,0.012588042,0.009969673,0.012363939,0.0089838905,0.0068731643,0.0105470335,0.0108378045,0.013937249,0.010465255,0.01010791,0.01473267,0.013001693,0.011444728,0.012601134,0.008345176,0.011496665,0.012843846,0.0074459147,0.009880589,0.01943466,0.013380487,0.016608369,0.008414302,0.017546676,0.014322468,0.0133833075,0.014494523,0.010749468,0.013060418,0.011128284,0.00955649,0.01044764,0.013921255,0.0102387825,0.019109571,0.008365422,0.0094789,0.012914697,0.015532176,0.0127555365,0.01020601,0.0075277053,0.009488079,0.01331974,0.01268939,0.011248901
BC_5,12,0.01,0.008200433,0.012613347,0.025346441,0.014660806,0.018403057,0.013630706,0.011989978,0.013821987,0.009279666,0.015260176,0.011689531,0.00891701,0.014053407,0.013140989,0.007147508,0.009801036,0.0050433436,0.013101784,0.0066114278,0.0102733895,0.013664646,0.009550221,0.012865684,0.007926716,0.020229168,0.007369287,0.01580063,0.010950314,0.018587532,0.009973474,0.011096609,0.01411474,0.012472289,0.013028802,0.010228569,0.008781233,0.010919603,0.012576294,0.010704268,0.014997657,0.0087873265,0.016392926,0.010398265,0.008451866,0.013149396,0.016263127,0.0111453915,0.011703772,0.009939375,0.011182799,0.009081411,0.01855707,0.010885694,0.0057000453,0.013589686,0.009963433,0.013266691,0.008673801,0.006068326,0.010739715,0.011138128,0.015566965,0.010631745,0.010148442,0.016783984,0.014200201,0.011995253,0.013628173,0.007863962,0.012052546,0.013968457,0.006754089,0.009842211,0.024281235,0.01475389,0.019666648,0.007949613,0.021162916,0.01615369,0.014761139,0.016420143,0.011035793,0.014285691,0.011543193,0.009425552,0.010605126,0.0155581115,0.010328504,0.023748271,0.007888033,0.009311717,0.014082844,0.017978875,0.013837702,0.010275184,0.0068498496,0.009326868,0.014677164,0.013743,0.01170348
BC_5,24,0.01,0.006827134,0.016070344,0.06422906,0.021529969,0.033764426,0.018685566,0.014406311,0.019128291,0.008643372,0.023425363,0.013757083,0.0079127485,0.019834239,0.017388392,0.005137788,0.009738133,0.0025605783,0.01734977,0.004392947,0.010693182,0.01861959,0.009192202,0.01673269,0.006302517,0.040956218,0.005443589,0.025195621,0.012005376,0.03467136,0.009909438,0.012396064,0.020115992,0.01559331,0.01720179,0.010521308,0.007786104,0.011933742,0.015811844,0.011513329,0.022656905,0.0077947075,0.027174268,0.010864563,0.0071441378,0.017457,0.026854506,0.0124233235,0.013775707,0.0098938495,0.012579969,0.008266194,0.034804087,0.011894276,0.0032523456,0.018441526,0.00995772,0.017559042,0.0075571467,0.003693302,0.011567497,0.012459496,0.024215534,0.011361579,0.010334289,0.028512547,0.020292494,0.014640269,0.018792562,0.0062251687,0.01461832,0.01960426,0.0045865965,0.009695658,0.059785016,0.021899823,0.038639516,0.0063539892,0.04476617,0.026241872,0.02196517,0.02723521,0.01240476,0.0205366,0.013435109,0.008976675,0.011280528,0.024415787,0.010742284,0.057383522,0.006255443,0.0086737545,0.02007935,0.032159127,0.019201955,0.010554366,0.0047018477,0.008724783,0.021848334,0.01895107,0.013742639
BC_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BC_6,3,0.04587733333333330,0.012354785,0.014777472,0.0113947615,0.012851626,0.015175308,0.013028758,0.011515611,0.013748297,0.011128162,0.014674693,0.010289608,0.015748244,0.0133142825,0.012845027,0.014413375,0.013780187,0.012353261,0.013457575,0.015500957,0.01634195,0.011259487,0.016195416,0.016358027,0.01355805,0.013202303,0.013092668,0.014514207,0.012003857,0.013434117,0.012338218,0.012728365,0.013141034,0.015274647,0.0152757075,0.013878025,0.011925849,0.015159704,0.014849692,0.012323893,0.017129486,0.011528897,0.012699287,0.011449079,0.012793518,0.014473469,0.0127649065,0.013729678,0.014101999,0.012390732,0.011683791,0.014376334,0.014281464,0.0127222035,0.014518342,0.015282589,0.010413335,0.014471095,0.01205268,0.012559983,0.0147296,0.01582393,0.015263076,0.01618503,0.015108054,0.011712842,0.016537309,0.014041896,0.012796262,0.014513678,0.015281418,0.0127695985,0.011236055,0.011062885,0.014502853,0.013915142,0.012213681,0.013466,0.013933645,0.014139646,0.014224532,0.012044062,0.01396827,0.013470113,0.014752242,0.009765573,0.015851533,0.01453716,0.011722884,0.0130433105,0.012591536,0.010241083,0.014381707,0.013215202,0.012833456,0.01272935,0.0123060495,0.012327914,0.014985664,0.013530461,0.0152648585
BC_6,6,0.05017,0.015279349,0.021837901,0.012989851,0.01652133,0.023018124,0.016982028,0.013271784,0.018910114,0.0123937065,0.02152118,0.01059108,0.024773251,0.017727738,0.016507547,0.020775674,0.01899443,0.015262827,0.018114831,0.024022806,0.026691133,0.012685448,0.02620037,0.026730802,0.01839052,0.017431373,0.017139327,0.021058949,0.014414353,0.01804287,0.015239786,0.016210038,0.017268645,0.023326881,0.023332737,0.019258967,0.014227919,0.022979088,0.022050235,0.015194348,0.02929301,0.013302718,0.01613241,0.013114845,0.01637643,0.020931501,0.0163035,0.018855203,0.01988508,0.01535372,0.013657941,0.020678597,0.020410568,0.016189903,0.021078486,0.023353966,0.01084747,0.020936158,0.014530246,0.015775636,0.021691868,0.025027625,0.02327869,0.02617235,0.022820776,0.01372338,0.027323425,0.01972615,0.016383385,0.021061763,0.023342615,0.016316783,0.01263071,0.012245506,0.021031044,0.019364376,0.014921408,0.018132707,0.019407254,0.019993264,0.020234391,0.0145133175,0.019514818,0.01813659,0.021768982,0.0095405355,0.025115509,0.021138549,0.013744685,0.01701072,0.015861234,0.010490122,0.020672042,0.017479202,0.016477164,0.016208725,0.015147027,0.015198567,0.022456035,0.018309664,0.023279835
BC_6,9,0.056370333333333300,0.01891956,0.03227249,0.014815767,0.021246951,0.034888558,0.02214692,0.015310213,0.026025945,0.0138157,0.03153295,0.010905078,0.038902413,0.023605404,0.021227665,0.0299485,0.02619117,0.018861536,0.024391346,0.037217084,0.043554254,0.014301946,0.042310677,0.043606754,0.024960794,0.023017371,0.022432413,0.030539254,0.017316226,0.024224242,0.018849103,0.020658508,0.022692634,0.03561288,0.03563419,0.026724216,0.016981948,0.034825515,0.03273956,0.018743256,0.049950883,0.015364349,0.020502053,0.015031716,0.020977542,0.030236399,0.020838015,0.025903098,0.02803656,0.019026328,0.01597498,0.029765347,0.029199518,0.020609984,0.030603293,0.035683256,0.011303791,0.030278726,0.017522268,0.019815072,0.031935718,0.039553963,0.03546333,0.04226184,0.034460243,0.016084949,0.04507619,0.02772837,0.020990688,0.030557834,0.035633594,0.020866456,0.014205806,0.013562875,0.030492937,0.026949883,0.01823533,0.024415527,0.027016645,0.028270634,0.028784564,0.01749946,0.027270567,0.024405578,0.032135915,0.0093244165,0.039763942,0.030749317,0.016118033,0.02218133,0.01999037,0.010747466,0.02969025,0.02314522,0.021167558,0.020647336,0.018648708,0.018738976,0.033647805,0.024781171,0.03545256
