Treatments,Time,BL_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BL_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BL_4,3,0.01,0.018770233,0.018905938,0.018762954,0.018850029,0.01894887,0.01865685,0.018913401,0.018402549,0.01855208,0.018704824,0.018799346,0.018639792,0.01867581,0.018924264,0.01863313,0.018792642,0.018742785,0.018513042,0.018667316,0.018424269,0.018751977,0.018498885,0.018358728,0.018803794,0.018809866,0.01885084,0.018633218,0.018692387,0.018758984,0.018912071,0.018767335,0.018786147,0.018773029,0.01902736,0.018829713,0.019295951,0.01895794,0.018964196,0.01890143,0.019056262,0.018677162,0.018627103,0.018579682,0.018983908,0.018906474,0.018751392,0.01872588,0.019147107,0.018747598,0.018724222,0.018695155,0.018760892,0.018665614,0.018796293,0.018828658,0.018738894,0.018621523,0.01890874,0.01889321,0.018639073,0.018539773,0.019018136,0.018880611,0.018940013,0.018813392,0.018520597,0.018934801,0.018856404,0.018719964,0.01890222,0.01851013,0.018738303,0.01879253,0.018823637,0.018633423,0.018877812,0.018874409,0.018378599,0.019072466,0.018537113,0.018815283,0.018700747,0.018722096,0.018947825,0.018670043,0.01905878,0.01875928,0.018642128,0.01853105,0.018836,0.018451072,0.018970018,0.018866325,0.018809102,0.018642763,0.018509343,0.018935941,0.01865417,0.018518493,0.018689118
BL_4,6,0.01,0.03512402,0.035630792,0.03509404,0.035423633,0.03578973,0.034701303,0.035656184,0.0337699,0.034309633,0.034877714,0.035232756,0.03463477,0.034768827,0.035696954,0.034616224,0.03520561,0.035022996,0.034163166,0.03473791,0.033844985,0.035053723,0.03411377,0.033605002,0.03525077,0.03526803,0.03542093,0.03461295,0.034828406,0.035081975,0.03565395,0.035113964,0.03518339,0.035139054,0.036089703,0.03534746,0.037110087,0.03582827,0.035843644,0.03561443,0.03619373,0.03477965,0.03459701,0.034419183,0.035924505,0.03563495,0.035049785,0.034964446,0.036544852,0.035040665,0.03495258,0.03484762,0.03508823,0.034738827,0.03522579,0.035338435,0.03500828,0.034569517,0.03564514,0.03558161,0.034638595,0.034267027,0.03605306,0.03553504,0.035759125,0.035289176,0.034202617,0.035743494,0.035448696,0.034936257,0.035617065,0.03416383,0.035004918,0.03520616,0.035324614,0.03460614,0.035525545,0.035514954,0.033680357,0.036260303,0.034262534,0.035293773,0.034863103,0.034942623,0.0357889,0.03476127,0.036203496,0.035084758,0.034651954,0.03423826,0.035369202,0.03394352,0.035872735,0.03548402,0.035264846,0.034648582,0.034154076,0.035738815,0.034691997,0.034194373,0.03482145
BL_4,9,0.01,0.065353364,0.06675681,0.065257825,0.0661909,0.06718941,0.06418052,0.066816226,0.0616528,0.06308621,0.064659745,0.06565539,0.06398329,0.06435448,0.06692992,0.06395801,0.06557039,0.06507884,0.062673934,0.064271994,0.061839186,0.06514874,0.062550455,0.061184794,0.06571076,0.06573529,0.06615808,0.06393393,0.064510375,0.06523575,0.0668215,0.06532814,0.065517925,0.06541502,0.0680471,0.065978676,0.070921816,0.06731641,0.06732386,0.06671347,0.06831549,0.06440951,0.06391881,0.06341951,0.06757883,0.06677753,0.06513014,0.06493593,0.06933337,0.06512613,0.06487834,0.064601324,0.06524988,0.06430583,0.065654956,0.065931134,0.065037265,0.063813984,0.06681358,0.06661354,0.06402144,0.06298106,0.06793564,0.06648685,0.06711612,0.06582867,0.06283166,0.06709002,0.066265725,0.06483106,0.06671966,0.06272448,0.065022945,0.06557523,0.06591454,0.063882716,0.066465266,0.06644501,0.061401296,0.068525985,0.06299114,0.06583058,0.064621754,0.06484171,0.067201056,0.0643935,0.06834475,0.06525135,0.06406714,0.062916845,0.06603123,0.062108185,0.06743649,0.06635614,0.065724425,0.06403321,0.06266817,0.06703764,0.064157635,0.06280669,0.06451359
BL_4,12,0.010247000000000001,0.12034302,0.12372813,0.12006369,0.122395605,0.124738395,0.11749309,0.12382836,0.111526646,0.11479824,0.11862041,0.121076345,0.116966344,0.11786692,0.124104485,0.11700312,0.120832995,0.11969913,0.11376991,0.117678255,0.111903675,0.11981038,0.11351797,0.110340096,0.12123119,0.12120065,0.12221765,0.11688839,0.11820972,0.12005424,0.12388619,0.12029221,0.12074139,0.1205692,0.12690246,0.12187872,0.13394958,0.1251231,0.12500314,0.123631395,0.12746619,0.11809416,0.11696061,0.11572079,0.12573709,0.12381395,0.119735815,0.11942665,0.13007972,0.11980717,0.1191932,0.11857372,0.12007573,0.11787871,0.12114823,0.12167731,0.11959532,0.116598055,0.123931505,0.12335594,0.11716282,0.11458989,0.12659569,0.1230596,0.12460754,0.1215604,0.11433358,0.12461227,0.122596964,0.119070776,0.12364205,0.11407314,0.119541384,0.120857775,0.12172024,0.11664193,0.12302592,0.12301187,0.11089836,0.12807411,0.11469849,0.12152349,0.118538134,0.11906945,0.124820836,0.11818852,0.12754492,0.12012179,0.11730643,0.114491045,0.121975824,0.112546645,0.12539944,0.12278583,0.12116677,0.11713123,0.113827445,0.12433104,0.117448956,0.11426507,0.11830244
BL_4,24,0.030932666666666664,0.9890632,1.0268658,0.9773353,1.0179371,1.0318844,0.9505616,1.0208503,0.89139026,0.9073794,0.96023273,0.9982268,0.936277,0.9482859,1.024018,0.9522761,0.98891294,0.984282,0.8884672,0.947271,0.88531685,0.9759826,0.8918777,0.8650819,1.0036029,0.9881509,0.99947375,0.9419312,0.9469477,0.9847093,1.0288185,0.989949,0.9939257,1.0046561,1.0695322,1.0112273,1.1502221,1.0490657,1.0242188,1.0270603,1.060848,0.9664057,0.96035737,0.93847686,1.052139,1.0337135,0.9705519,0.9934134,1.1119761,0.9846012,0.97475606,0.97511613,0.9829695,0.9694724,1.0116832,0.9944562,0.9827012,0.93774,1.0403167,1.0187243,0.95539737,0.91169924,1.0599197,1.0165764,1.0382918,1.0148104,0.9249008,1.0498818,1.0236505,0.9719095,1.0265273,0.9211346,0.97872436,0.99151164,1.0084223,0.9191143,1.0195953,1.0249709,0.87890846,1.0839473,0.926769,1.007374,0.96069837,0.96727264,1.0417823,0.99034804,1.0629783,0.9902232,0.9628578,0.9191427,1.0072769,0.893486,1.0493686,1.0206276,0.9867538,0.94526225,0.9000866,1.0206188,0.95224124,0.92267734,0.9618686
BL_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BL_5,3,0.010406,0.016151749,0.016504502,0.016636519,0.016317291,0.016457997,0.016756672,0.01683222,0.016767299,0.01624342,0.016462294,0.016497951,0.016535304,0.016225928,0.01626776,0.016308507,0.016298238,0.01683541,0.016377859,0.016626872,0.016348202,0.016355779,0.016391695,0.016217502,0.016361006,0.016021203,0.016479958,0.0162867,0.016250618,0.01635284,0.01591183,0.016220486,0.016595753,0.016335849,0.01621136,0.016185554,0.016235152,0.016034963,0.016216539,0.016224131,0.01605677,0.016255101,0.016234953,0.016672798,0.016552895,0.016429652,0.016501212,0.016794955,0.016563974,0.016368879,0.016572477,0.016661406,0.016254077,0.01625248,0.016010853,0.016535839,0.01626493,0.016591432,0.016287345,0.01602228,0.016451651,0.017079346,0.016193373,0.016310286,0.016525611,0.016809843,0.016464137,0.016564298,0.016681055,0.016305428,0.016276946,0.016153673,0.016215675,0.016454976,0.01665208,0.016453827,0.016579911,0.016403703,0.016108256,0.0167962,0.016560141,0.016438687,0.016024746,0.016411303,0.016577527,0.01571509,0.016308494,0.016147751,0.016521001,0.016510207,0.016314358,0.016293606,0.01663098,0.016046332,0.016150186,0.016569842,0.016486721,0.016223446,0.016451469,0.016925324,0.016856607
BL_5,6,0.028388999999999998,0.026058823,0.02720493,0.02764134,0.02659605,0.027056428,0.028041834,0.028295593,0.02807836,0.026354661,0.027068181,0.027184006,0.027309123,0.026297348,0.026436564,0.02656694,0.02653194,0.028306423,0.026791638,0.027612027,0.02669492,0.026720231,0.026834443,0.026271485,0.02673637,0.025641138,0.02712805,0.02649787,0.026377639,0.026713079,0.025294341,0.026283177,0.027506797,0.026655415,0.026249526,0.026167387,0.026327891,0.025685707,0.026268281,0.026291119,0.025752459,0.02639167,0.026327379,0.02776651,0.027367374,0.026965465,0.027197285,0.028172435,0.0274036,0.02676332,0.027432976,0.02772414,0.026390914,0.026385028,0.025607316,0.027308723,0.026425311,0.027495602,0.026498554,0.025644457,0.027032834,0.029133063,0.026191996,0.02657171,0.027278677,0.02821988,0.027072297,0.027402014,0.027791385,0.026555536,0.026461802,0.026065543,0.026266875,0.027048737,0.027695633,0.027041845,0.027455142,0.02687453,0.025920369,0.028179456,0.027390892,0.026993921,0.025649372,0.026899684,0.027448341,0.024670398,0.026567664,0.026045736,0.027262475,0.027228123,0.02658717,0.026520297,0.02762574,0.025722576,0.02605019,0.0274255,0.027147448,0.026292859,0.027033012,0.028609516,0.028377594
BL_5,9,0.075608,0.04196752,0.044748615,0.04582694,0.043272223,0.0443989,0.046824917,0.04746266,0.046919618,0.042680953,0.044419553,0.04469926,0.04501459,0.042539977,0.04288971,0.04319952,0.04310891,0.047490463,0.043742377,0.045763623,0.043506727,0.04357054,0.04383852,0.042482104,0.04360662,0.04096924,0.04457311,0.043037865,0.042735446,0.043561533,0.040148333,0.042517196,0.04549563,0.04341309,0.04242201,0.04222755,0.04261612,0.0410777,0.042474043,0.042523503,0.041227266,0.04276767,0.04261533,0.04615441,0.04515907,0.044182893,0.04474085,0.04716056,0.04524717,0.04367672,0.04532427,0.046032947,0.042774685,0.042758033,0.04088591,0.04500609,0.042855233,0.04547891,0.04303477,0.04097673,0.044331394,0.04958577,0.042284884,0.043207683,0.04494491,0.047270544,0.04442288,0.045233935,0.046206918,0.043167096,0.04293543,0.041985385,0.04247551,0.04438782,0.04597094,0.044359952,0.045370456,0.043939594,0.04163931,0.047188606,0.045215733,0.044248447,0.04097862,0.04400215,0.045357462,0.038665097,0.043204,0.04193526,0.044901505,0.04482105,0.04325288,0.04309237,0.045798037,0.041167658,0.04193438,0.045310225,0.044610824,0.042541213,0.044334523,0.048254456,0.047668975
