Treatments,Time,BL_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BL_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BL_5,3,0.010406,0.015884675,0.015634594,0.015893783,0.015593414,0.016016252,0.015600804,0.015644232,0.01565298,0.015727468,0.016054854,0.015793037,0.015922818,0.015506496,0.01612356,0.015753645,0.015513393,0.015927514,0.015526553,0.015897257,0.015851814,0.015994033,0.01573595,0.01572415,0.01586574,0.015619239,0.015482914,0.015686411,0.016044289,0.016039329,0.015628438,0.015856115,0.015771555,0.0155779235,0.015697213,0.015652683,0.015726434,0.015845265,0.015668053,0.015950302,0.015773773,0.015638074,0.015847446,0.015620252,0.015847554,0.015844118,0.015761057,0.015918247,0.015807841,0.015600744,0.015778597,0.015804838,0.01566033,0.015793646,0.015819892,0.015472555,0.016004018,0.015781796,0.015518605,0.015787482,0.015804963,0.015919324,0.015690671,0.015805058,0.01590667,0.015563121,0.01562131,0.015954796,0.015771918,0.015978508,0.015696058,0.015386984,0.015810529,0.015873883,0.015593909,0.016033476,0.016171405,0.015580063,0.016011434,0.015986867,0.015896698,0.015787804,0.015641188,0.01572033,0.0157203,0.015817175,0.015546912,0.015865268,0.015941754,0.016110862,0.015970817,0.015728971,0.015247608,0.0155224,0.015683932,0.015778003,0.015800307,0.015776115,0.015642796,0.0155147435,0.01593932
BL_5,6,0.028389000000000000,0.025206665,0.024420923,0.025233513,0.024290755,0.02562333,0.024315158,0.024449714,0.02448197,0.02471356,0.025747178,0.024918409,0.025328103,0.02402181,0.025967538,0.02479409,0.024044786,0.025341274,0.02408488,0.025246082,0.025098315,0.02555431,0.02473906,0.024697898,0.025147256,0.024376571,0.023950523,0.024582379,0.025712082,0.025696525,0.02440284,0.025116414,0.024851901,0.024238933,0.024615444,0.024474952,0.024710013,0.025083607,0.02452556,0.025413822,0.02485615,0.024433589,0.025087604,0.024374966,0.025088545,0.025076363,0.02481484,0.025308216,0.024961967,0.024315525,0.024870807,0.024954207,0.024502356,0.024918448,0.025003975,0.023918312,0.025585575,0.024883067,0.024060473,0.024900028,0.024956545,0.025315328,0.024593603,0.024955086,0.025274519,0.024199542,0.024376769,0.025427444,0.024853013,0.025502698,0.024612445,0.023656815,0.0249739,0.025167402,0.02429098,0.025676444,0.026118109,0.024251077,0.025610957,0.02553259,0.025245383,0.024897916,0.024444362,0.024686985,0.02468648,0.02499156,0.024147984,0.025144886,0.025387896,0.025926787,0.025477726,0.02471524,0.023228705,0.024072869,0.024576033,0.024870433,0.024938982,0.024863522,0.024444968,0.024051117,0.025377376
BL_5,9,0.075608,0.039935134,0.03808876,0.03999206,0.037779443,0.040920082,0.03784082,0.038151916,0.03824307,0.038780395,0.041217394,0.039257817,0.04022464,0.037157558,0.041745707,0.038964488,0.037215874,0.04025014,0.037306506,0.040027056,0.03966433,0.040761586,0.038836647,0.038726725,0.039796196,0.037996594,0.036997687,0.038464703,0.041129176,0.041092984,0.038050275,0.039721977,0.039105043,0.03764721,0.03853976,0.038207136,0.038771044,0.0396492,0.038333666,0.04042302,0.03910618,0.038124125,0.039649185,0.037977614,0.039653372,0.03962019,0.039004955,0.04015964,0.039350588,0.03784336,0.03913885,0.039337836,0.03828246,0.039252013,0.03946274,0.036922637,0.04083412,0.039174907,0.03725087,0.039211787,0.039349843,0.0401887,0.038484123,0.039340578,0.040089812,0.037576765,0.037977155,0.040453065,0.039107583,0.040631574,0.03853475,0.036326263,0.03938993,0.03982545,0.03777583,0.04104042,0.042096347,0.037692994,0.040900446,0.04071355,0.04002876,0.039196692,0.038152702,0.03870459,0.038702056,0.039420933,0.037453055,0.039787807,0.040365517,0.041648146,0.040570576,0.03877451,0.03534052,0.03728148,0.03845452,0.039143004,0.039298743,0.03912355,0.038139917,0.037237436,0.040331237
BL_5,12,0.16956933333333300,0.06310928,0.059270386,0.06320939,0.0586152,0.06516382,0.058754496,0.05938919,0.059623063,0.06072284,0.06579629,0.06170443,0.06372169,0.057343803,0.06691644,0.06109055,0.05747778,0.06375807,0.057657566,0.06329759,0.062500484,0.064847894,0.060829286,0.060562372,0.06282363,0.05911215,0.05703049,0.06004428,0.06559703,0.06552344,0.059201244,0.062664375,0.061396934,0.058309823,0.060192876,0.059492927,0.060700454,0.06252603,0.05977822,0.06412281,0.06137364,0.0593601,0.062498476,0.059029255,0.06251303,0.062430874,0.06115079,0.06353256,0.061869085,0.058764584,0.061436344,0.06185862,0.05968095,0.061675005,0.062141314,0.05687515,0.0649949,0.061532333,0.05754576,0.061600376,0.061902393,0.06362944,0.060064893,0.061865926,0.06341569,0.05822434,0.059015166,0.06417912,0.061401866,0.06455303,0.060188346,0.05567517,0.06198378,0.062830634,0.058595736,0.06539889,0.06762693,0.058453664,0.065152064,0.06475765,0.06331156,0.061539494,0.059428822,0.060526483,0.06051736,0.06201729,0.05795897,0.06279761,0.06401391,0.06671008,0.06442,0.06068233,0.053660005,0.05761401,0.060036305,0.06145956,0.061767872,0.06140975,0.059361916,0.057541423,0.063914604
BL_5,24,1.384227,0.36780393,0.32754394,0.3667397,0.31911153,0.38814184,0.32180882,0.32761964,0.33468217,0.34479064,0.39551443,0.353949,0.37496814,0.30684727,0.4078304,0.34712437,0.3096065,0.37346655,0.31079164,0.3693241,0.35678545,0.3867603,0.34482947,0.33802867,0.36528727,0.32919106,0.3050391,0.33521292,0.39188865,0.391411,0.32789603,0.36317158,0.35182092,0.31277806,0.33606142,0.32763043,0.3442569,0.36320722,0.33297616,0.3775031,0.3488536,0.33018395,0.35993266,0.32391414,0.3607321,0.35844347,0.34523547,0.36713922,0.35260206,0.3224199,0.34897053,0.3542318,0.3328602,0.35180447,0.35960203,0.30329525,0.38769233,0.35217893,0.309899,0.35198262,0.35672513,0.3720559,0.33343244,0.35446796,0.36910576,0.3177287,0.32245004,0.37737846,0.35190135,0.3812313,0.33657742,0.29289338,0.35734904,0.35952717,0.31772816,0.3885323,0.41166636,0.3190994,0.3914047,0.38703597,0.37060842,0.34822235,0.33188617,0.33869734,0.33818814,0.35432217,0.3139244,0.36412832,0.3777434,0.40572914,0.3792662,0.3414116,0.27156776,0.31113613,0.33649984,0.35072088,0.35227042,0.34923834,0.3270759,0.3121548,0.37360695
BL_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BL_6,3,0.06368366666666670,0.033852782,0.034086615,0.034406893,0.03479503,0.034046557,0.03454835,0.03267135,0.034394592,0.034933243,0.032758918,0.03526563,0.03358223,0.034968108,0.034068946,0.035816323,0.03458968,0.03552158,0.035019092,0.033398572,0.03386354,0.03369263,0.032703277,0.034468867,0.034180645,0.03332238,0.035143543,0.03327946,0.034164477,0.03373908,0.0332976,0.034509026,0.03376542,0.03438523,0.035072695,0.034641955,0.035511337,0.034464274,0.034955345,0.03359345,0.03515789,0.03396121,0.034718815,0.0329727,0.035385873,0.03327485,0.034686122,0.03433477,0.03536504,0.034840856,0.03336045,0.034966536,0.03470646,0.03431684,0.035432763,0.034428064,0.033484537,0.035254825,0.034921255,0.03385163,0.034301203,0.034583952,0.033593047,0.033647344,0.03329378,0.03365477,0.033470407,0.033168323,0.03429181,0.03410483,0.03476794,0.034826744,0.035303272,0.0346112,0.033757627,0.0343151,0.03501987,0.03497933,0.033808324,0.0342203,0.034740064,0.033327512,0.033684243,0.034696218,0.034035042,0.033526022,0.034823358,0.03444509,0.03423858,0.034607258,0.033428345,0.033957373,0.034484938,0.033975527,0.034221902,0.034787647,0.034913197,0.034796383,0.03499247,0.034006562,0.0342021
BL_6,6,0.08276233333333330,0.11228727,0.11396451,0.11596033,0.11865862,0.11359182,0.116595395,0.10462986,0.11568979,0.11965124,0.105417505,0.12160643,0.11045617,0.119493015,0.11334983,0.12520859,0.11695788,0.12323998,0.119992055,0.10952689,0.1123526,0.111104526,0.10480053,0.1162767,0.11439338,0.10887444,0.12066237,0.10855573,0.11411585,0.111617364,0.10867781,0.11646482,0.11156459,0.11570306,0.1202093,0.11734293,0.123048425,0.11628798,0.11950666,0.11052769,0.120592095,0.11296873,0.11790624,0.10643745,0.12233259,0.108491704,0.11764501,0.115365595,0.12214277,0.11877352,0.10903686,0.119584695,0.11777463,0.11525691,0.12266357,0.11618973,0.10989827,0.12120651,0.11919666,0.1118493,0.115191974,0.11702297,0.1104519,0.11088919,0.108766414,0.11086298,0.109858714,0.10810989,0.11510669,0.11371976,0.11819826,0.11872772,0.12185939,0.11729104,0.11185888,0.115299076,0.11976934,0.119414456,0.111858815,0.11443102,0.11811901,0.10876914,0.11125571,0.11780055,0.11351266,0.11025707,0.11852711,0.11632184,0.1146639,0.117276564,0.109508775,0.11281687,0.11646945,0.11306816,0.11464749,0.11849767,0.11930412,0.11870965,0.1195214,0.11329346,0.11456649
BL_6,9,0.10454366666666700,0.3492587,0.35827756,0.3657901,0.37911546,0.35540026,0.36523402,0.3152839,0.3624909,0.38433355,0.3211068,0.3897688,0.3404704,0.37911683,0.35009974,0.40419886,0.36780345,0.3958909,0.3831129,0.33920187,0.34949213,0.34256864,0.31568733,0.36613697,0.35805476,0.3346043,0.38419107,0.33276618,0.35495207,0.34710276,0.33335254,0.36610234,0.34442943,0.3633854,0.38244727,0.36992875,0.39362466,0.36665693,0.38030103,0.3407725,0.38198462,0.35196093,0.372984,0.32197404,0.39199996,0.33212155,0.3713473,0.36185485,0.39059675,0.37742788,0.33443198,0.3806845,0.37185293,0.36149055,0.39362586,0.36782563,0.33883908,0.3842638,0.37800318,0.342725,0.3616247,0.36924934,0.33964923,0.34247923,0.3349462,0.34156162,0.33921736,0.3336964,0.36098754,0.353178,0.37388256,0.3777835,0.39088428,0.37141177,0.3494912,0.3622686,0.37953115,0.37703854,0.3458772,0.3557716,0.37473547,0.332668,0.34546006,0.37303132,0.35501313,0.34137338,0.3748668,0.36863464,0.35801867,0.37147772,0.33685172,0.34990764,0.36796606,0.3524566,0.35898134,0.37711668,0.38032186,0.37982503,0.3777126,0.3536887,0.3591793
