Treatments,Time,BT_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BT_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BT_4,3,0.01,0.009106525,0.008971418,0.009623402,0.00919256,0.009454244,0.009431989,0.009088425,0.009374228,0.009297812,0.009415135,0.009214402,0.0094078705,0.009844203,0.009649968,0.0093148025,0.00951059,0.009076242,0.009582024,0.010063378,0.009852886,0.009963591,0.009161161,0.009845092,0.009019514,0.009671195,0.009602391,0.008477814,0.009852464,0.008865302,0.009936221,0.008879282,0.009788738,0.009338725,0.009604988,0.008602189,0.009632701,0.00942644,0.0101088,0.009125282,0.009477676,0.009844836,0.0099167125,0.009419382,0.008587081,0.009966957,0.010093066,0.009670999,0.008802691,0.009428927,0.009573474,0.008455359,0.008911052,0.009716445,0.008677769,0.009030428,0.010498782,0.009958244,0.009317341,0.009573164,0.009015823,0.009627526,0.009164961,0.00949197,0.009656128,0.009356921,0.00933333,0.009599942,0.0091108205,0.009199529,0.009550618,0.009381798,0.009946174,0.009007017,0.009816949,0.009815929,0.009149419,0.00987801,0.009540433,0.00908675,0.009331715,0.009956079,0.009520367,0.009703494,0.009831153,0.009592868,0.008746921,0.009383476,0.009594553,0.009686285,0.00934046,0.008911312,0.009014733,0.008705292,0.009391985,0.008565197,0.00870924,0.009606929,0.009436729,0.009084328,0.009565512
BT_4,6,0.01,0.008284616,0.008039672,0.009252267,0.008442349,0.008927543,0.008885703,0.008249709,0.008778586,0.00863531,0.008853134,0.008480238,0.008840559,0.009679685,0.009302166,0.008667937,0.009034192,0.008229479,0.009170482,0.010113893,0.00969684,0.009914238,0.008383594,0.00968269,0.008127068,0.009342737,0.009211488,0.0071805622,0.009695427,0.007852135,0.009862157,0.00787592,0.009570623,0.008711343,0.009216058,0.007392191,0.009268768,0.008875552,0.010205823,0.008318719,0.008973995,0.009679159,0.009821956,0.008862502,0.0073656505,0.009924487,0.010175085,0.009341703,0.007740878,0.008882506,0.00915635,0.0071410537,0.00793278,0.009430629,0.007523215,0.008146923,0.011007722,0.00990506,0.008671779,0.009152617,0.008121209,0.0092588905,0.0083906,0.008998822,0.009312332,0.008744866,0.008702781,0.009205871,0.008291122,0.008454349,0.009111019,0.008791794,0.009881201,0.008103416,0.009625236,0.009624873,0.008362102,0.009746057,0.009091889,0.008248216,0.008698028,0.009900975,0.00905576,0.009404504,0.009653612,0.009191027,0.0076424773,0.008796762,0.009195088,0.009370437,0.008715249,0.007933534,0.008118508,0.0075698234,0.008811378,0.007328306,0.0075777364,0.009217911,0.008896401,0.008244058,0.00914039
BT_4,9,0.01,0.0075300676,0.007197487,0.008887385,0.007746645,0.008420631,0.00836171,0.007479983,0.008212884,0.008011731,0.008314689,0.0077958577,0.008298411,0.009507168,0.008957603,0.008058532,0.00857181,0.0074548684,0.008766526,0.010151303,0.009532546,0.009852225,0.007664434,0.009513418,0.0073163696,0.009015684,0.008828139,0.0060769655,0.009529597,0.006949078,0.0097781615,0.006979451,0.009346575,0.008117567,0.008834141,0.0063468097,0.0089092385,0.008347803,0.010290606,0.0075765247,0.008489338,0.009503844,0.009716195,0.008329753,0.006311981,0.009872776,0.010245682,0.009013246,0.006801067,0.008360704,0.008749385,0.0060251565,0.007055668,0.009143583,0.006516906,0.007343412,0.011525211,0.009840707,0.008062732,0.008739665,0.0073094442,0.008895108,0.007674112,0.008521498,0.0089698825,0.008163864,0.008107601,0.008818785,0.0075372537,0.007762155,0.008682189,0.008230128,0.009805458,0.0072830264,0.009425741,0.0094275875,0.0076349615,0.00960476,0.008655275,0.007479908,0.008098629,0.00983495,0.0086065885,0.009104173,0.009468183,0.00879567,0.0066710897,0.008239536,0.008802662,0.009053705,0.008123916,0.007057022,0.007304843,0.006576123,0.008258289,0.006264209,0.0065876925,0.008834168,0.008379264,0.007474559,0.008725499
BT_4,12,0.019874333333333334,0.0068385983,0.006437771,0.008529498,0.007102628,0.007934029,0.007860365,0.0067751645,0.0076767323,0.007426053,0.007800209,0.007159372,0.0077815764,0.009327371,0.008617202,0.007485535,0.008124248,0.006747561,0.008371168,0.010175433,0.009360689,0.00977788,0.00700061,0.009337899,0.006581231,0.008691039,0.008453083,0.005139519,0.009355733,0.0061454508,0.009684578,0.006179944,0.009117493,0.0075568594,0.008460024,0.00544515,0.008555034,0.007843443,0.010362739,0.0068947785,0.00802394,0.009319745,0.009599954,0.007821267,0.005404652,0.009812024,0.010304555,0.00868673,0.0059706764,0.007863317,0.008353186,0.005079463,0.00627058,0.008856217,0.0056411745,0.006613919,0.012049407,0.00976551,0.007489364,0.008335448,0.006574034,0.00853708,0.0070124725,0.008060728,0.008629942,0.0076136338,0.0075468672,0.00843956,0.0068453713,0.0071203923,0.0082649775,0.0076966635,0.009719284,0.0065396763,0.00921936,0.009224823,0.006964736,0.009454735,0.008231357,0.0067772954,0.0075329826,0.00975832,0.008173198,0.00880356,0.009275655,0.008407872,0.0058183228,0.007711303,0.00841821,0.008737254,0.0075657866,0.0062725805,0.00656747,0.005708095,0.0077325464,0.0053503797,0.005722802,0.008456806,0.0078852875,0.0067711817,0.008321562
BT_4,24,0.01,0.0046204496,0.004091083,0.0071787834,0.004985802,0.0061940677,0.006081473,0.0045222947,0.005814128,0.0054363734,0.0059819086,0.005048506,0.005963008,0.008550145,0.0073124515,0.0055318326,0.006492117,0.0044978987,0.0068909726,0.010138091,0.0086118635,0.009365919,0.0048358752,0.0085860165,0.00428064,0.0074330834,0.007046885,0.0026166204,0.008595027,0.0037376361,0.009222796,0.0037742022,0.008168289,0.0056275423,0.0070539783,0.0029335255,0.0072064577,0.006058254,0.010518767,0.0046959254,0.006354814,0.00851309,0.00904177,0.0060264254,0.0028877764,0.009483813,0.010418336,0.007418223,0.0035250867,0.0061095995,0.0068848077,0.0025505999,0.003887513,0.0077200825,0.0031502245,0.0043241833,0.014168805,0.009363889,0.0055302964,0.0068232473,0.004276195,0.0071771853,0.004852544,0.006391306,0.0073149363,0.0057081804,0.005625244,0.007014695,0.004620702,0.0050048446,0.006723907,0.0058358563,0.009278669,0.004219963,0.008342487,0.008373566,0.004786523,0.00878069,0.006672559,0.0045352615,0.0055901306,0.009353371,0.0065996572,0.0076170946,0.008450611,0.006948752,0.0033451635,0.005873785,0.0069744913,0.0074949036,0.005646334,0.003891623,0.004263073,0.0032197186,0.005894314,0.0028308711,0.0032410892,0.007028532,0.006136351,0.004528664,0.0068253996
BT_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BT_5,3,0.01,0.009024087,0.009324401,0.009041351,0.008964798,0.0086711915,0.01114069,0.009037166,0.008795059,0.009720721,0.0093888845,0.009022497,0.008909583,0.008976096,0.010211982,0.008306204,0.0092051,0.00965243,0.009245698,0.008825347,0.008550018,0.009065149,0.009358868,0.008267163,0.009821541,0.0096021835,0.008561975,0.008347555,0.008710548,0.008730111,0.00908333,0.009237103,0.00936766,0.009364684,0.01009707,0.008994821,0.008789436,0.008565758,0.00925842,0.0103464145,0.007791162,0.0083832,0.009860026,0.009000442,0.009278001,0.008613471,0.009345205,0.009607537,0.009250226,0.009128004,0.009635049,0.010515408,0.0078512775,0.00910138,0.01006159,0.008474332,0.0084102,0.010324731,0.008785129,0.008767616,0.008082658,0.008302721,0.009318305,0.009926899,0.010290293,0.008361672,0.01013145,0.00836249,0.008037417,0.00893824,0.008277411,0.009568194,0.008815628,0.009086319,0.01036701,0.009865172,0.008330358,0.008956789,0.009604027,0.010579471,0.008790761,0.008043693,0.008495794,0.008049703,0.0072650346,0.00912596,0.010239195,0.009411325,0.00894901,0.009125763,0.0093769375,0.008027692,0.008973168,0.008464991,0.0098597715,0.0097993715,0.009337193,0.008296257,0.00917954,0.009272161,0.008261067
BT_5,6,0.01,0.008127214,0.008679097,0.008157291,0.008020363,0.007502754,0.012382434,0.008151223,0.007719759,0.0094309915,0.008796177,0.008124819,0.007924075,0.008041869,0.01040277,0.0068873633,0.0084585715,0.009298743,0.008528802,0.007774743,0.0072975033,0.008201051,0.00874209,0.006822731,0.009627631,0.009201437,0.007316126,0.0069560274,0.007572496,0.007606992,0.008234128,0.00851446,0.008757825,0.008750042,0.010172463,0.008075841,0.0077113486,0.0073232986,0.008555257,0.010681706,0.006058284,0.0070139836,0.00970246,0.008083822,0.008592167,0.0074065174,0.008716086,0.009211939,0.008540193,0.008317035,0.009263298,0.01102906,0.0061517823,0.00826633,0.010102724,0.0071676066,0.007060952,0.010639007,0.0077015553,0.0076710917,0.0065214816,0.0068808137,0.008667432,0.009833819,0.0105659785,0.0069781,0.010244234,0.0069807554,0.0064482843,0.007973386,0.0068376004,0.009135527,0.007756518,0.00823937,0.010724512,0.009709304,0.006925255,0.008007231,0.0092034815,0.011167547,0.0077128788,0.006457547,0.007203128,0.0064675673,0.0052692518,0.008312649,0.010460841,0.008839338,0.007993011,0.0083105285,0.008775823,0.006433642,0.00803551,0.007151528,0.009700362,0.009583452,0.008699935,0.0068693245,0.008410463,0.008581283,0.0068126754
BT_5,9,0.01,0.0073063523,0.008065164,0.00734563,0.0071623283,0.0064796503,0.013726727,0.007339298,0.006763969,0.009132761,0.008224295,0.0073037273,0.007036522,0.0071927155,0.010570549,0.0057027037,0.0077600894,0.008941142,0.007850996,0.0068384088,0.006219174,0.007405726,0.008151359,0.005622601,0.009419701,0.008800227,0.0062409267,0.005788072,0.0065719076,0.00661742,0.007450749,0.007833126,0.00817248,0.008158582,0.010225531,0.007238809,0.0067546726,0.006250883,0.0078913905,0.011003303,0.0047036097,0.005858727,0.00952851,0.0072468803,0.007943365,0.0063593066,0.008114378,0.008815631,0.007870648,0.0075656734,0.008887363,0.011536784,0.0048125046,0.007493757,0.010123065,0.0060525252,0.005919585,0.010940602,0.006739125,0.0066994573,0.00525441,0.00569371,0.008048469,0.00972156,0.010824819,0.0058139726,0.010337497,0.005818719,0.005165818,0.0071001197,0.005638719,0.008704692,0.0068130717,0.007457617,0.01106986,0.00953381,0.005747331,0.0071462207,0.0088011045,0.01176059,0.006755719,0.0051760995,0.0060965754,0.005188517,0.003817089,0.0075588617,0.01066304,0.008286304,0.0071268133,0.0075537288,0.008198511,0.005149234,0.0071828025,0.0060318285,0.009523112,0.009353881,0.008090236,0.0056785997,0.0076924595,0.0079282,0.0056101726
