Treatments,Time,BV_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BV_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BV_4,3,0.01,0.0105037615,0.010718733,0.010195295,0.010796557,0.010405649,0.010753666,0.010358558,0.010501024,0.010504331,0.010726765,0.01054084,0.01014111,0.010343637,0.010492016,0.01042174,0.010640207,0.010492788,0.010620137,0.010906333,0.010227265,0.010461703,0.0101457825,0.010260487,0.0102890935,0.0102836825,0.0105127515,0.010345338,0.010482289,0.010630753,0.0108107515,0.01068628,0.010837165,0.010131243,0.010399822,0.010680619,0.010405893,0.0104868235,0.010443801,0.01023288,0.010506822,0.010371285,0.010352071,0.010617376,0.009981274,0.010222511,0.0102889445,0.010298091,0.010435641,0.010682794,0.01040943,0.010213602,0.010432886,0.010509074,0.010086529,0.010502605,0.01093288,0.010344257,0.01068931,0.01042031,0.010257964,0.010461643,0.0103171,0.01038151,0.010223479,0.010081951,0.010471059,0.010511342,0.010825795,0.010391529,0.010398464,0.010552303,0.0103347115,0.010725069,0.010704271,0.010521732,0.010470819,0.010508906,0.010666744,0.010290812,0.010598208,0.010210052,0.010686361,0.00999341,0.010052182,0.010203249,0.010950389,0.010809307,0.010413555,0.010289159,0.010399928,0.010502177,0.010660895,0.0106377425,0.010259915,0.0105429,0.010751101,0.010407882,0.01086276,0.010375123,0.0102545675
BV_4,6,0.01,0.011031945,0.011487555,0.010394052,0.011655098,0.010826875,0.011562609,0.010729204,0.011026118,0.01103298,0.011504848,0.011109751,0.010283942,0.01069836,0.011007183,0.010860404,0.011320037,0.011008724,0.0112775,0.011892633,0.010459244,0.010943828,0.010293422,0.010527211,0.010585964,0.01057486,0.011050897,0.010701887,0.010986749,0.011299903,0.011685495,0.0114179505,0.011742314,0.010263956,0.010814824,0.011406106,0.010827531,0.010996216,0.0109063275,0.010470751,0.011038185,0.010755628,0.010715862,0.011271687,0.009962614,0.01044952,0.010585678,0.01060448,0.010889493,0.011410679,0.010834783,0.010431359,0.010883574,0.011042975,0.010173661,0.011029406,0.011950589,0.010699688,0.011424662,0.010857305,0.010522057,0.010943627,0.010643695,0.0107767675,0.010451561,0.01016439,0.010963347,0.011047787,0.0117179,0.010797598,0.010811955,0.01113395,0.010679961,0.011501005,0.0114566935,0.011069537,0.010962835,0.011042651,0.011376425,0.010589438,0.011231,0.010424077,0.011418482,0.009986836,0.010104549,0.010410282,0.01198889,0.011682423,0.010843329,0.010586126,0.010815085,0.011028518,0.011364019,0.011314819,0.010526061,0.011114112,0.011557128,0.010831611,0.011798187,0.01076355,0.01051512
BV_4,9,0.01,0.011585649,0.012309726,0.010596321,0.012580194,0.011264217,0.012430642,0.011112306,0.011576324,0.011586989,0.012337647,0.011708065,0.010428461,0.011064459,0.011546531,0.011316597,0.012041768,0.011548776,0.011974183,0.012965516,0.010696006,0.011447194,0.0104429405,0.010800297,0.0108907875,0.0108736865,0.011615601,0.011069975,0.01151429,0.012009615,0.01262898,0.012197812,0.012720609,0.010398159,0.0112454975,0.012179242,0.011265452,0.011529103,0.011388278,0.010713713,0.011595095,0.011153434,0.011091731,0.011964933,0.009944018,0.010681113,0.010890333,0.010919375,0.011362247,0.012186419,0.011276617,0.010653324,0.011352735,0.011602795,0.010261364,0.011581461,0.013060419,0.011066605,0.012208888,0.011311566,0.010792418,0.011446762,0.010980024,0.011186264,0.010684291,0.010247344,0.011477669,0.011610465,0.01268136,0.0112186875,0.011240989,0.011746365,0.011036038,0.012331132,0.012260354,0.0116446,0.01147691,0.01160232,0.012131613,0.010896058,0.011900222,0.010642118,0.012199202,0.0099802725,0.010157103,0.0106211305,0.013123235,0.012624103,0.011289876,0.01089107,0.011245985,0.011580122,0.012111894,0.012033473,0.010798554,0.011714969,0.012421855,0.011271717,0.012812074,0.011165689,0.010781773
BV_4,12,0.01,0.0121659925,0.013188694,0.010802134,0.013576775,0.011718203,0.0133618135,0.011508213,0.012152732,0.012167452,0.013228753,0.012337151,0.010574725,0.011442242,0.01211104,0.0117909415,0.012807782,0.012113953,0.012712346,0.014132124,0.01093763,0.0119726285,0.0105943605,0.011079852,0.011203723,0.011180341,0.012208073,0.01144991,0.012065855,0.012762146,0.013646289,0.013028722,0.013777521,0.0105338525,0.011692382,0.013002903,0.011720232,0.012086454,0.01189038,0.010961846,0.012178667,0.01156512,0.011480026,0.012699319,0.009925497,0.010917317,0.011203097,0.011242958,0.011854621,0.013012935,0.011735476,0.010879565,0.011841015,0.012189679,0.010349679,0.012159867,0.014270205,0.0114453165,0.013045031,0.011783681,0.011069149,0.011971873,0.011326341,0.011610432,0.010921756,0.010330837,0.012014964,0.012200533,0.013721473,0.011655293,0.011686072,0.012391028,0.01140324,0.013218918,0.013118495,0.012248147,0.012013935,0.012189063,0.012934984,0.011210849,0.0126078185,0.0108642625,0.013031559,0.009973728,0.01020984,0.01083586,0.0143617485,0.013639403,0.011753812,0.011204195,0.011693159,0.012158045,0.012907135,0.012796065,0.011077521,0.012346886,0.013349298,0.011728767,0.0139106475,0.011581967,0.011054635
BV_4,24,0.01,0.014777616,0.017347649,0.011661882,0.01838638,0.013711749,0.01780707,0.013227377,0.0147433365,0.014776769,0.017455066,0.015190495,0.011177228,0.013076654,0.014642253,0.0138827665,0.0163661,0.014646907,0.016126798,0.01989578,0.011954303,0.0143129965,0.011219352,0.0122653255,0.012540317,0.012488621,0.01488132,0.013094863,0.014532083,0.01624915,0.018566215,0.01692574,0.01891313,0.011091796,0.013652864,0.016865905,0.013719632,0.014580654,0.014115321,0.012007862,0.014802632,0.013359115,0.013164628,0.016094489,0.009852012,0.011910052,0.012538826,0.012628255,0.014035231,0.016889669,0.013752945,0.011828477,0.013999367,0.014831759,0.010708856,0.014759963,0.020285778,0.013084788,0.016974173,0.013862893,0.012242246,0.014309459,0.01281672,0.013462981,0.011920523,0.0106699215,0.014412325,0.01485936,0.018767022,0.013566936,0.013637454,0.015323745,0.01298912,0.017423054,0.01716704,0.014972965,0.014410181,0.014830848,0.016688386,0.012555169,0.015863473,0.011794773,0.016943045,0.009947734,0.010422617,0.011734684,0.02054618,0.018549332,0.013795137,0.012542027,0.013655645,0.014756136,0.016618673,0.016336715,0.012260561,0.015214712,0.017774684,0.013738046,0.019291176,0.0133971535,0.012210612
BV_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BV_5,3,0.01,0.012708085,0.012226503,0.012228638,0.011902566,0.012870848,0.012521316,0.012240039,0.011986122,0.012599061,0.012525528,0.011878754,0.012032176,0.0120023955,0.012409555,0.012176173,0.012047282,0.012359478,0.012476529,0.012100943,0.012413732,0.012047363,0.011930746,0.012314254,0.012623077,0.012016116,0.011939261,0.012250884,0.012943542,0.012077734,0.012636935,0.012285474,0.01235063,0.011993889,0.012036301,0.012131875,0.012437965,0.011746453,0.011797827,0.012250124,0.012922074,0.012219412,0.012479669,0.012043583,0.012599132,0.0120430505,0.011723943,0.01284321,0.012379788,0.01264676,0.012091156,0.012159015,0.012248199,0.012512539,0.01212509,0.012658747,0.012185913,0.012408173,0.012003501,0.012507738,0.01204279,0.012059917,0.012394355,0.01227832,0.01224687,0.011890368,0.012947265,0.011828073,0.012585219,0.012206137,0.012382205,0.012369695,0.012542928,0.012691265,0.012224354,0.012533868,0.012271636,0.012913185,0.012067192,0.01248424,0.012483175,0.012889292,0.011839882,0.012628052,0.011815618,0.01211326,0.012421122,0.012575043,0.012173355,0.011887959,0.012133136,0.0120660765,0.011889518,0.011745611,0.012193717,0.0121341245,0.012374356,0.012448688,0.012299927,0.01151267,0.012141755
BV_5,6,0.01,0.016142188,0.014942797,0.014948375,0.01416232,0.016557565,0.015671337,0.014976582,0.014360647,0.015865536,0.015681528,0.014106109,0.014472227,0.014400387,0.015392395,0.014820134,0.0145086665,0.015269161,0.015559735,0.014637266,0.01540462,0.014507981,0.014228594,0.01515752,0.015927453,0.014433519,0.014249668,0.015002792,0.01674521,0.01458151,0.015962658,0.015086617,0.015246627,0.014381015,0.014481925,0.014712691,0.015463323,0.013792751,0.013913871,0.015000138,0.016689776,0.014926371,0.015566086,0.014499234,0.015866794,0.014498545,0.013740487,0.016485406,0.015319033,0.015986208,0.014613233,0.014778917,0.01499636,0.015649436,0.014695486,0.016015911,0.014843189,0.01538847,0.014403363,0.01563802,0.014497757,0.014538602,0.015355449,0.015069674,0.014992498,0.01413325,0.016755236,0.013986326,0.015831294,0.014892455,0.015324697,0.015294855,0.015724547,0.016099248,0.014937793,0.015703112,0.015052787,0.016666314,0.014556567,0.015576691,0.0155756585,0.016604597,0.014013528,0.015939282,0.01395651,0.014667952,0.01542162,0.015805991,0.014812525,0.014127427,0.014715347,0.014553809,0.014131221,0.01379177,0.014863227,0.014718261,0.015306423,0.01548925,0.015122725,0.013251053,0.014735899
BV_5,9,0.01,0.020492524,0.018253656,0.018264668,0.016844444,0.021286583,0.019602865,0.018317077,0.017196896,0.019966062,0.019621206,0.016744975,0.017399749,0.017269764,0.019081015,0.01802969,0.017465647,0.018853972,0.019394549,0.017696423,0.01910776,0.017462628,0.016960979,0.018647393,0.020086128,0.017329853,0.017000163,0.018364428,0.021649642,0.017596122,0.020153256,0.018516453,0.018810784,0.01723705,0.017416736,0.017834434,0.019213783,0.01618842,0.016402522,0.018357974,0.02154236,0.018225504,0.01940322,0.017447563,0.019970868,0.017447527,0.016097603,0.021145068,0.018945644,0.02019495,0.017652132,0.017955603,0.018353006,0.019562006,0.0178016,0.020249894,0.018070363,0.019072594,0.017275786,0.019541847,0.017445777,0.017518671,0.019013975,0.018486548,0.01834457,0.016792402,0.02166993,0.016532809,0.019902816,0.018160282,0.01895543,0.018902514,0.019700749,0.020410229,0.018245092,0.0196633,0.018454444,0.021495802,0.017551938,0.01942129,0.019422904,0.021376243,0.016579578,0.02010689,0.016479224,0.01775392,0.019136492,0.019855756,0.018014202,0.016781826,0.017838394,0.017546937,0.016788756,0.01618866,0.018109092,0.01784474,0.01892401,0.019260557,0.018584235,0.0152478125,0.017875016
