Treatments,Time,CC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
CC_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CC_4,3,0.01,0.0067043463,0.0063226465,0.006273002,0.0069551147,0.0060556945,0.0069794827,0.0067458986,0.0054443604,0.005651768,0.0064495346,0.0061355927,0.005616597,0.0060145874,0.005468711,0.0072152405,0.007082297,0.006888922,0.0065347296,0.006145534,0.005639004,0.0056799785,0.005687436,0.006987665,0.006204108,0.0064064967,0.006475789,0.005800259,0.005726373,0.006305947,0.006233773,0.0062033846,0.00633968,0.0046056854,0.0055733505,0.0060752793,0.0058455626,0.006611848,0.0066866768,0.0064878203,0.005363174,0.005167003,0.006571234,0.005363055,0.006514341,0.005163547,0.005614744,0.0058478047,0.0070109176,0.0061835474,0.005964233,0.005144729,0.006435722,0.005595653,0.004994334,0.005307061,0.0053302576,0.006364565,0.005995197,0.006455685,0.005136145,0.0055962857,0.005767596,0.0053737434,0.0059011974,0.005761907,0.0062521934,0.0062055183,0.0064047216,0.0056945872,0.006195133,0.0060516554,0.005890419,0.0060544736,0.0063983425,0.0063538346,0.007005232,0.006012534,0.0063131726,0.007199641,0.0070140543,0.0064922324,0.00590033,0.0061024697,0.0063638785,0.0061682006,0.006001231,0.00569306,0.006741934,0.0053100362,0.006349021,0.0050187195,0.0061080423,0.0050756084,0.0057571917,0.006990767,0.005595373,0.005258741,0.0055106543,0.0066162716,0.004596403
CC_4,6,0.01,0.0044935504,0.0039961822,0.003933617,0.004836266,0.0036656118,0.004870154,0.004549452,0.0029624759,0.003192603,0.004158304,0.0037630398,0.0031530084,0.0036159535,0.0029890842,0.005204918,0.005014762,0.0047444613,0.0042689266,0.003775261,0.0031782151,0.003224596,0.0032330963,0.0048815743,0.003847674,0.00410295,0.0041922177,0.0033627735,0.0032775826,0.003975066,0.0038845441,0.003846788,0.0040177186,0.0021196427,0.0031045831,0.003689484,0.0034155557,0.0043703825,0.0044697113,0.0042078234,0.00287474,0.0026681353,0.0043167854,0.002874552,0.004242279,0.0026646096,0.0031510054,0.0034181655,0.004914072,0.0038221858,0.0035557218,0.0026451293,0.004140412,0.0031296064,0.002492744,0.0028148824,0.0028394773,0.00404947,0.0035927552,0.004166201,0.0026362743,0.0031303382,0.003324901,0.0028860783,0.0034808293,0.003318341,0.0039075725,0.0038494053,0.0041006464,0.0032413336,0.003836496,0.0036606863,0.003468156,0.0036641315,0.0040924274,0.004035764,0.0049060932,0.0036134932,0.003984127,0.0051824427,0.004918533,0.0042135874,0.0034799315,0.003722569,0.004048504,0.0038031195,0.003599941,0.0032394847,0.0045440625,0.002818055,0.004029702,0.0025170331,0.0037292694,0.002574553,0.0033129023,0.0048858346,0.0031291437,0.0027637794,0.0030351286,0.00437614,0.0021110862
CC_4,9,0.024732,0.0030112113,0.0025251957,0.0024660775,0.003362386,0.0022182867,0.0033977365,0.0030675943,0.0016115105,0.0018029367,0.0026804795,0.0023073435,0.001769501,0.0021733441,0.0016332882,0.0037541662,0.0035502347,0.0032669536,0.0027881784,0.0023186111,0.0017907721,0.0018301306,0.0018373764,0.0034096944,0.0023857034,0.0026271078,0.0027133229,0.0019491032,0.0018754723,0.0025051623,0.0024200638,0.002384887,0.0025456066,0.0009751748,0.0017288713,0.0022400809,0.001995204,0.0028882215,0.0029871303,0.0027285074,0.0015404233,0.001377333,0.0028352186,0.0015402472,0.0027620788,0.0013746198,0.0017678699,0.0019974795,0.0034437568,0.0023620143,0.0021193048,0.0013595324,0.002663124,0.0017498926,0.0012437708,0.0014925761,0.0015121337,0.0025759516,0.0021524986,0.002688087,0.0013526927,0.00175052,0.0019162096,0.001549555,0.0020526308,0.0019105374,0.0024416482,0.002387297,0.0026248752,0.0018444693,0.0023752719,0.0022137945,0.0020414488,0.0022169393,0.0026169403,0.0025628349,0.0034353633,0.0021711178,0.0025136943,0.0037298922,0.0034484991,0.0027341463,0.0020519097,0.0022702597,0.0025749654,0.0023442868,0.0021589247,0.0018428231,0.003062108,0.0014951045,0.0025570965,0.0012619345,0.0022763207,0.0013055023,0.0019058352,0.003414093,0.001749408,0.001452077,0.0016711798,0.00289387,0.00096926413
CC_4,12,0.019485666666666665,0.0020176067,0.0015954478,0.0015458259,0.0023374215,0.0013422222,0.002370206,0.0020681508,0.0008764838,0.001017991,0.0017276228,0.0014145608,0.0009929087,0.0013060622,0.00089232094,0.0027074944,0.00251313,0.0022492886,0.0018208011,0.0014237867,0.0010088532,0.0010385251,0.0010440211,0.0023813313,0.0014790224,0.0016818971,0.0017558965,0.0011295426,0.0010730042,0.0015785788,0.001507481,0.0014783532,0.0016126572,0.0004485693,0.0009626142,0.0013598809,0.0011653145,0.0019084703,0.0019960308,0.0017690181,0.0008252986,0.0007108793,0.0018618936,0.0008251615,0.0017980891,0.0007090184,0.0009917076,0.0011670848,0.002413073,0.0014594621,0.0012629709,0.0006986455,0.0017126779,0.0009782857,0.0006204905,0.0007912942,0.0008051349,0.0016384022,0.0012894201,0.0017341435,0.00069395266,0.0009787589,0.0011041685,0.00083183555,0.0012102268,0.001099808,0.0015254513,0.0014803285,0.0016799768,0.0010494359,0.0014703816,0.0013385839,0.0012014577,0.0013411351,0.0016731808,0.001627262,0.0024052267,0.0013042835,0.0015857273,0.002684199,0.0024175441,0.0017739142,0.0012097107,0.0013843556,0.0016375198,0.0014448205,0.0012945381,0.001048148,0.0020631852,0.00079309155,0.0016224247,0.0006325758,0.0013892413,0.00066188205,0.0010961966,0.00238538,0.0009778808,0.0007627865,0.0009200319,0.001913406,0.0004449446
CC_4,24,0.011536,0.0004063983,0.00025408008,0.00023851017,0.00054556446,0.00017978965,0.00056092686,0.00042702307,7.6658085e-05,0.00010340224,0.00029794074,0.0001996997,9.837242e-05,0.00017023021,7.9454076e-05,0.00073204236,0.00063065375,0.0005050913,0.00033094882,0.00020231544,0.000101556754,0.00010762156,0.000108763365,0.00056620524,0.00021834248,0.00028237177,0.0003077637,0.00012733325,0.00011489523,0.00024872582,0.00022682252,0.00021814783,0.00025958157,2.0077241e-05,9.245677e-05,0.00018458103,0.0001355319,0.00036361665,0.00039766284,0.00031238608,6.79633e-05,5.0419516e-05,0.000346066,6.793741e-05,0.0003227272,5.01568e-05,9.814529e-05,0.00013594137,0.0005813667,0.00021260098,0.00015919942,4.869734e-05,0.00029277327,9.550734e-05,3.8419126e-05,6.247581e-05,6.467788e-05,0.00026798187,0.00016593162,0.00030017778,4.8040984e-05,9.5602874e-05,0.00012166055,6.9046415e-05,0.00014616411,0.00012070222,0.00023227285,0.00021872247,0.00028171603,0.000109910376,0.00021578642,0.00017880813,0.00014406061,0.00017949723,0.00027942038,0.0002643307,0.0005775805,0.0001697627,0.00025096475,0.0007195136,0.0005835697,0.00031413318,0.00014606264,0.00019127633,0.00026765862,0.00020833024,0.00016724021,0.0001096245,0.00042494852,6.2763706e-05,0.00026277726,3.9923245e-05,0.00019260345,4.371068e-05,0.000119909,0.0005680718,9.540923e-05,5.805339e-05,8.446504e-05,0.00036546015,1.9752948e-05
CC_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CC_5,3,0.06606866666666666,0.02557307,0.03037757,0.0243296,0.030906789,0.030713372,0.029777868,0.022323532,0.025080584,0.02162561,0.019380592,0.02545595,0.040399633,0.023736177,0.027799124,0.024499279,0.026816495,0.02852302,0.023180548,0.028930975,0.029557306,0.030858913,0.024424983,0.026092226,0.023335444,0.026543526,0.019520087,0.02165642,0.019771839,0.02655697,0.030680288,0.027297761,0.022180459,0.024178293,0.0307879,0.029126687,0.029690165,0.030110892,0.025148334,0.027581718,0.024757378,0.02196136,0.026410839,0.037580304,0.028535731,0.023824047,0.031634063,0.026087634,0.01818153,0.022969484,0.033632785,0.028186442,0.0300718,0.037282165,0.019593865,0.026262045,0.024754906,0.028400958,0.037121687,0.027954921,0.028853722,0.023024265,0.01918398,0.032206424,0.02978463,0.019981382,0.02287987,0.026275424,0.023424836,0.024163133,0.032022774,0.026594436,0.023871787,0.022426598,0.02781498,0.025146814,0.020116858,0.025179127,0.026467346,0.025693329,0.026682664,0.027716126,0.026827773,0.032573465,0.028642852,0.020209795,0.029068058,0.027188612,0.02512469,0.024239866,0.029234996,0.024790766,0.029335838,0.024658732,0.019874394,0.018762901,0.020010399,0.029468201,0.019655759,0.025928233,0.027887432
CC_5,6,0.07624399999999999,0.06387089,0.08882491,0.058033302,0.091583624,0.09081029,0.08532392,0.04913974,0.0614151,0.046112698,0.037220526,0.06327454,0.14789777,0.05519808,0.07471472,0.05881946,0.06980197,0.0785702,0.052883014,0.080814146,0.08420055,0.091034465,0.058463745,0.06631677,0.05343464,0.06855681,0.03772142,0.046222147,0.038699675,0.06848633,0.09010276,0.07238317,0.048465926,0.05734868,0.0902797,0.08204662,0.08525515,0.086986825,0.06182997,0.07370521,0.06000156,0.04746226,0.06774454,0.13231364,0.07866741,0.055611927,0.0954829,0.066445775,0.03285297,0.051842064,0.10738195,0.076977745,0.08705525,0.12980361,0.038012046,0.06712535,0.06002802,0.07806396,0.12804991,0.075563945,0.08040031,0.052001245,0.036481,0.09957473,0.08491967,0.03951275,0.051451173,0.067233935,0.05380501,0.057155292,0.09777501,0.06896413,0.0558286,0.04953484,0.07468466,0.06168571,0.04005259,0.061985575,0.06819074,0.06444097,0.06920096,0.074417785,0.0698056,0.10121905,0.07933987,0.04040678,0.08139128,0.071816936,0.061657082,0.057629284,0.08233998,0.060076118,0.08288312,0.059479386,0.039118115,0.034925543,0.039647046,0.083767004,0.038240112,0.06555593,0.07539263
CC_5,9,0.076403,0.15085919,0.23454213,0.13232924,0.24237214,0.24226376,0.22104165,0.10498634,0.142276,0.09551371,0.070271365,0.14870986,0.40653825,0.12266515,0.18465693,0.13482672,0.16901192,0.19810162,0.11648914,0.20625168,0.21783021,0.23828696,0.13362676,0.15830207,0.11739543,0.16572675,0.07152382,0.09573747,0.074301,0.16455539,0.23565896,0.1786051,0.10260988,0.13023861,0.23300238,0.21184209,0.22404198,0.22542085,0.14420885,0.18207869,0.13845336,0.0992067,0.16201514,0.3828476,0.19865108,0.124051705,0.25384957,0.15975477,0.058714237,0.1126459,0.29601577,0.1940442,0.22786719,0.36913946,0.07236833,0.16076897,0.13878097,0.19741267,0.3570015,0.18779068,0.20483963,0.112669006,0.06825059,0.2745336,0.21634147,0.076586105,0.111461274,0.16141392,0.11837555,0.12886918,0.26212594,0.168139,0.12472868,0.10591712,0.18376802,0.1428665,0.078161046,0.14477013,0.16460605,0.15263908,0.16750602,0.18460448,0.16866167,0.27590784,0.2017071,0.07911425,0.20702843,0.17663763,0.14326233,0.13111039,0.21062432,0.13817187,0.21245743,0.13640486,0.07557405,0.064074144,0.077064015,0.21674325,0.07296092,0.15609421,0.18851154
