Treatments,Time,CC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
CC_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CC_5,3,0.06606866666666670,0.014697692,0.014563107,0.012492972,0.012857656,0.014587585,0.0122989975,0.014679871,0.013022325,0.014658272,0.015431693,0.016708419,0.014173152,0.013695926,0.012328751,0.009479337,0.013423077,0.009983754,0.015291711,0.01338564,0.011050367,0.012330682,0.013189874,0.01299635,0.01660248,0.014548337,0.013671044,0.015886957,0.015598114,0.017494423,0.015439067,0.014974111,0.011657615,0.014197138,0.012923293,0.018446429,0.013746412,0.008939646,0.017780667,0.011257098,0.010098599,0.0097895935,0.012267426,0.011104553,0.018927928,0.0141596235,0.012486829,0.013433964,0.010247589,0.018996706,0.016586164,0.01345799,0.011734634,0.013438214,0.011076812,0.020079102,0.014529817,0.009350905,0.013569861,0.013431477,0.012917615,0.014964511,0.01611394,0.013432152,0.017314054,0.015649844,0.01866739,0.016943494,0.014668042,0.016592635,0.015573783,0.012466981,0.016040454,0.015100616,0.013315806,0.014735362,0.01742263,0.010909623,0.014791375,0.017629283,0.015053734,0.014813668,0.014284123,0.014274739,0.01582464,0.015617811,0.013514176,0.011265308,0.011476548,0.01096439,0.014763974,0.011450306,0.010908559,0.013642205,0.014824371,0.013087247,0.013681718,0.014557123,0.014079457,0.014502272,0.00940442
CC_5,6,0.07624400000000000,0.021577748,0.021179404,0.015595761,0.016510472,0.021249373,0.015114909,0.021518275,0.01695059,0.021459451,0.02378442,0.02786927,0.020065747,0.018737262,0.015184018,0.008983227,0.017998802,0.009959437,0.02335565,0.0179033,0.012201528,0.015192265,0.017386485,0.016877964,0.027523883,0.021138648,0.018662838,0.025196165,0.024296943,0.030548384,0.023800863,0.022385484,0.013575005,0.020130575,0.016680757,0.033943687,0.018871356,0.007989547,0.03154861,0.012665058,0.010190514,0.009577408,0.01503941,0.012323485,0.035724495,0.020030526,0.015578083,0.018024366,0.010491824,0.03597772,0.027474616,0.018098503,0.01376175,0.018039221,0.012260022,0.04018758,0.021087894,0.0087391,0.018396731,0.018026216,0.016670937,0.022368636,0.025923304,0.018027075,0.029925855,0.024466434,0.034742493,0.028653955,0.021482013,0.027475452,0.024218963,0.015530017,0.025689742,0.022768542,0.017712373,0.021687137,0.030296465,0.011894184,0.021848014,0.03101609,0.022629026,0.021924827,0.020383311,0.02035823,0.025007822,0.024350692,0.018242465,0.012680579,0.0131590115,0.012011496,0.021770976,0.013105645,0.011893876,0.018590119,0.021954248,0.017106272,0.018703008,0.021163182,0.01980319,0.021003991,0.008840886
CC_5,9,0.076403,0.03162602,0.030740665,0.01945107,0.021165786,0.030889189,0.018558018,0.031474777,0.022051154,0.031358656,0.03658881,0.046353105,0.028364312,0.02559592,0.01867666,0.00851078,0.02410015,0.009927143,0.0356069,0.023920279,0.013461013,0.018699292,0.022899622,0.021897737,0.045519598,0.030658206,0.025427436,0.039852027,0.03776694,0.053170163,0.036607284,0.03338316,0.015787473,0.028493218,0.021496877,0.062181145,0.025860054,0.007138675,0.055769578,0.014240072,0.010275495,0.009363865,0.018423388,0.013666869,0.06706677,0.028297914,0.019412873,0.024142541,0.01073197,0.06774922,0.04541433,0.024315277,0.016127521,0.024180869,0.013557923,0.07992243,0.030556412,0.008163096,0.024908751,0.02416717,0.02148908,0.033380583,0.041594606,0.024166586,0.051570743,0.03818844,0.06430257,0.048304196,0.031390756,0.04534358,0.03757833,0.019326229,0.041042026,0.034252882,0.023527639,0.03186269,0.052508205,0.012958332,0.03220515,0.054374658,0.033943452,0.032406777,0.0290456,0.028996697,0.039435696,0.037867777,0.024587324,0.0142607875,0.015072231,0.01314629,0.03204614,0.014993335,0.012961333,0.025294024,0.032465477,0.02232326,0.025537431,0.030708622,0.027814677,0.030362865,0.008308088
CC_5,12,0.08117233333333330,0.04624188,0.044490848,0.024231302,0.027076092,0.044767734,0.022759138,0.04589511,0.028665124,0.045702327,0.056123797,0.076735035,0.0400076,0.03489408,0.022936689,0.0080611175,0.03220886,0.009886966,0.05413464,0.03191441,0.014836415,0.022987776,0.030128634,0.02837505,0.074983604,0.04434748,0.034552004,0.06276522,0.05851301,0.092027985,0.056107778,0.049603324,0.018333178,0.040229335,0.027647665,0.11298935,0.035349328,0.0063770274,0.09794693,0.015999507,0.010353286,0.009149419,0.02254731,0.015145181,0.124667495,0.039902654,0.02415804,0.032264724,0.010967245,0.12623219,0.074806035,0.03262466,0.018884188,0.032351557,0.014978951,0.15697482,0.044172924,0.0076213577,0.03366795,0.03235436,0.027657103,0.04969073,0.066461064,0.032348298,0.08842099,0.05945754,0.11781559,0.080998905,0.04572055,0.07442242,0.058104523,0.024020389,0.065312415,0.051356208,0.03119438,0.04669281,0.090486914,0.014106725,0.047329783,0.09473927,0.05075251,0.04780693,0.04130599,0.0412248,0.06197949,0.058651928,0.03307079,0.016021729,0.017242843,0.014373554,0.047047533,0.017143827,0.014116437,0.034344517,0.047905326,0.029069845,0.034814253,0.044437326,0.03899046,0.043772426,0.007804723
CC_5,24,0.205659,0.2003361,0.18349837,0.0573051,0.06999447,0.18509014,0.05058564,0.19378439,0.08080537,0.19444856,0.28931057,0.5037378,0.15142988,0.11593601,0.050943557,0.006472915,0.099272825,0.009650332,0.2705149,0.09855884,0.021643,0.051530823,0.0885784,0.07830897,0.4927791,0.18338339,0.11205228,0.3461577,0.31058636,0.6930117,0.28425765,0.22256254,0.03267247,0.15188366,0.07312643,0.93813473,0.11772102,0.0040537547,0.7571282,0.025267519,0.010588121,0.008290425,0.049857333,0.022627972,1.0602936,0.15178935,0.05668566,0.09878774,0.011843787,1.0598488,0.4976643,0.10319978,0.035092335,0.10008984,0.02205871,1.4731572,0.18340003,0.005766365,0.10881418,0.10126907,0.0739435,0.23047145,0.38755888,0.10101603,0.65294856,0.32764843,0.94957596,0.548256,0.1915771,0.46354076,0.30457515,0.056215238,0.37761104,0.23991463,0.093248524,0.20338964,0.6687506,0.019630488,0.20643896,0.7189012,0.23554467,0.2166051,0.16198201,0.16205242,0.3467226,0.30543056,0.10419551,0.025201123,0.029071493,0.020290682,0.20613216,0.02910221,0.019726643,0.112274,0.21619561,0.08060791,0.11667296,0.18363254,0.14466634,0.17831753,0.0060599367
CC_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CC_6,3,0.133956,0.008742993,0.010180365,0.00862661,0.008580014,0.0079708425,0.009453128,0.0071910783,0.007825256,0.00844048,0.012850187,0.00818642,0.008482702,0.008339217,0.011083914,0.009587175,0.010285344,0.010055755,0.007889998,0.010037975,0.009511053,0.0071175476,0.010377212,0.0069570607,0.008565414,0.009667421,0.0114956945,0.007633222,0.009559249,0.0066610426,0.0103606535,0.009432206,0.0095060645,0.009096805,0.007765872,0.010537444,0.007901494,0.008530667,0.009859322,0.008413272,0.009591956,0.009145398,0.0075903786,0.007332847,0.00911428,0.010558616,0.010598927,0.009461466,0.007963879,0.008380467,0.010870253,0.010277517,0.007918926,0.008901472,0.008426243,0.009239251,0.009582973,0.009636284,0.010752411,0.008169901,0.009089226,0.0078109745,0.009489888,0.007273269,0.008158699,0.009705296,0.008678344,0.008983956,0.008099535,0.00898862,0.010495162,0.011122615,0.0077811806,0.007979232,0.007706483,0.010102183,0.008663487,0.009069823,0.008882111,0.009443403,0.009901792,0.009157945,0.0075494023,0.0084856,0.008108621,0.00826863,0.0071468903,0.010064312,0.00990326,0.0074821794,0.007324299,0.007540582,0.0091982065,0.008007216,0.007525891,0.008166507,0.00855145,0.007272692,0.011072327,0.01021112,0.010218388
CC_6,6,0.21901366666666700,0.007642437,0.010363973,0.007439954,0.0073599536,0.0063508903,0.008936034,0.005166603,0.006120319,0.007122006,0.016498817,0.006699188,0.0071941707,0.006952051,0.012283913,0.009191368,0.010578647,0.01011214,0.0062220413,0.0100764455,0.009045786,0.0050611133,0.0107680205,0.0048350776,0.0073347646,0.00934611,0.013212915,0.0058227903,0.00913749,0.004430912,0.010734456,0.00889656,0.009037005,0.00827418,0.0060276235,0.01110325,0.006239966,0.00727515,0.009720849,0.0070759603,0.009200229,0.008363403,0.0057575903,0.005372825,0.008306521,0.011148079,0.011234533,0.008951748,0.006339257,0.0070212763,0.011815415,0.010562415,0.0062675336,0.007922912,0.0070980466,0.008535739,0.009182949,0.009286051,0.011561169,0.006672058,0.008260707,0.0060980776,0.009005582,0.0052854205,0.0066537336,0.009418927,0.007530009,0.008070366,0.006557489,0.008077836,0.011014009,0.012369657,0.006051449,0.0063639493,0.005935799,0.010205731,0.0075040436,0.008225692,0.007888262,0.008917745,0.0098047545,0.008386494,0.005695639,0.007198732,0.0065724086,0.0068345047,0.0051033315,0.010128301,0.009807848,0.0055942894,0.005360214,0.005682519,0.008459823,0.006408633,0.0056598894,0.0066663525,0.0073108654,0.005284986,0.012257434,0.010426492,0.010441244
CC_6,9,0.5024873333333330,0.0066792495,0.010550871,0.006415105,0.0063121147,0.005058539,0.008447099,0.0037097132,0.004784905,0.0060079405,0.021160513,0.0054804236,0.006100319,0.0057940893,0.013612122,0.008811876,0.010880122,0.010169167,0.0049047098,0.010115406,0.008603092,0.0035963801,0.011172881,0.0033579047,0.006279556,0.009035667,0.015183773,0.0044395314,0.008733946,0.0029447624,0.011121877,0.008391256,0.0085915085,0.0075251004,0.00467649,0.011698853,0.004925687,0.006202882,0.009584564,0.005949552,0.008824174,0.007647877,0.004365153,0.0039344174,0.00756989,0.0117700705,0.011909186,0.0084693115,0.00504406,0.005881129,0.01284181,0.010854884,0.004958386,0.007051355,0.005977763,0.007885211,0.008799276,0.0089487815,0.012430462,0.005447035,0.007507125,0.0047589503,0.008545781,0.00383842,0.005424565,0.009140697,0.006532596,0.0072490512,0.0053072204,0.0072579584,0.01155759,0.013754537,0.004704278,0.0050738226,0.0045700576,0.010310664,0.0064986157,0.0074596656,0.0070049004,0.008421299,0.009708868,0.0076797954,0.0042949547,0.0061056977,0.005325546,0.005647383,0.0036418203,0.010191952,0.009713753,0.004180496,0.003920499,0.0042802994,0.007779968,0.005127316,0.004254279,0.0054398766,0.006248879,0.0038383,0.0135666635,0.010646164,0.0106685925
