Treatments,Time,DF_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
DF_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DF_5,3,0.012791000000000000,0.016121004,0.009581681,0.010938844,0.010031922,0.009061102,0.008301619,0.00918067,0.010185402,0.009327355,0.012674996,0.010439479,0.014780324,0.014395583,0.008881778,0.008855597,0.010189815,0.008927289,0.010334211,0.01946668,0.009780922,0.016553525,0.012185794,0.010529357,0.0122136725,0.012154821,0.009779488,0.011850827,0.009269783,0.008854526,0.011168945,0.011614899,0.0072732577,0.011199125,0.0123081915,0.008577201,0.011109348,0.012490037,0.011908593,0.01039715,0.01523749,0.01539319,0.0087150065,0.009930321,0.016556792,0.013305924,0.009277827,0.012122854,0.009430539,0.0037775263,0.015139622,0.00992926,0.006718388,0.010258991,0.009047919,0.010343927,0.0099237645,0.009160754,0.0057144794,0.0075089913,0.014761488,0.006615562,0.0094133485,0.0073240967,0.020703401,0.009100701,0.0051893997,0.0070074913,0.009391198,0.010245359,0.008488538,0.010471175,0.011085235,0.012240687,0.012974383,0.01214208,0.012845185,0.009175779,0.008744305,0.008148215,0.010125302,0.009153014,0.014630315,0.013108981,0.014221371,0.009231263,0.009277677,0.011122646,0.011719755,0.010140051,0.015290899,0.011554894,0.012243043,0.01402576,0.019918203,0.009461681,0.009842206,0.008923586,0.00898247,0.008806142,0.009115782
DF_5,6,0.018531666666666700,0.025832668,0.009186298,0.011972865,0.01006615,0.008212707,0.00688549,0.008426773,0.010378959,0.00870213,0.016043318,0.010905698,0.02171337,0.02064452,0.007885522,0.007841207,0.010387836,0.0079668285,0.010687655,0.03682322,0.009568674,0.027156664,0.01484804,0.011093122,0.014912218,0.014769432,0.009564184,0.014043514,0.008593363,0.007839626,0.012481496,0.0134911565,0.005278129,0.012548853,0.015155572,0.00735454,0.012346564,0.015597673,0.01418153,0.010812971,0.0231203,0.023542076,0.0075923316,0.009865776,0.02707264,0.01767128,0.008606666,0.014688473,0.0088947,0.0014145555,0.022760194,0.009864393,0.004499553,0.010530755,0.008186961,0.0107044075,0.009850161,0.008400047,0.0032481493,0.005632086,0.02168759,0.004361453,0.008862014,0.0053512426,0.04212374,0.008281815,0.0026768278,0.004899265,0.008824053,0.010501398,0.0072014746,0.010969503,0.01229498,0.014988661,0.016808668,0.014742031,0.016474996,0.008418697,0.0076442314,0.0066345413,0.0102560315,0.008376745,0.021299457,0.017157212,0.020161403,0.008521353,0.008607577,0.012375449,0.013737644,0.010288219,0.023217404,0.0133489845,0.014989617,0.019595316,0.03906737,0.008954027,0.009694263,0.007961006,0.008066004,0.007752649,0.00831519
DF_5,9,0.01136,0.041001875,0.008812267,0.013113003,0.010102666,0.007445736,0.00570666,0.0077333385,0.010581114,0.00812076,0.020270992,0.011400846,0.031618774,0.02944537,0.006998588,0.006942352,0.010594487,0.0071074623,0.011061877,0.06620606,0.009362982,0.04391008,0.01808978,0.011694144,0.018198995,0.017939573,0.009353951,0.016640691,0.007966723,0.0069405735,0.013956887,0.015671026,0.0038239914,0.014069644,0.018671146,0.006304508,0.013727425,0.019474411,0.01688821,0.011248564,0.034858733,0.03565505,0.0066121556,0.009806271,0.043400697,0.023409769,0.007983074,0.017785385,0.008390353,0.00052795804,0.033862416,0.009805265,0.0030071593,0.010816113,0.0074083502,0.011082514,0.009779145,0.0077094072,0.0018406439,0.0042207143,0.031645074,0.0028688014,0.008343774,0.0039028355,0.082824275,0.0075362246,0.0013764658,0.0034198037,0.008295283,0.010768733,0.006106626,0.011496991,0.013644984,0.018360877,0.021734249,0.017897137,0.02108948,0.007723424,0.006680996,0.005398896,0.010392431,0.0076654623,0.030789644,0.022408573,0.02845542,0.007865809,0.007985921,0.013774416,0.016106058,0.010444908,0.034885027,0.015418127,0.018352587,0.027228707,0.07441472,0.008475131,0.009555715,0.0071006543,0.007241037,0.006823519,0.0075894957
DF_5,12,0.010883000000000000,0.06411787,0.008458135,0.014371729,0.010141568,0.006752038,0.0047267163,0.0070957593,0.010792329,0.007579942,0.025555013,0.011927329,0.045467507,0.041675467,0.0062095094,0.006145991,0.010810239,0.0063390206,0.01145848,0.109762795,0.009163592,0.06939813,0.022035664,0.012335576,0.022197733,0.021779552,0.009148658,0.019715955,0.0073861615,0.006144254,0.015617311,0.01820361,0.00276716,0.015785078,0.023015738,0.005403159,0.015269864,0.024307596,0.020111034,0.011705108,0.05206049,0.053225093,0.005756921,0.009751706,0.067510955,0.030908335,0.007403824,0.021517854,0.00791557,0.00019680844,0.0496245,0.009751785,0.00200691,0.011115993,0.006704158,0.011479399,0.009710667,0.007081413,0.0010412425,0.0031609985,0.04571873,0.0018841344,0.00785657,0.0028427455,0.15293008,0.0068574585,0.000706652,0.00238442,0.0078018927,0.011048034,0.0051761065,0.012055811,0.015153342,0.0225019,0.028032795,0.021724816,0.0269292,0.007085034,0.0058379397,0.00439131,0.01053475,0.0070138793,0.044062044,0.029186575,0.039909307,0.0072605154,0.007409212,0.01533777,0.018886745,0.010610544,0.051617745,0.01780315,0.022469707,0.037556197,0.13447712,0.008023234,0.009426156,0.006331992,0.006498837,0.0060044494,0.0069309855
DF_5,24,0.01,0.27339172,0.0072154338,0.020908795,0.010321689,0.004575596,0.002215084,0.0050222366,0.011738339,0.00576515,0.06216029,0.014403963,0.15276647,0.1432838,0.0038386416,0.0037725752,0.011774866,0.004001904,0.013307226,0.27640313,0.008424353,0.26650915,0.048355244,0.015380733,0.048656717,0.046928342,0.008374424,0.0387494,0.005459755,0.0037718825,0.02468696,0.033135086,0.00075376267,0.025207607,0.053548086,0.0029101346,0.023510467,0.05863414,0.04040275,0.013767711,0.21026993,0.19694431,0.0033010521,0.009581515,0.2278374,0.088440284,0.0054723267,0.045530014,0.006277286,3.7901652E-06,0.170759,0.009592535,0.0003954105,0.01248118,0.0044981656,0.013281524,0.00946121,0.005076959,0.00010594344,0.0009907217,0.16292165,0.00034807948,0.006181307,0.00079431746,0.5250935,0.0046994626,4.883463E-05,0.00056024233,0.0061312187,0.012300148,0.0026639285,0.01465628,0.023237798,0.05100678,0.074231885,0.047050014,0.068625756,0.0050140475,0.0033982291,0.0019158754,0.011168912,0.0049121436,0.15191421,0.07994719,0.13577592,0.0052695638,0.0054902523,0.023696568,0.035795882,0.011372548,0.18329068,0.031523876,0.05040162,0.11862076,0.49069944,0.006454288,0.008990753,0.0039976067,0.004208189,0.0035942015,0.004843751
DF_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DF_6,3,0.04651333333333330,0.0128262,0.011803143,0.011858547,0.0114338575,0.011505414,0.011170015,0.010805522,0.011985308,0.011191384,0.011862228,0.012006107,0.010794259,0.011556794,0.010678869,0.011442227,0.011586758,0.01071459,0.012850352,0.011080063,0.009893376,0.012855987,0.010538732,0.012557935,0.011671459,0.012076168,0.011173681,0.010929449,0.010571613,0.010991469,0.011302348,0.010754331,0.010507623,0.0112657305,0.010637665,0.011739986,0.012482567,0.011433934,0.01066854,0.011885841,0.011719452,0.01199739,0.010577091,0.011928136,0.011360991,0.011945664,0.012674297,0.011093304,0.010860593,0.01212426,0.011481793,0.011837579,0.011288523,0.012703812,0.012232571,0.011787976,0.011912038,0.01192918,0.013237201,0.012665339,0.011384949,0.011858271,0.013218266,0.011116932,0.0103564635,0.012214327,0.01234238,0.011982713,0.011494056,0.012515079,0.01020743,0.011257709,0.010847772,0.012909525,0.0088816695,0.011985835,0.011704804,0.010737978,0.011580846,0.012099754,0.011608084,0.011239243,0.011180171,0.010476648,0.011331901,0.010573665,0.012068307,0.0126902005,0.010369136,0.011878175,0.010938096,0.0107171135,0.011591528,0.01197838,0.012357673,0.011186832,0.010833451,0.011322591,0.012592971,0.0108415065,0.011198623
DF_6,6,0.04762633333333330,0.015985036,0.013909526,0.013952682,0.013200669,0.013221542,0.012539668,0.011859856,0.01428192,0.012600763,0.014040684,0.014247952,0.011767834,0.013386914,0.011586701,0.013137628,0.013331898,0.011604506,0.01621665,0.012269508,0.01000417,0.016012883,0.011285745,0.015452315,0.013713883,0.014506446,0.012526037,0.012077097,0.011378354,0.012195352,0.012777328,0.011652276,0.011199354,0.0127733275,0.011457626,0.013616898,0.015476665,0.01312085,0.011506397,0.014106923,0.01377417,0.014233652,0.01138774,0.0140986135,0.012939094,0.014096928,0.015737265,0.012398528,0.011998802,0.014484696,0.013151977,0.013954377,0.012795525,0.015688594,0.014872633,0.0137532335,0.01424058,0.01416404,0.016889866,0.015636755,0.012941983,0.013946053,0.016923524,0.012489277,0.010852677,0.014762122,0.01519729,0.014320134,0.013225816,0.015431604,0.010614006,0.012730869,0.012053961,0.016226973,0.007982677,0.014326813,0.01366656,0.011657251,0.013491132,0.014513073,0.013640283,0.012715408,0.012520016,0.011093251,0.012907863,0.011374647,0.014403601,0.015944405,0.01096138,0.014092161,0.012095137,0.011636196,0.013410215,0.014397406,0.01501843,0.012603975,0.011852543,0.012894626,0.015741915,0.0118187815,0.012519444
DF_6,9,0.036020333333333300,0.019122662,0.01628201,0.016167503,0.015322383,0.015113976,0.014110573,0.013213372,0.016815368,0.014232371,0.016494358,0.016567538,0.012944081,0.015489499,0.012772352,0.015073785,0.015172549,0.012692136,0.019857116,0.013531586,0.0103545,0.019135721,0.012285068,0.01846074,0.016164565,0.017139427,0.01405138,0.013460688,0.012458498,0.013628789,0.014400228,0.012698972,0.012108301,0.014539357,0.0124913715,0.015539627,0.018894311,0.015059941,0.012539248,0.016628664,0.0161317,0.016592342,0.012479284,0.016422331,0.014700464,0.016295947,0.018963927,0.013945512,0.013465105,0.016941184,0.014969326,0.016280487,0.014511855,0.018648108,0.01782467,0.015762629,0.016994778,0.016624508,0.020518864,0.018624695,0.014624934,0.016177725,0.020677531,0.014135331,0.01150918,0.017524181,0.018508315,0.016952613,0.015166491,0.018583285,0.011251729,0.014403523,0.013710667,0.01966298,0.0072687343,0.01697011,0.015812347,0.012787495,0.01573383,0.017116182,0.016138231,0.014439481,0.01399329,0.011864672,0.014743291,0.012444563,0.016888907,0.019644823,0.011813882,0.016609998,0.013506335,0.012783591,0.015386749,0.017268466,0.017798746,0.01426642,0.013086498,0.014725561,0.01937251,0.01293536,0.013929552
