Treatments,Time,delarc_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
delarc_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
delarc_4,3,0.01,0.013366177,0.014752125,0.012977326,0.010883506,0.011965322,0.013645849,0.01463663,0.014695001,0.012501331,0.011576526,0.017481143,0.010783898,0.014825475,0.012614596,0.016826322,0.011974255,0.011120064,0.015863644,0.0125965625,0.013345243,0.014318872,0.010470353,0.012174493,0.012002592,0.012181765,0.011247401,0.015997756,0.013580802,0.01280662,0.011675925,0.0124949515,0.01407971,0.0146787185,0.011479648,0.011031778,0.01363584,0.012148077,0.014357766,0.011199516,0.012562384,0.012553673,0.01318132,0.014845223,0.013506999,0.012581267,0.013549659,0.012971515,0.014072065,0.012676829,0.012816205,0.013888684,0.012417346,0.012123109,0.012179627,0.013013486,0.012535327,0.013347646,0.011578377,0.011682942,0.0142817795,0.012321775,0.01155137,0.013956637,0.015094896,0.011175539,0.013445974,0.014519804,0.012756865,0.013695586,0.011565044,0.012213935,0.0126438625,0.012915523,0.012610576,0.011804393,0.014123529,0.011871735,0.011344502,0.013103309,0.0148211885,0.01312469,0.013645009,0.013070255,0.016069843,0.013174516,0.010602028,0.012379682,0.013027523,0.013507085,0.01150294,0.014734454,0.013375955,0.010382516,0.01268653,0.015583017,0.013480514,0.010653966,0.012233983,0.012301543,0.012135976
delarc_4,6,0.01,0.0178594,0.021748636,0.01683699,0.011844793,0.014315321,0.01861339,0.021409366,0.021580894,0.015625043,0.013400674,0.030514084,0.011629049,0.021962825,0.015909769,0.02827455,0.014336779,0.012365125,0.02514006,0.015864214,0.017803974,0.02049145,0.010962767,0.014819731,0.014404436,0.0148376245,0.012649819,0.025566153,0.01843729,0.01639687,0.013631672,0.015609588,0.01981481,0.02153365,0.013177386,0.012169647,0.018586876,0.014755603,0.020603398,0.012542406,0.015778145,0.015756924,0.017369261,0.022023568,0.018237732,0.015825659,0.018352348,0.016821591,0.019792905,0.016066723,0.016422039,0.019282235,0.015416664,0.014695203,0.014832233,0.016930735,0.01571039,0.017810572,0.013404894,0.013647991,0.020385925,0.015180308,0.013342554,0.019470476,0.022768864,0.012488772,0.018072825,0.021070056,0.01626999,0.018750397,0.01337415,0.014916075,0.0159835,0.016676864,0.015899276,0.013933114,0.019937595,0.014092351,0.012869123,0.017164664,0.02195125,0.017220704,0.018611664,0.01707879,0.025797658,0.017352011,0.011240192,0.01532328,0.016966755,0.018237477,0.0132309105,0.02169729,0.017885985,0.010779627,0.016091315,0.02426044,0.01816648,0.01135056,0.014964734,0.015130619,0.01472622
delarc_4,9,0.01,0.02385226,0.032033313,0.021837655,0.012890691,0.017124616,0.025375279,0.031286713,0.031664602,0.019524166,0.015510955,0.05312747,0.012540186,0.03249988,0.020060914,0.04740536,0.017163351,0.013749007,0.039777283,0.019974599,0.023742575,0.029301286,0.011478243,0.018036624,0.017284345,0.018069627,0.014226384,0.040789753,0.025018353,0.020986898,0.01591353,0.01949627,0.027868187,0.03156233,0.015125085,0.013424421,0.02532308,0.017919848,0.029542971,0.014045701,0.019811988,0.019773502,0.02287823,0.032641195,0.02461414,0.019901695,0.02484472,0.02180691,0.02782091,0.020357437,0.021036696,0.026756233,0.019136775,0.017810358,0.018059444,0.022019804,0.019684885,0.023756053,0.01551823,0.015941992,0.029076664,0.018698411,0.015410336,0.027146533,0.034306016,0.013955703,0.024279995,0.030549211,0.02074445,0.025658624,0.015465072,0.018213121,0.020200098,0.021526517,0.020040344,0.016443929,0.028125597,0.01672625,0.014597767,0.022476189,0.03247748,0.022586348,0.025373198,0.022309327,0.041346572,0.022845965,0.011916631,0.018963179,0.022088898,0.024612285,0.015217302,0.03192214,0.023906562,0.011191877,0.020404283,0.037715346,0.024470527,0.012092554,0.018301638,0.0186071,0.017866423
delarc_4,24,0.01,0.099930406,0.21367274,0.07942265,0.0196707,0.041821208,0.1173399,0.20085447,0.20752892,0.05906802,0.032168873,0.72029483,0.018278904,0.22017351,0.06353519,0.5510539,0.04208382,0.023349663,0.3642428,0.06279381,0.098846875,0.16993338,0.014441212,0.047964796,0.04284683,0.048215754,0.025568731,0.38744065,0.11330431,0.07145414,0.034433175,0.05891537,0.14986482,0.20612557,0.030086676,0.021913176,0.116947785,0.04715055,0.17387891,0.02471604,0.06142373,0.06120817,0.08957734,0.22414604,0.10860898,0.062176894,0.111113414,0.0790572,0.14902648,0.06598505,0.072019234,0.13515154,0.0561209,0.046409998,0.04812506,0.08114923,0.060406785,0.09903216,0.032207277,0.03459313,0.16677111,0.05276573,0.03162187,0.14006345,0.2538323,0.02429576,0.10462138,0.18930295,0.06933263,0.121177875,0.031920783,0.049242012,0.0646818,0.076420255,0.063308574,0.037561726,0.15322293,0.039286137,0.027381262,0.085556045,0.22051907,0.08666871,0.117492035,0.08402021,0.40184245,0.08941691,0.015957804,0.054776642,0.08171829,0.10843976,0.030576926,0.21220662,0.10064927,0.013501062,0.06639546,0.31976366,0.10699835,0.016592938,0.04984348,0.052106462,0.04678056
delarc_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
delarc_5,3,0.09929700000000001,0.017116474,0.015188696,0.013029419,0.023039334,0.017377954,0.022981072,0.014633989,0.01595176,0.018024938,0.011856893,0.014754873,0.015386729,0.016973387,0.013983246,0.013108549,0.016208936,0.012246711,0.018212425,0.017953478,0.02244722,0.013698249,0.01455114,0.015277179,0.014407604,0.019985624,0.019088494,0.016999967,0.018341316,0.023436734,0.012755143,0.016097836,0.0198392,0.015593423,0.015558735,0.017146446,0.014668849,0.0132410135,0.018631766,0.019747648,0.015574615,0.014117876,0.013809754,0.015571719,0.015350887,0.015979039,0.01682266,0.016797576,0.011287201,0.016288215,0.015566348,0.017701736,0.012547425,0.014059288,0.022081843,0.011997453,0.0153204,0.016543375,0.019990908,0.018170886,0.0161915,0.013982485,0.01628625,0.015308972,0.01632359,0.018050466,0.011293916,0.017427456,0.018397251,0.014104888,0.01796987,0.014399901,0.012180437,0.015183765,0.019334286,0.015051542,0.018797843,0.013489605,0.020026896,0.017392125,0.012634542,0.014192592,0.017464835,0.017876016,0.014120046,0.021405574,0.014305313,0.022820134,0.01379725,0.013947643,0.02154511,0.014366616,0.018681146,0.015519354,0.013685747,0.023372497,0.019500613,0.015094224,0.012151316,0.014973502,0.013528737
delarc_5,6,0.515047,0.029255966,0.02305203,0.016971942,0.05280569,0.030152882,0.052565474,0.021402525,0.025420126,0.03243309,0.014057295,0.021756317,0.023656808,0.028771605,0.01954438,0.017178651,0.02624337,0.0149962185,0.033107087,0.032172486,0.050163846,0.01875745,0.02116102,0.023320999,0.020746542,0.039821263,0.03635148,0.028858962,0.03357294,0.05464632,0.016265774,0.025886953,0.039250918,0.024292741,0.024187263,0.02935857,0.021503806,0.017527336,0.034642298,0.038895365,0.024236707,0.019922238,0.019062914,0.024226334,0.02354691,0.025505073,0.0282618,0.028178917,0.012739551,0.026500054,0.024209399,0.031281482,0.01574087,0.019756522,0.04854848,0.014392197,0.023452299,0.027336283,0.039851695,0.03295673,0.026185805,0.019542249,0.026495345,0.023418047,0.026613908,0.032520514,0.0127546135,0.030325575,0.033780895,0.019885149,0.03223376,0.020725505,0.014834321,0.023036344,0.037284125,0.022637261,0.03526056,0.01819088,0.03999156,0.030199695,0.015959918,0.020132916,0.030454932,0.03190051,0.01992754,0.045658242,0.020452559,0.05184102,0.019028427,0.019446056,0.046241026,0.02062803,0.03482088,0.024063425,0.018722773,0.054350596,0.037929766,0.02276631,0.01476351,0.02240489,0.018295798
delarc_5,9,0.6544783333333334,0.04988499,0.03494589,0.0220996,0.1196127,0.052180056,0.11896417,0.031274274,0.04044354,0.058175914,0.01666421,0.032049064,0.036328927,0.048662372,0.02730013,0.02250432,0.04241251,0.018360047,0.059979264,0.057461176,0.11100518,0.025672523,0.030746974,0.035557806,0.029850924,0.078868106,0.068919204,0.048873346,0.061229594,0.12591599,0.020736769,0.041559156,0.07723604,0.037790257,0.03755242,0.050147463,0.03149415,0.023192313,0.06416354,0.07621866,0.037667766,0.028094674,0.026299095,0.03763922,0.03607648,0.04063947,0.047371663,0.047168363,0.014378094,0.043033704,0.037599172,0.0551123,0.019742524,0.027743114,0.10572884,0.017262515,0.035855845,0.045083404,0.07900392,0.059573483,0.04226936,0.027295645,0.04302811,0.035779715,0.043306515,0.0583927,0.014403434,0.05263113,0.061810844,0.028015178,0.05763487,0.02980872,0.018063508,0.034908064,0.0715405,0.03400631,0.06587813,0.024519593,0.079401314,0.052292343,0.020155368,0.028539348,0.05296434,0.05675468,0.028103698,0.09666444,0.029217469,0.11657855,0.026227817,0.027097257,0.09843635,0.029593851,0.06463758,0.037259687,0.02560022,0.124921955,0.073409826,0.03429889,0.017934399,0.03348949,0.02473006
delarc_5,24,0.764815,0.6208579,0.26580578,0.081875615,2.3395216,0.6844149,2.480311,0.20117056,0.38007346,0.86922526,0.03891506,0.21368614,0.29377422,0.5894716,0.14200294,0.0858988,0.42476094,0.050303377,0.92043585,0.8324981,2.2854612,0.12128001,0.19248486,0.277715,0.17860517,1.456336,1.1930691,0.58995515,0.95093554,2.5577862,0.06929261,0.4062252,1.4473386,0.32128936,0.31861097,0.62898266,0.20441121,0.09298186,1.0502948,1.4359813,0.32120588,0.1530351,0.12885462,0.31917676,0.2886346,0.3821967,0.5492182,0.54583114,0.026303742,0.4397788,0.31809106,0.76661587,0.060899653,0.14775129,2.127749,0.042712092,0.28305644,0.49376303,1.5085161,0.90732473,0.41959897,0.1419404,0.44214326,0.28215304,0.44484475,0.8630434,0.026422778,0.7006048,0.98213035,0.15171805,0.84554875,0.1785383,0.04816774,0.2644718,1.2533298,0.24737124,1.1079534,0.10753769,1.5051346,0.68230873,0.064298965,0.15915848,0.70912063,0.82262033,0.15280752,2.0323308,0.16857927,2.4590778,0.12794067,0.13965683,2.0108733,0.17428158,1.0490205,0.3107124,0.12022896,2.548114,1.3315917,0.25331935,0.047260053,0.23899335,0.109770365
