Treatments,Time,parc+_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
parc+_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc+_4,3,0.01,0.061518118,0.061553583,0.062305037,0.067645326,0.053484663,0.06468918,0.054387756,0.06439041,0.060080495,0.05816961,0.056363903,0.057090826,0.05984598,0.058906265,0.058825675,0.056029882,0.06407629,0.053957995,0.057586093,0.050980046,0.060102124,0.05580756,0.05730842,0.05761683,0.05846305,0.068267226,0.061338477,0.05950633,0.06706365,0.049763635,0.059161957,0.0637914,0.059626743,0.061652396,0.05958365,0.06089101,0.05821028,0.05628001,0.060818497,0.06116781,0.06422619,0.058549907,0.06257173,0.06205977,0.06225972,0.054570198,0.056543835,0.054336734,0.058431823,0.055004437,0.059626903,0.06196707,0.060624864,0.0587481,0.059630934,0.061763924,0.05689839,0.05992414,0.054538984,0.06186597,0.06146214,0.051253743,0.058872372,0.052709337,0.05876058,0.05453168,0.055155225,0.057455692,0.062464815,0.061236452,0.06339649,0.055775605,0.060437188,0.060139384,0.055328004,0.06377392,0.054863382,0.056678522,0.06116655,0.058590975,0.05806029,0.059503574,0.054504544,0.05585524,0.057566755,0.06264093,0.059475813,0.05249591,0.055396475,0.058785725,0.06259515,0.062306695,0.05891242,0.054202385,0.056031242,0.05557204,0.060334913,0.052001834,0.061848085,0.063864015
parc+_4,6,0.01,0.35782993,0.35862955,0.36760274,0.42719677,0.27519765,0.39427432,0.28423995,0.38979894,0.34249797,0.3224274,0.30387998,0.31142792,0.34051812,0.32975566,0.32920942,0.30032566,0.38622862,0.27948174,0.31613964,0.25098595,0.3430549,0.29790622,0.3135456,0.31650642,0.32541856,0.43470702,0.35662657,0.33660474,0.42147088,0.2396961,0.33302048,0.3836918,0.3375563,0.35986626,0.3369521,0.35085094,0.32281137,0.30315682,0.3509538,0.35400182,0.38811287,0.32610592,0.36983967,0.36425012,0.36672562,0.28577805,0.30565646,0.283143,0.32534266,0.28997517,0.33794782,0.3630237,0.34840348,0.3285619,0.33823988,0.3611471,0.30996144,0.34123266,0.28525618,0.36168903,0.35826805,0.25383073,0.32983145,0.26760632,0.32894632,0.28523666,0.29183462,0.3155085,0.3687352,0.35501024,0.378543,0.29784474,0.34705624,0.34355408,0.2931104,0.38251966,0.28878102,0.30713078,0.35411143,0.32679012,0.3213604,0.3369017,0.28518075,0.2984037,0.31632966,0.3710603,0.3366262,0.26558936,0.2940022,0.32906917,0.37062222,0.36705062,0.33008415,0.2819206,0.30005494,0.29595914,0.34516805,0.2606365,0.36173797,0.38452563
parc+_4,9,0.01,1.584791,1.5974007,1.6561604,1.9075922,1.1862906,1.7821167,1.2354112,1.7375736,1.5152684,1.4201123,1.3297606,1.3695604,1.5169276,1.4476476,1.4513369,1.3086811,1.7202935,1.200793,1.384497,1.0585341,1.5248913,1.2930965,1.3774505,1.3873218,1.4331561,1.9454685,1.5951451,1.4915665,1.9048437,1.0011104,1.4755275,1.7226694,1.4892133,1.6067084,1.483217,1.5477822,1.4211317,1.3289027,1.5671607,1.5660977,1.7332592,1.4318304,1.651453,1.6259524,1.643738,1.2376057,1.3374047,1.2177714,1.4380932,1.2561438,1.499392,1.6156245,1.5450118,1.4517465,1.5061423,1.6141598,1.3731403,1.5178099,1.2306405,1.6044412,1.6094353,1.0784022,1.457127,1.1464267,1.4589996,1.2316293,1.2727561,1.3965495,1.6478534,1.5765096,1.6828243,1.2981719,1.5529995,1.5294594,1.269758,1.6963038,1.2545338,1.3467892,1.5692282,1.440518,1.416406,1.4999912,1.2357231,1.2959176,1.3936263,1.667106,1.4990729,1.1369596,1.2784346,1.4565976,1.6665128,1.641122,1.4547881,1.2137289,1.3014706,1.292205,1.5269493,1.1073403,1.6098806,1.7270001
parc+_4,24,0.01,4.6154184,4.714903,4.8936267,4.6803684,4.7969756,4.883284,4.85038,4.656644,4.6600604,4.7010903,4.738345,4.768133,4.806108,4.583763,4.6700163,4.683573,4.6479793,4.637054,4.634087,4.7357254,4.747764,4.6239448,4.7242975,4.649307,4.6762323,4.719582,4.8010755,4.7242146,4.86204,4.774074,4.74531,4.785841,4.6328077,4.7537456,4.5934753,4.570478,4.688289,4.786945,4.7954817,4.609098,4.6888113,4.6103544,4.7233806,4.73445,4.8009086,4.733196,4.7162313,4.6054664,4.7527666,4.6785965,4.740796,4.684655,4.675601,4.720162,4.8120713,4.7687497,4.9547915,4.7714343,4.6479907,4.631163,4.8768935,4.8790016,4.7079234,4.7821774,4.7964644,4.669304,4.815807,4.8726687,4.740911,4.673541,4.627941,4.7189755,4.8573933,4.7751627,4.637371,4.5816035,4.7648044,4.7492504,4.6389866,4.6848807,4.7245054,4.818292,4.7567015,4.629617,4.759691,4.8300896,4.824399,4.8062067,4.713823,4.753335,4.846683,4.7547574,4.65859,4.6481867,4.5835557,4.784871,4.6452584,4.7062955,4.688584,4.7900624
parc+_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc+_5,3,0.07401799999999999,0.02041697,0.01995632,0.023931986,0.02147542,0.024996174,0.020148342,0.01830487,0.022181496,0.020686427,0.019576117,0.023324123,0.020693528,0.01748876,0.021437615,0.018057799,0.022458594,0.018372724,0.017319322,0.02015914,0.021278767,0.021034105,0.019986393,0.019958908,0.020807816,0.022629596,0.019713288,0.022547513,0.02055814,0.021498173,0.020168489,0.019641249,0.021645924,0.019117426,0.01838834,0.020860499,0.020967714,0.016754255,0.020254163,0.021181189,0.020115998,0.01984957,0.021300057,0.02436721,0.016708856,0.019555444,0.020834561,0.020824324,0.02296601,0.019323317,0.017309666,0.019958096,0.022282824,0.02036324,0.019986315,0.01797415,0.023602013,0.019650904,0.020217806,0.021542601,0.02253117,0.022164477,0.019320123,0.018653365,0.020317592,0.020756355,0.021865599,0.01895301,0.019360363,0.02051731,0.016718695,0.019330468,0.021642536,0.02084893,0.02400094,0.02293859,0.020871352,0.017592257,0.018113226,0.020588242,0.020781776,0.024037702,0.019200101,0.020324718,0.020968342,0.019907964,0.017189452,0.02015783,0.019966813,0.02106334,0.020646997,0.023049707,0.02016639,0.021829711,0.022343652,0.020756382,0.020437717,0.020127675,0.021398026,0.018713603,0.02074039
parc+_5,6,0.30820533333333333,0.04159155,0.039740965,0.057026535,0.04598693,0.062171448,0.040507074,0.033456095,0.049044795,0.042683557,0.0382462,0.054195307,0.0427198,0.030549975,0.0458235,0.032563925,0.05027349,0.033706877,0.02996208,0.040555656,0.045153234,0.044132184,0.039859027,0.039750006,0.043189872,0.051033657,0.03878232,0.050665166,0.042160787,0.04607782,0.040588602,0.03850164,0.046721175,0.036484595,0.033761356,0.043402646,0.043851744,0.028043993,0.04093011,0.044742722,0.040375087,0.03932523,0.045248672,0.059122823,0.027890997,0.038169067,0.043298747,0.04325769,0.05255177,0.037269082,0.029929908,0.039750014,0.049490605,0.041373078,0.03986331,0.032261256,0.05547122,0.038535304,0.040784597,0.046269678,0.050591603,0.04897219,0.03726109,0.034738313,0.041188575,0.042980228,0.0476594,0.035859827,0.03741001,0.04200094,0.027925422,0.03729871,0.04670492,0.043360032,0.057367906,0.05244105,0.04345284,0.03091179,0.032763407,0.04228498,0.04308838,0.05754888,0.036798317,0.041214895,0.043851033,0.039549332,0.029515462,0.04054324,0.039779756,0.044251796,0.04252474,0.052942336,0.040581983,0.047511585,0.049765814,0.04297654,0.04166674,0.040425982,0.045668587,0.034964893,0.042909786
parc+_5,9,1.5117343333333333,0.08434095,0.078807734,0.13450563,0.09787509,0.15275994,0.08108254,0.060980152,0.107683256,0.087611414,0.07443359,0.12483092,0.08775876,0.053257182,0.09734551,0.05857914,0.11171966,0.061675556,0.051732752,0.081253886,0.09525627,0.092110485,0.07914975,0.07882845,0.08919204,0.11420593,0.07599336,0.11298084,0.086035095,0.098127864,0.0813293,0.07518193,0.10022979,0.06940095,0.06181292,0.08981841,0.09122315,0.046867404,0.082336254,0.09397719,0.08067656,0.07761643,0.09558554,0.14198643,0.046480034,0.07422571,0.08951757,0.08939843,0.11926072,0.07162278,0.051654298,0.078844436,0.10913207,0.083679505,0.079185285,0.0577582,0.12910105,0.075260766,0.08190435,0.0987469,0.11273471,0.10746007,0.071620144,0.064498655,0.08312438,0.088564664,0.10317256,0.06762787,0.07201941,0.08558562,0.04657178,0.07171758,0.10016854,0.089716405,0.13579364,0.1189763,0.090000466,0.054202087,0.05911477,0.08641817,0.08891374,0.13646883,0.07028469,0.08319137,0.09120319,0.07824285,0.05058545,0.08118086,0.078908406,0.09246754,0.087142624,0.12063215,0.08131874,0.10274233,0.110068925,0.088533275,0.08452207,0.080849476,0.09693157,0.0651385,0.08832408
parc+_5,24,4.676999666666666,1.879507,1.6556342,3.1897013,2.302307,3.5139601,1.7458782,1.000849,2.6172202,1.9400355,1.4883626,3.0755432,1.9974347,0.749464,2.2645895,0.9253183,2.7597036,1.036881,0.7002688,1.7890527,2.2196255,2.163789,1.6598701,1.6486396,2.041533,2.7938108,1.5480862,2.7501347,1.9030502,2.2609408,1.7603962,1.5250635,2.4205432,1.3188367,1.0311495,2.0245411,2.1034474,0.556822,1.7801713,2.181833,1.7132386,1.6537328,2.276145,3.5030422,0.5427595,1.4996737,2.0403056,2.046074,2.916601,1.3874905,0.70079273,1.6700342,2.6531518,1.8497592,1.6913271,0.88854325,3.0417962,1.5046477,1.7687464,2.29812,2.738359,2.6303847,1.4112786,1.1268795,1.8285054,2.0408957,2.4303472,1.2419895,1.3939514,1.9362434,0.5485574,1.4027305,2.403848,2.0621874,3.3504732,3.043808,2.070857,0.7804327,0.94337255,1.9253798,2.0801997,3.4263184,1.3438023,1.814029,2.0770369,1.6343741,0.6647948,1.7370464,1.6415395,2.1554232,1.9448987,3.0394764,1.7724005,2.482657,2.7371337,2.010388,1.823266,1.7481877,2.3637445,1.162009,1.9960282
