Treatments,Time,parc+_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
parc+_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc+_5,3,0.07401800000000000,0.02159377,0.022904294,0.019260576,0.021028053,0.023215866,0.018391078,0.020868544,0.022160074,0.019300144,0.019318119,0.021549696,0.019537438,0.023066876,0.023894368,0.020816121,0.021372043,0.01716793,0.02284212,0.018701427,0.022006074,0.021372808,0.020143334,0.018553102,0.01809288,0.019156564,0.022365509,0.023891585,0.020259865,0.021029256,0.019127078,0.018630086,0.019206326,0.020233477,0.021396441,0.0249447,0.02261754,0.017641036,0.021178395,0.022121834,0.018658403,0.018269587,0.02670884,0.019962495,0.021858465,0.020536747,0.022408744,0.017225705,0.019423336,0.021495724,0.020138457,0.020510944,0.017866153,0.022186691,0.021198489,0.020721326,0.020067047,0.022817228,0.020669919,0.019442083,0.019331291,0.01979813,0.02209914,0.017878205,0.025036387,0.021458052,0.023194293,0.021525789,0.021975724,0.022178937,0.0207613,0.020985944,0.024218248,0.021481272,0.019008134,0.018053377,0.01935478,0.019641021,0.019806137,0.019133562,0.023717243,0.018997453,0.01727069,0.01843112,0.022057123,0.019041603,0.019787919,0.020499958,0.020462615,0.01914969,0.018947342,0.016860725,0.019425275,0.020573108,0.024134869,0.021318125,0.022852935,0.023201987,0.019814346,0.02112748,0.014662283
parc+_5,6,0.30820533333333300,0.046500117,0.052291125,0.037038423,0.044111222,0.053710643,0.033782307,0.043441333,0.048957765,0.037182573,0.03725634,0.04633388,0.038107213,0.053023443,0.056885917,0.04323234,0.04555962,0.02944564,0.051996112,0.034930132,0.04829312,0.0455683,0.040493816,0.034374602,0.032694954,0.036637817,0.04987906,0.0568783,0.040961526,0.044113662,0.036524784,0.034659196,0.036827274,0.040853754,0.045672026,0.061940547,0.050985903,0.031091617,0.04473722,0.048803724,0.034762997,0.033336695,0.07097909,0.03977046,0.047640577,0.042084064,0.050068505,0.029644297,0.03766717,0.04608366,0.04047532,0.04198073,0.03188213,0.049087185,0.04483602,0.042848133,0.040187173,0.05190515,0.042635176,0.03773893,0.03731009,0.0391296,0.048692927,0.031925857,0.062401336,0.045927692,0.05360615,0.04621756,0.048151895,0.049053483,0.043016773,0.043935865,0.05840691,0.046026528,0.036072522,0.03255552,0.03739532,0.0385078,0.039151963,0.036548596,0.056026276,0.036036212,0.029804016,0.033923637,0.04850485,0.036203004,0.039086457,0.041940857,0.04178472,0.03661285,0.03584679,0.02840003,0.03766725,0.04224046,0.058031563,0.045329563,0.052061364,0.05366758,0.039188996,0.044533137,0.021490827
parc+_5,9,1.5117343333333300,0.09954208,0.118509755,0.0710098,0.09206831,0.12327359,0.061916947,0.0899658,0.107441984,0.071387574,0.071619585,0.09914062,0.0740853,0.12092157,0.13426696,0.08936537,0.09659572,0.050421055,0.11743926,0.06508832,0.10534419,0.09665317,0.08107692,0.06352665,0.05895102,0.069855,0.1105383,0.13427633,0.08247232,0.09206207,0.069530696,0.06431175,0.0703913,0.08214196,0.09699861,0.15209058,0.114085406,0.054708067,0.09399368,0.107022874,0.064593256,0.060693607,0.18615556,0.07891953,0.103181645,0.08585684,0.11114563,0.050932508,0.07282458,0.09823724,0.08102703,0.08555342,0.05677374,0.10793664,0.09438008,0.08822407,0.08015636,0.11726925,0.087564506,0.073027946,0.07178837,0.07707693,0.10659661,0.05689323,0.15381761,0.097769804,0.122885324,0.09869225,0.104836605,0.107828714,0.08876122,0.09152699,0.13945414,0.098081544,0.06824735,0.05858734,0.07200886,0.07523347,0.077097766,0.06959462,0.13111559,0.06816318,0.05136261,0.062280193,0.105963044,0.06863266,0.07693572,0.085457794,0.08496399,0.06978964,0.06762912,0.04775657,0.072789855,0.086372815,0.13829507,0.09586377,0.11775895,0.12326035,0.07722955,0.093410626,0.031483654
parc+_5,24,4.676999666666670,2.4126518,3.0626523,1.4146414,2.1764913,3.133243,1.076847,2.064374,2.6495285,1.3900911,1.423037,2.597908,1.5390495,3.0343351,3.4873989,2.0951774,2.3560128,0.6682515,2.901686,1.2056106,2.6578176,2.399447,1.7847089,1.1222801,0.95460093,1.3549721,2.875127,3.5276482,1.8387867,2.1662617,1.3390279,1.1506091,1.3708909,1.8109697,2.4388237,3.6434927,2.8142023,0.82266366,2.2142527,2.7638774,1.1544429,1.0243783,4.375478,1.6852343,2.5142603,1.9667617,2.8866804,0.68607515,1.5002134,2.3825603,1.7878599,1.9653078,0.87532055,2.7829063,2.3418713,2.1112514,1.7350233,3.0812426,2.073869,1.5044982,1.447706,1.669218,2.635304,0.88176304,3.7020311,2.4082325,3.0734098,2.449725,2.5704107,2.7644556,2.1632986,2.1679482,3.363681,2.411316,1.2866719,0.9509844,1.427403,1.5629908,1.6160378,1.3367531,3.20134,1.30027,0.71303385,1.0675801,2.5860698,1.3186873,1.6446635,1.9937538,1.9518613,1.3588239,1.2804494,0.5806061,1.4568466,2.0428874,3.5688915,2.306475,3.0711963,3.3378718,1.6479026,2.2775114,0.20808326
parc+_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc+_6,3,0.134274,0.04473172,0.04885092,0.044521417,0.046330757,0.039534174,0.051658705,0.040411793,0.04364622,0.042561907,0.045862336,0.051202394,0.047821153,0.045229707,0.04720065,0.051675487,0.04020246,0.049624518,0.04169506,0.04251335,0.048658174,0.04442448,0.047173563,0.041746967,0.051666643,0.04549469,0.05148973,0.03565954,0.053880036,0.044092644,0.038603902,0.052105196,0.040002037,0.04244117,0.046848744,0.040545437,0.047074955,0.04064837,0.04442681,0.04825578,0.045537878,0.044931963,0.035780523,0.042793285,0.04603649,0.043454602,0.041145183,0.04182668,0.04411132,0.04661279,0.044989537,0.04418737,0.043184064,0.042853884,0.045663796,0.04756607,0.04495286,0.04628091,0.042006772,0.050985705,0.04558193,0.04620666,0.042014908,0.04416321,0.0447043,0.040748563,0.044348907,0.037715204,0.04195073,0.050207023,0.044268146,0.043498036,0.044730842,0.04348427,0.04263178,0.044129167,0.042165693,0.03860023,0.04439402,0.0467988,0.047973845,0.041633856,0.04464303,0.039711162,0.05264141,0.044166822,0.04247473,0.044166736,0.036770396,0.04470993,0.044044197,0.04225014,0.04392511,0.040225904,0.047865555,0.045624997,0.039791323,0.04099303,0.045205113,0.043136038,0.048083123
parc+_6,6,0.6815060000000000,0.19533592,0.2308705,0.19304264,0.20892778,0.15327662,0.25772,0.16019285,0.18625095,0.17700563,0.20484956,0.25398675,0.22150472,0.19930525,0.21630536,0.25775793,0.15831293,0.2389768,0.17020708,0.17669536,0.2294848,0.19209856,0.21698159,0.1702311,0.2576424,0.20110428,0.2557499,0.12547438,0.27922636,0.18930775,0.14645226,0.26043183,0.15700151,0.17567486,0.21339539,0.16113764,0.21533792,0.1623993,0.19272971,0.22649117,0.20149578,0.19673274,0.12608725,0.17906547,0.2061345,0.18427019,0.16587709,0.17136903,0.190053,0.21133287,0.19709988,0.19077417,0.18206348,0.17920153,0.203205,0.21950242,0.19712308,0.20764938,0.17261647,0.2517422,0.20194425,0.20789729,0.17238937,0.1903197,0.19483796,0.1626748,0.19184016,0.1401846,0.1723499,0.24372688,0.19151212,0.18494138,0.19516672,0.1846034,0.17753375,0.18995114,0.17384465,0.14652334,0.1925755,0.2132826,0.22325616,0.16972834,0.1942449,0.15462403,0.2655345,0.19016403,0.17655143,0.19098634,0.13299653,0.19517232,0.18921028,0.17461741,0.18832062,0.15882134,0.22188386,0.20203426,0.15535215,0.1650219,0.1992698,0.1825113,0.22451045
parc+_6,9,2.110955333333330,0.7731711,0.9465881,0.7524498,0.84154665,0.5530937,1.0991799,0.5905903,0.7260539,0.67246145,0.8200146,1.0919392,0.8964357,0.7892776,0.8752313,1.0971128,0.577154,1.0082333,0.6402975,0.67218494,0.9459418,0.7454246,0.89570785,0.63439536,1.0958058,0.7904006,1.0816488,0.42190453,1.2092521,0.7308897,0.5216134,1.0831009,0.57397157,0.6601353,0.8634538,0.5938814,0.8728856,0.6074029,0.75894433,0.9426401,0.7927157,0.7752808,0.4219409,0.6859707,0.8228226,0.70922506,0.6186885,0.6480758,0.7446257,0.8529699,0.77510756,0.7498301,0.6981008,0.6809214,0.8127044,0.8909769,0.7810298,0.8201164,0.65140504,1.0764011,0.79653203,0.8370284,0.64571726,0.74319834,0.7659909,0.6010009,0.7504155,0.4945401,0.652875,1.0202792,0.75459456,0.7178629,0.7694155,0.71235377,0.67454755,0.739866,0.65687436,0.5233676,0.7602465,0.8689128,0.9126518,0.63807255,0.7616298,0.55980796,1.108044,0.73921543,0.6741747,0.75757915,0.4543339,0.772722,0.7354264,0.6623323,0.73260474,0.58461654,0.8981856,0.79223603,0.5651554,0.6196516,0.7920627,0.7145993,0.9243645
parc+_6,24,4.845048666666670,4.8107004,4.4463415,4.368601,4.7093344,4.333837,4.798134,4.731162,4.7969556,4.3608804,4.6742325,5.175099,4.286099,4.617297,4.489551,4.7979565,4.2878914,5.0848207,4.4414544,4.413366,4.5419655,4.2450347,5.1956797,4.1068864,4.7497725,4.15277,4.5648713,4.6645193,4.6873884,4.23256,4.561857,4.134803,4.5074196,4.103793,4.5364738,4.4266605,4.6489663,5.090237,4.697132,5.0386853,4.1342587,4.580134,4.202389,4.5870976,4.5343833,4.4148536,4.5830984,4.676632,4.7768264,4.618365,4.5054307,4.8781533,4.3208227,4.271571,4.784345,4.43901,4.824892,4.1114264,4.4932494,5.144268,4.397337,4.7186255,4.2701144,4.65941,4.570096,4.4309115,4.567958,4.9319577,4.58173,4.625931,4.7836895,4.711095,4.586497,4.459265,4.327406,4.5586734,4.368824,4.708171,4.8098016,4.844193,4.595386,4.5851097,4.5073977,4.305679,4.129275,4.417669,4.5985584,5.2393475,4.19472,4.879726,4.4366894,4.492363,4.5621176,4.701478,4.331478,4.197014,4.4374423,5.0082507,4.689737,5.394171,4.842924
