Treatments,Time,parc-_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
parc-_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc-_4,3,0.01,0.010966023,0.012540867,0.012171779,0.010672054,0.011193314,0.012311038,0.012883336,0.01035762,0.01159424,0.011186576,0.012192435,0.010673769,0.010989184,0.011626016,0.011878166,0.010653989,0.010960543,0.012430069,0.011751215,0.012198968,0.010053977,0.012386011,0.011256787,0.010850479,0.011553638,0.010821923,0.011872822,0.012553082,0.010759775,0.013585824,0.011001838,0.012321009,0.012400273,0.012014086,0.010046106,0.0111022955,0.01083389,0.011978817,0.011188232,0.012387305,0.0108717745,0.012719032,0.011065432,0.011704764,0.010821392,0.010595516,0.011194652,0.01052107,0.010678571,0.0113024,0.0101216305,0.012931869,0.012021557,0.010490659,0.010197481,0.011436313,0.010717269,0.011731189,0.01140974,0.012549409,0.011899793,0.012643516,0.011769041,0.011574803,0.012908923,0.012693469,0.012299508,0.0106682,0.011129332,0.011389674,0.012250256,0.011807551,0.010482476,0.011060449,0.011717364,0.01122848,0.009988178,0.010256574,0.010260762,0.010642151,0.010462652,0.011139409,0.010217854,0.009958002,0.012153975,0.012947287,0.011542636,0.010947084,0.011353225,0.01087473,0.011687972,0.011000145,0.013426186,0.012759553,0.011871121,0.010259139,0.012099332,0.0100940345,0.012076762,0.009860784
parc-_4,6,0.01,0.012021396,0.015709486,0.014802094,0.011386869,0.012523731,0.015141576,0.016576614,0.01072684,0.013434665,0.012508445,0.014852689,0.011390557,0.012071735,0.013508041,0.014098291,0.0113483025,0.012009668,0.015434617,0.013799792,0.014867893,0.010108093,0.015325335,0.01266541,0.01177023,0.01334098,0.011707997,0.014085986,0.01573976,0.011574442,0.018426683,0.012099832,0.015165845,0.015360206,0.014421773,0.01009232,0.012321276,0.011734128,0.014337185,0.012512596,0.015329449,0.011816198,0.01615708,0.012239993,0.013691372,0.011707125,0.011224449,0.01252683,0.011067423,0.011400627,0.012768243,0.0102443565,0.016700571,0.014440316,0.011003578,0.010398193,0.013072305,0.011483443,0.013753234,0.013011132,0.015732074,0.0141497,0.015968025,0.013842369,0.0133897895,0.016643025,0.016093561,0.015112923,0.011378703,0.012381519,0.012966364,0.014992709,0.0139326565,0.010986558,0.012228946,0.013721008,0.012602435,0.009976412,0.010518933,0.010527608,0.011323099,0.010945117,0.012403973,0.010439783,0.009916306,0.014758976,0.016740182,0.013315198,0.011980031,0.012883108,0.011822475,0.013652031,0.012095857,0.017996619,0.01626057,0.014082225,0.010524197,0.014626445,0.010188672,0.014572072,0.009723899
parc-_4,9,0.01,0.013173616,0.019650975,0.017981553,0.012146825,0.014005674,0.018601082,0.021293553,0.011107933,0.015556615,0.013979689,0.018074438,0.012152789,0.013255638,0.015683481,0.01671828,0.012085114,0.013154802,0.019140922,0.016192757,0.018100714,0.010162338,0.018937977,0.014242608,0.012764362,0.015394682,0.012662657,0.016697166,0.01970703,0.012447487,0.024936441,0.013302323,0.018645162,0.019001665,0.017294725,0.010138638,0.013668183,0.012705453,0.017142804,0.013987439,0.018947447,0.012838728,0.020492012,0.013533885,0.016003208,0.012661792,0.011888451,0.014011075,0.011640097,0.012168599,0.014416347,0.010368204,0.021530032,0.017329307,0.011539594,0.010602155,0.014933703,0.012301524,0.016111752,0.014828109,0.01969593,0.016809832,0.02013853,0.016269062,0.015479026,0.021422723,0.020374376,0.018547643,0.01213386,0.013768821,0.014753475,0.018328061,0.01642758,0.011513051,0.013515535,0.016055496,0.014137677,0.009964675,0.010787161,0.010800592,0.012044857,0.011448106,0.01380634,0.010665838,0.009874898,0.017903423,0.02160608,0.015349329,0.013105872,0.014610839,0.012848663,0.015934201,0.013295382,0.02407027,0.020689946,0.01669099,0.010795247,0.017662624,0.0102839265,0.017564578,0.009589301
parc-_4,24,0.01,0.02068113,0.058079403,0.046385948,0.01671357,0.024277553,0.050584417,0.0712401,0.013201896,0.031924583,0.024147548,0.047053125,0.016736578,0.02100561,0.032591887,0.038424935,0.01648698,0.020614577,0.054392334,0.035412103,0.047158215,0.010435501,0.05288393,0.025342358,0.019049078,0.031068355,0.018634243,0.038328372,0.058468606,0.017822787,0.10567911,0.021212699,0.05086738,0.053296953,0.04192887,0.010371639,0.022773512,0.018810747,0.04096133,0.024206018,0.053061374,0.01933463,0.06453083,0.022202665,0.034359816,0.018643163,0.015794592,0.024307732,0.014935707,0.016788239,0.02617051,0.011004255,0.07312276,0.042207096,0.0145955905,0.011671482,0.028717812,0.017283041,0.034978528,0.028152626,0.05858614,0.038985148,0.0619783,0.035908144,0.031514645,0.07245863,0.06376604,0.05016724,0.016667938,0.023229584,0.027836205,0.048682943,0.036805693,0.014510727,0.022121714,0.034669142,0.02488357,0.009906719,0.012219446,0.012261397,0.01634087,0.014295788,0.023399323,0.011859526,0.009672105,0.04587288,0.07375667,0.030800264,0.020404646,0.0271038,0.019367695,0.033964217,0.0211728,0.09655906,0.066230476,0.03831349,0.0122437775,0.044252887,0.010769215,0.0436222,0.008948981
parc-_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc-_5,3,0.11042599999999998,0.012422439,0.012664634,0.013787896,0.015850628,0.012164376,0.014444216,0.017188968,0.013608013,0.01297628,0.013625952,0.014058964,0.014018496,0.0138762435,0.01336905,0.013195461,0.014154159,0.013483396,0.013058602,0.0141780125,0.013190445,0.013425027,0.0132068535,0.013247727,0.013633635,0.012193593,0.015148607,0.015709218,0.014587925,0.013955188,0.014367173,0.013134243,0.012819731,0.014946586,0.014137419,0.014661909,0.014198929,0.014691989,0.0134586785,0.012131608,0.016822837,0.012373665,0.013732177,0.012597838,0.015275527,0.014023382,0.013894344,0.014549468,0.014013009,0.014350474,0.012052063,0.014534637,0.0145294545,0.012077524,0.016820014,0.012526894,0.013552918,0.014497054,0.013592646,0.01251771,0.013586722,0.013312121,0.013216683,0.015575946,0.013654288,0.013434429,0.012685378,0.014607211,0.012403796,0.011531559,0.013284203,0.014097395,0.015019977,0.011306329,0.015781777,0.013630562,0.014683046,0.014661554,0.013520094,0.01378317,0.0145043265,0.013379994,0.013890927,0.013792272,0.013016802,0.015247862,0.013032925,0.016291725,0.013072767,0.011849308,0.012727879,0.012833251,0.013310348,0.013926734,0.015369783,0.013005345,0.012625103,0.014069714,0.013029515,0.015665796,0.0121495
parc-_5,6,0.5317403333333334,0.015415015,0.016018782,0.01897142,0.025029061,0.014782852,0.020810986,0.029395144,0.018482765,0.016814336,0.018531213,0.019723492,0.019608505,0.019213362,0.017841758,0.01738412,0.01999138,0.018149348,0.017026644,0.020054257,0.017369965,0.01799355,0.017413089,0.017520702,0.018553136,0.014853605,0.022875989,0.024583815,0.021227255,0.01943254,0.020591268,0.017224027,0.016414195,0.022272505,0.01993785,0.021438448,0.020117272,0.021528553,0.01808067,0.014704053,0.028167462,0.015294627,0.018822063,0.01585263,0.023258854,0.019623294,0.019263549,0.021113161,0.019591613,0.02054159,0.014512038,0.02106915,0.021054424,0.0145723205,0.028154407,0.015674451,0.018334048,0.020959258,0.018441636,0.015652422,0.01842463,0.017692087,0.017441442,0.02417111,0.018609464,0.018017715,0.01607237,0.02128189,0.015368834,0.013289018,0.017617915,0.019827088,0.022490604,0.012776319,0.024817405,0.018543076,0.021502052,0.021441206,0.018246775,0.018961828,0.02098446,0.0178715,0.019254941,0.018984571,0.01692005,0.023176,0.0169597,0.026435284,0.017063644,0.014030679,0.016180616,0.016446508,0.017687874,0.019355804,0.023549566,0.016888862,0.015919687,0.019751389,0.016950749,0.024454445,0.014747147
parc-_5,9,0.6700586666666667,0.019103006,0.020228768,0.026030496,0.03929004,0.017943904,0.029876702,0.049839985,0.025040017,0.021747641,0.025137492,0.0275889,0.027344083,0.026524518,0.023755599,0.022854516,0.028152086,0.024374783,0.022156598,0.028272655,0.022824459,0.024064202,0.022909122,0.023120856,0.025184758,0.018072166,0.034384042,0.038246382,0.030776849,0.026979093,0.029410113,0.022541724,0.020983452,0.03304194,0.02802257,0.031223616,0.028415997,0.03142608,0.02423128,0.017802257,0.046798375,0.01888067,0.025733214,0.019920226,0.035243202,0.027377874,0.026628468,0.030522883,0.027304742,0.029298892,0.017455123,0.030424915,0.03039389,0.017561756,0.04675315,0.019585114,0.024740241,0.030184431,0.024957998,0.01954593,0.024921164,0.023462249,0.02297076,0.037297364,0.02529961,0.024110135,0.020332634,0.030891398,0.019017395,0.015302891,0.023314847,0.027794803,0.033524375,0.0144285625,0.038810596,0.025160056,0.03136732,0.031240331,0.024567401,0.026019413,0.030250348,0.023816226,0.026612902,0.026060361,0.021954175,0.03505925,0.022026047,0.042619556,0.022228932,0.016599802,0.02053908,0.02104015,0.02345503,0.02682584,0.035913292,0.021890257,0.020043092,0.027641391,0.02200844,0.037965294,0.017879922
parc-_5,24,0.7843703333333334,0.054023992,0.06232865,0.115921326,0.29299217,0.04600138,0.16083038,0.46558887,0.105757125,0.07486354,0.10671947,0.13407443,0.13056228,0.12105147,0.092879936,0.08457299,0.14110419,0.09951154,0.07826969,0.14106059,0.08410672,0.09649588,0.0848917,0.086867124,0.10750963,0.046836868,0.22051044,0.274399,0.17328377,0.12639764,0.1552322,0.08176895,0.0686934,0.20127475,0.13736543,0.17762871,0.14420903,0.18140818,0.09749866,0.045126308,0.41484433,0.0524404,0.11355716,0.060197487,0.23305716,0.13132085,0.12227183,0.16878772,0.1295952,0.15306783,0.042861227,0.16704914,0.16671935,0.043449163,0.41052565,0.05756015,0.10268425,0.16331613,0.10500937,0.05738213,0.10437667,0.090361916,0.08596942,0.26008412,0.10879333,0.09673714,0.06332366,0.17428064,0.053398695,0.03051203,0.08889153,0.13519466,0.20799568,0.026184332,0.28817335,0.10680271,0.18043777,0.17952035,0.10118878,0.11674687,0.16588123,0.09360825,0.12235177,0.11656998,0.07682421,0.23082891,0.07707003,0.34965327,0.07894451,0.03777663,0.065070614,0.068811536,0.090394996,0.12530145,0.24565442,0.075990476,0.06094824,0.13397959,0.07689453,0.27370185,0.04561639
