Treatments,Time,parc-_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
parc-_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc-_5,3,0.11042600000000000,0.069023386,0.051836364,0.072256446,0.07727645,0.05792839,0.030759003,0.030621951,0.04652593,0.028180102,0.050996266,0.06165373,0.06839585,0.047735732,0.060661748,0.0692276,0.045823794,0.085866,0.07107945,0.044904426,0.05754608,0.02456054,0.04952147,0.06878239,0.04227475,0.050614443,0.043333735,0.03687595,0.04011568,0.07822818,0.06600542,0.053179704,0.0674584,0.042898145,0.071616456,0.062930614,0.053767897,0.026258629,0.05192096,0.042911027,0.05350159,0.06870882,0.07510041,0.08167607,0.032020263,0.048438836,0.028970836,0.013997655,0.074800625,0.05441706,0.048819657,0.04952356,0.04643453,0.03835347,0.04986314,0.039658375,0.050236873,0.046107728,0.048575208,0.05165523,0.03596518,0.03406582,0.033038445,0.05597035,0.07697401,0.04168407,0.057106156,0.081026584,0.039176643,0.029274095,0.07287594,0.037447613,0.049387105,0.063962676,0.05002447,0.044479854,0.06512158,0.05951493,0.07422047,0.034736447,0.050570678,0.04919487,0.040938515,0.04685256,0.045584098,0.041068517,0.025421387,0.058184214,0.064353205,0.03340966,0.01876607,0.061909538,0.042250294,0.057006143,0.062235486,0.057388317,0.06570976,0.027327685,0.042295165,0.060842477,0.023951635
parc-_5,6,0.5317403333333330,0.4121168,0.25039688,0.4564077,0.50046104,0.30634826,0.09274299,0.09184447,0.20222671,0.078052014,0.24063328,0.33512732,0.39690444,0.21138357,0.33298296,0.40886775,0.19871743,0.6063338,0.4260247,0.19079985,0.29931563,0.059637595,0.22878888,0.39959726,0.16976845,0.23074262,0.17820871,0.13141824,0.15402964,0.5178444,0.37306517,0.2613432,0.39698824,0.17476687,0.44484168,0.35101244,0.2663467,0.06806147,0.25291073,0.17437294,0.26586363,0.40522406,0.46470177,0.5437946,0.09986547,0.22206017,0.08216807,0.019568445,0.45219806,0.26735246,0.22073363,0.23137547,0.20324709,0.14146312,0.23254748,0.1509666,0.2348981,0.1992879,0.22327918,0.24687348,0.124528594,0.112074025,0.10671038,0.2847365,0.5092559,0.16613516,0.29864097,0.5115351,0.14782815,0.083336055,0.46079442,0.13591227,0.22642495,0.36255664,0.23355523,0.18710482,0.3712265,0.32281458,0.47116676,0.11681962,0.24105567,0.22569908,0.15955514,0.20609264,0.19546899,0.16177969,0.063629985,0.30240762,0.347784,0.10828866,0.035024405,0.33651266,0.17151617,0.29684934,0.3478644,0.30373406,0.38301107,0.07378937,0.17094095,0.32939947,0.056744307
parc-_5,9,0.6700586666666670,1.3829818,0.9156304,1.6277037,1.6114329,1.1180731,0.26412395,0.25969815,0.6871849,0.20651492,0.84509516,1.1215624,1.2463228,0.7136738,1.212287,1.3142297,0.7017701,1.9360452,1.3390524,0.66265386,1.0469475,0.14096929,0.8114541,1.2410188,0.56963426,0.7312863,0.6080301,0.41911146,0.5092773,1.7267807,1.1828167,0.94165045,1.351766,0.5931019,1.5363753,1.2120215,0.9563259,0.17076209,0.9517175,0.58519036,0.9817662,1.3215415,1.4042382,1.6560725,0.288456,0.82058513,0.22013128,0.027307868,1.2935288,0.89803475,0.75291365,0.8588368,0.7140346,0.45818853,0.83775645,0.4998695,0.83469224,0.68118995,0.8262632,0.87531227,0.3826874,0.33207196,0.32168788,0.99909,1.7725629,0.5651794,1.0925312,1.3829675,0.49075282,0.22027884,1.6068343,0.44439566,0.7861367,1.2628859,0.8357624,0.6434575,1.2544403,1.192914,1.5830438,0.35549775,0.9060019,0.7957067,0.5256582,0.71767193,0.6716023,0.55048674,0.15343519,1.0216137,1.0261798,0.3204843,0.0647151,1.1139011,0.602141,1.075278,1.2515227,1.147119,1.3628414,0.19308478,0.58743745,1.129315,0.13109271
parc-_5,24,0.7843703333333330,2.305314,2.5480218,2.7813182,2.4096918,2.495328,2.294775,2.1612985,1.9763082,1.9504024,2.1796951,2.032615,1.956025,1.9351314,2.550279,2.0902183,2.3702412,2.722129,2.0480862,2.2814326,2.1795661,1.7407105,2.2776334,1.9168072,2.0838246,1.542579,2.1756263,2.2546158,2.16466,2.6233513,1.927076,2.3684547,2.314423,2.187299,2.5578556,2.2494597,2.361579,1.9869285,2.8397815,2.0281937,2.5798082,2.1324236,2.029194,2.3067515,1.924168,2.7789137,1.7571393,0.136038,1.7961451,1.9136328,1.9636045,2.7914052,2.2710464,2.1299798,2.4358263,2.2956355,2.2930932,2.0230658,2.7607465,2.2734444,1.8184514,1.7788157,2.4027183,2.216715,2.8253682,2.3042877,2.5098298,1.801511,2.346603,1.3705606,2.643853,2.5575712,2.100258,2.319214,2.3158476,2.2130816,2.2161326,2.645202,2.4970207,2.0142498,2.8368733,2.2682848,2.0171285,2.1661613,2.1519375,2.4413304,1.5110942,1.9984797,1.5834903,1.8636575,0.76880974,1.9940284,2.7095435,2.4834974,2.497055,2.806602,2.543334,2.4905813,2.3863864,2.1465669,1.6255227
parc-_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc-_6,3,0.20613600000000000,0.052421268,0.05279602,0.059685692,0.08680154,0.05172821,0.07818003,0.08377089,0.09690182,0.0710346,0.07344755,0.08379861,0.07316145,0.046247985,0.050258074,0.07499451,0.06747046,0.077240765,0.06943995,0.100341536,0.064627975,0.083173715,0.08313503,0.061915595,0.06712026,0.05218227,0.07817473,0.095990896,0.050035555,0.061249103,0.08035558,0.09590356,0.08504084,0.056780428,0.09110624,0.08712019,0.05689288,0.08545625,0.06423312,0.07433407,0.071906805,0.058797814,0.079211324,0.102135934,0.08281743,0.043176647,0.0747801,0.050054997,0.06433732,0.049502645,0.072354965,0.056158464,0.07146212,0.052020937,0.052935038,0.0778507,0.050788984,0.05541307,0.09118848,0.05604095,0.0838911,0.08142262,0.052518833,0.07352202,0.057599597,0.09335656,0.057747036,0.060955726,0.077069916,0.07033328,0.091924466,0.07095468,0.052062694,0.070080854,0.08018165,0.08048391,0.04798859,0.1129158,0.06251466,0.08667773,0.06556689,0.107161075,0.079817325,0.053977113,0.075032085,0.06300662,0.082880825,0.049159773,0.03735746,0.050069682,0.07252895,0.045701258,0.06877339,0.088092,0.09547008,0.07498459,0.074632354,0.06806332,0.06235473,0.062510744,0.064843886
parc-_6,6,1.0005923333333300,0.25152114,0.25587672,0.3175298,0.6063405,0.24474731,0.49815992,0.5803121,0.682779,0.43774006,0.4578069,0.5620865,0.45440078,0.20163351,0.23523095,0.47671956,0.39992183,0.49820185,0.41459048,0.723294,0.36630318,0.55836636,0.5593818,0.33397225,0.3891297,0.25371143,0.5012582,0.6928972,0.23114327,0.33253944,0.53832304,0.6956259,0.5848937,0.29238403,0.63433856,0.6017225,0.29553527,0.5786493,0.3644208,0.46956858,0.44309512,0.31100652,0.5166766,0.7614689,0.5518137,0.17669252,0.46962562,0.23236956,0.36435732,0.22833817,0.44117728,0.28615502,0.43256328,0.24837539,0.25783557,0.49731016,0.2389091,0.28076595,0.64106786,0.28308615,0.5594133,0.53378624,0.25584522,0.44873565,0.29899186,0.65016276,0.30166307,0.32958865,0.48339945,0.4229121,0.6376296,0.43235236,0.25051212,0.42206794,0.53686,0.52894324,0.21411964,0.8826488,0.34591237,0.57805413,0.37769422,0.8041133,0.5161694,0.26528502,0.4682095,0.3495675,0.54097044,0.2256049,0.13418283,0.23381275,0.44166204,0.19635093,0.4076333,0.60146195,0.6852677,0.46326372,0.458298,0.40015197,0.34304127,0.34323734,0.3669431
parc-_6,9,1.6672236666666700,0.8647583,0.8939445,1.0829417,1.8347765,0.83205044,1.4891231,1.8676053,1.7011367,1.5073197,1.4947466,1.6530257,1.4817709,0.7064354,0.8386195,1.5662297,1.3983699,1.5891608,1.3695959,1.7850554,1.241702,1.6707306,1.6898576,1.0782777,1.2810587,0.9319681,1.5245062,1.847875,0.7940333,1.1301922,1.7407079,1.8746898,1.7792203,1.0276577,1.721756,1.752247,1.0671338,1.668189,1.2589432,1.5463786,1.4738387,1.086123,1.6008497,1.9426087,1.6356322,0.5984053,1.4981523,0.81182814,1.2464199,0.8060829,1.3982896,1.0000056,1.3845426,0.85882944,0.91112363,1.5111521,0.84050375,1.0003791,1.7759547,0.9647577,1.6164056,1.573098,0.9269393,1.3726943,1.0380887,1.6864865,1.060507,1.120828,1.4316683,1.3817749,1.6885191,1.4408616,0.88869464,1.3985662,1.7410138,1.6120908,0.7319703,2.1056373,1.1868203,1.5612817,1.297059,1.9229183,1.5339744,0.91392636,1.4565089,1.1833931,1.5182437,0.7982476,0.4243699,0.8350715,1.3879328,0.6739841,1.3479221,1.6618711,1.8204116,1.4000041,1.3759067,1.3285779,1.159593,1.1440856,1.2251453
parc-_6,24,1.9134936666666700,2.017143,2.129454,2.1089277,2.5074697,1.9710224,2.1004786,2.700942,2.0497437,2.530626,2.3383384,2.2571082,2.3164833,2.2709603,2.3764305,2.4231267,2.5223567,2.3806224,2.248514,2.142028,2.2447896,2.2966697,2.3604503,1.8835922,2.1580021,2.5977516,2.1740618,2.2984047,2.0362942,2.1210396,2.5748186,2.331001,2.4639301,2.2481108,2.189047,2.3345783,2.4559267,2.2187185,2.2981288,2.3921244,2.3578887,2.243488,2.313602,2.3302677,2.2481208,2.1887057,2.2714455,2.130103,2.2696526,2.263227,2.1447525,2.1954803,2.1671512,2.0992026,2.2409,2.156901,2.2679791,2.3110545,2.278678,2.0430565,2.1817904,2.1655993,2.4131706,2.0359058,2.23117,2.0839596,2.204168,2.146221,2.0309165,2.2283773,2.1205726,2.3683937,2.215008,2.2824194,2.571723,2.284954,2.0130093,2.4448597,2.263257,2.0000904,2.314093,2.240494,2.1446028,2.0732193,2.1839876,2.1889277,2.0176904,2.3182416,1.9831787,2.3094633,2.1288784,2.0854015,2.2074792,2.138719,2.2545726,2.032288,1.9872832,2.2466624,2.118485,2.039746,2.156093
