Treatments,Time,wt_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
wt_4,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_4,3,0.01,0.027876172,0.03592041,0.055776805,0.043669894,0.031791788,0.04145594,0.032645468,0.033689898,0.03902968,0.03417256,0.03349447,0.054112084,0.024981255,0.033887025,0.051174045,0.04020211,0.037901923,0.03103263,0.0261187,0.035976548,0.031137928,0.058399383,0.03061962,0.028365383,0.033808757,0.034200933,0.056085873,0.035870414,0.03403469,0.02876054,0.04167473,0.02746736,0.029720562,0.0321837,0.03420583,0.03943734,0.024516994,0.030877257,0.04461927,0.042006347,0.03421499,0.024101688,0.026049836,0.03840018,0.024448577,0.03395901,0.023499684,0.025415523,0.030549485,0.026849754,0.01882658,0.053445566,0.033660416,0.03336143,0.04887682,0.0224869,0.030889839,0.028774038,0.038528144,0.02602324,0.04888876,0.0643472,0.027687978,0.06921908,0.031723496,0.026450649,0.041918136,0.019721255,0.044565115,0.053765405,0.035769437,0.04301013,0.01824845,0.029837154,0.023536736,0.026269723,0.04808609,0.03377139,0.043491624,0.06153713,0.029917657,0.02970192,0.035513025,0.059033234,0.041322786,0.0371183,0.036266074,0.037179884,0.019984694,0.020423878,0.039386056,0.018540336,0.044434637,0.03238102,0.028262569,0.036813173,0.03843267,0.02742884,0.03073276,0.037158106
wt_4,6,0.01,0.077025816,0.1266164,0.29445836,0.18507907,0.09965146,0.16717103,0.10504948,0.11182394,0.14882755,0.11507495,0.110666364,0.27661425,0.062011205,0.11300781,0.24938568,0.1576189,0.14039668,0.09512648,0.067707986,0.12702356,0.09579576,0.31885743,0.09273635,0.07967746,0.112481885,0.115030825,0.298271,0.12622543,0.11391282,0.08186523,0.1690212,0.07477501,0.08740591,0.10214873,0.115212575,0.15196082,0.059743945,0.09421195,0.19249381,0.17169161,0.11523374,0.057802387,0.067348465,0.14392903,0.059391607,0.11354176,0.05493121,0.06413749,0.09228314,0.07151697,0.03537259,0.27097413,0.11135842,0.10973737,0.22879605,0.050354518,0.0942144,0.08196391,0.14517587,0.06721716,0.22974865,0.3815161,0.07601272,0.4364792,0.09936533,0.069413625,0.17084903,0.038792256,0.19190346,0.27403197,0.12553938,0.17933798,0.033232313,0.08805675,0.055099823,0.06849419,0.2215394,0.112288125,0.18340065,0.35098302,0.088554114,0.08727857,0.123996966,0.3273495,0.16621523,0.13493717,0.12917489,0.13567995,0.039838392,0.04158578,0.15177372,0.034309033,0.19090237,0.103372626,0.07910357,0.13294041,0.14428262,0.07459023,0.09338411,0.13538226
wt_4,9,0.01,0.2078167,0.41891986,1.2154267,0.6979063,0.29926226,0.6078451,0.32326692,0.3539214,0.5220865,0.36949283,0.3500483,1.1055487,0.15155907,0.35801405,0.9883566,0.5636993,0.48005494,0.28113672,0.17219497,0.42103508,0.28429994,1.2894232,0.2719562,0.21789412,0.3555107,0.36659065,1.246877,0.4165542,0.36132506,0.22642528,0.6187942,0.19877683,0.24941202,0.31068283,0.36914805,0.5383113,0.14347573,0.27749357,0.7275078,0.6325827,0.36878064,0.13700981,0.17081268,0.49541825,0.14208332,0.36111552,0.12683973,0.15902607,0.26970428,0.18655515,0.06621054,1.0928599,0.34875667,0.34513682,0.8957801,0.11171476,0.27677155,0.22702436,0.50545806,0.17036237,0.9148071,1.5507691,0.20395823,1.7733846,0.29944408,0.17849493,0.62631273,0.07592038,0.72245795,1.1068574,0.41351628,0.6640317,0.060295254,0.251834,0.12739211,0.17519155,0.857118,0.35521957,0.68622273,1.418951,0.25415194,0.24870938,0.40909123,1.3627868,0.604471,0.45659593,0.43277588,0.46405885,0.079020664,0.08415141,0.5402062,0.06326698,0.7188634,0.3158589,0.21558821,0.44939917,0.4986265,0.19825016,0.27439556,0.4607825
wt_4,24,0.01,3.3036652,3.496197,3.715472,3.7290761,3.243579,3.5248091,3.4569328,3.6736794,3.5671792,3.8833473,3.9294717,3.331751,2.8848844,3.475847,3.3920877,3.5846562,3.3393881,3.4515939,2.9961226,3.5278368,3.5543492,3.3749642,3.6992571,3.1954317,3.444173,3.4235454,3.89708,3.4271088,3.3710916,3.1738153,3.6377375,3.0999467,3.4825048,3.4253395,3.7078307,3.6772456,2.7591662,3.501607,3.5011,3.6905384,3.6288984,2.9942205,2.9512377,3.2789764,2.6165886,3.6015646,2.5314004,2.821916,3.5748427,3.1504817,1.1380076,3.4950674,3.159046,3.7567668,3.4312084,2.3967416,3.2962518,3.2572978,3.6026523,2.9702044,3.7572424,3.4725895,3.3310714,3.598913,3.5721476,3.0119526,3.576094,1.4282714,3.4245665,3.4983914,3.4333365,3.4597464,0.91281873,3.4015172,2.5207155,3.0682907,3.323625,3.5385103,3.577614,3.3751101,3.5054817,3.4137435,3.7625935,3.7316868,3.5863967,3.472953,3.7605443,3.8943975,1.5714977,1.6572055,3.8945372,1.0392064,3.463194,3.41388,3.1659548,3.6757686,3.3935008,3.1919966,3.6113954,3.6862438
wt_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_5,3,0.10899504333333333,0.016186679,0.01720834,0.018309766,0.019006088,0.0192013,0.01604868,0.018694084,0.012495759,0.016719846,0.017159272,0.014158086,0.02135506,0.017401915,0.01761996,0.016734907,0.017566912,0.015882755,0.012896273,0.014990327,0.01564153,0.015355523,0.01745467,0.019306084,0.015533968,0.016063683,0.018005896,0.019166822,0.01711833,0.018915243,0.016131245,0.020117342,0.016867861,0.0181839,0.016123498,0.014865551,0.024329796,0.018786162,0.015399752,0.019905629,0.014484547,0.019551551,0.01574685,0.01577312,0.015200859,0.020932395,0.0184403,0.014091629,0.017607065,0.019344756,0.014252209,0.014723365,0.018191982,0.014302756,0.014558702,0.014386378,0.017040847,0.019177208,0.018534705,0.01592789,0.014290315,0.015680013,0.018411601,0.016572766,0.015649859,0.013059112,0.01537903,0.018015109,0.020783624,0.016531488,0.018940032,0.0172058,0.020335108,0.016546113,0.021246789,0.017994255,0.015206068,0.014927226,0.022882216,0.015268027,0.01432256,0.015765715,0.018685756,0.01668677,0.014726221,0.017422363,0.014243644,0.017969152,0.019888144,0.02406736,0.016939849,0.017608995,0.017579842,0.015568965,0.013229543,0.019988067,0.019406563,0.017775428,0.014653774,0.019706871,0.017039703
wt_5,6,0.6066233333333334,0.026176298,0.029572282,0.033467457,0.036055677,0.036795035,0.025733195,0.034885548,0.015612139,0.027925665,0.029406006,0.020036876,0.045460355,0.030244919,0.03100182,0.027975772,0.030817226,0.025204964,0.01662823,0.022457134,0.024446553,0.023561522,0.03042663,0.037192143,0.024112225,0.02577906,0.03236935,0.036661718,0.029268436,0.035710398,0.0259985,0.04036733,0.028420178,0.03300999,0.025969695,0.022085361,0.058888666,0.035225976,0.023698937,0.03952811,0.020969855,0.038135793,0.024776844,0.024859289,0.02309162,0.043680523,0.03394613,0.0198492,0.030956084,0.03734542,0.02030344,0.021665866,0.033040535,0.020447105,0.021185003,0.020687351,0.029002514,0.03670676,0.03429046,0.025348205,0.02041187,0.024568217,0.033839393,0.027436107,0.024472024,0.017050091,0.023634633,0.032402292,0.04307596,0.027301382,0.03580431,0.029565228,0.041244425,0.027347296,0.044990923,0.03233002,0.023106365,0.022269849,0.05215129,0.023295522,0.020503443,0.02483533,0.034852147,0.02781243,0.021674372,0.030314527,0.020278407,0.03224177,0.039458066,0.057645496,0.028662587,0.030964319,0.030861065,0.02422146,0.017497761,0.039855205,0.037581176,0.031550728,0.021461707,0.03874503,0.028999655
wt_5,9,0.7239553333333334,0.042267073,0.050700862,0.060983013,0.06815876,0.070240214,0.041203424,0.06488927,0.019502178,0.04655933,0.050282177,0.028340152,0.09613318,0.052453037,0.054409795,0.046683792,0.0539322,0.039945565,0.02143486,0.033612203,0.038161527,0.036111295,0.05291834,0.07135312,0.037383974,0.04130591,0.058024067,0.06985328,0.04993977,0.06717721,0.041841384,0.080588594,0.047793135,0.059742775,0.041758955,0.03278286,0.14078543,0.06582183,0.036432225,0.078121625,0.030337255,0.07404382,0.038936976,0.03913069,0.03504399,0.09056518,0.062293697,0.027942996,0.05428836,0.07181323,0.028905444,0.03185624,0.059831038,0.029211119,0.030804826,0.029728543,0.049255405,0.07000577,0.063225254,0.04028568,0.029136484,0.038450476,0.061995763,0.045339648,0.038219247,0.022254065,0.036282256,0.05811172,0.088769406,0.045012634,0.0674427,0.050689124,0.08321654,0.04511756,0.09459906,0.057928726,0.0350743,0.033196904,0.11779473,0.03550712,0.029330932,0.039071996,0.06478541,0.046266295,0.031875335,0.052627996,0.028850287,0.057699285,0.07791158,0.1365055,0.048403032,0.05431542,0.05404097,0.037639607,0.023135616,0.07908679,0.072478324,0.055857696,0.031407688,0.07582609,0.04925193
wt_5,24,0.91935,0.42814463,0.64943796,0.9762357,1.2400147,1.3032628,0.40289384,1.1238346,0.059035376,0.541219,0.64107114,0.15702762,2.1286583,0.71546894,0.766724,0.54444885,0.755399,0.3734267,0.07576269,0.24266365,0.3334305,0.2897153,0.7260294,1.3225785,0.3168687,0.4023987,0.878804,1.2806866,0.6361233,1.1933038,0.4188645,1.6285602,0.5739138,0.9335883,0.4114461,0.22769204,3.0239704,1.1437079,0.29785833,1.557661,0.18697299,1.3940282,0.35117528,0.35539922,0.26997,1.9073349,1.0257075,0.15128575,0.76168394,1.3624644,0.16507365,0.21182963,0.94133294,0.16942607,0.19456977,0.17766692,0.61124206,1.3126208,1.046145,0.38140044,0.16843492,0.3413318,1.0100636,0.50536305,0.3340968,0.08355403,0.29413828,0.8813364,1.9248774,0.49927074,1.2047914,0.6529529,1.7322671,0.49802795,1.9989232,0.88350797,0.26967433,0.23591366,2.7062414,0.2788272,0.17109087,0.35328713,1.1093208,0.5273619,0.2122316,0.7172538,0.16394755,0.88097364,1.5451785,3.0342095,0.59107715,0.76644856,0.7547789,0.32298434,0.092577375,1.5933572,1.3742808,0.8156679,0.20420162,1.4724033,0.6133248
