Treatments,Time,wt_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
wt_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_5,3,0.10899504333333300,0.014238038,0.013549721,0.018202294,0.014123446,0.017544765,0.013668301,0.016434103,0.015673755,0.012578815,0.018592402,0.014513804,0.021956088,0.014180236,0.012718207,0.012803213,0.022045543,0.01987167,0.014762782,0.011753511,0.011541567,0.021943262,0.019245658,0.013233281,0.017217068,0.015966175,0.011833085,0.01607699,0.0116497055,0.015938511,0.020017223,0.017674481,0.021826403,0.021150079,0.02073846,0.015064832,0.014360581,0.020102331,0.01920063,0.018360913,0.014743095,0.017367654,0.012615147,0.02272336,0.0148724625,0.021945704,0.015996998,0.02419952,0.025922295,0.015002387,0.014987284,0.016887179,0.020842278,0.01732652,0.013800719,0.017262457,0.015242348,0.014835661,0.023611132,0.014771353,0.021316458,0.017099487,0.014662355,0.015215577,0.015764039,0.013953083,0.015616083,0.014215974,0.014324167,0.027252737,0.029141009,0.012697244,0.020487428,0.01458508,0.02077739,0.01629625,0.01823084,0.01658632,0.011736985,0.018624496,0.010942576,0.015055368,0.026332764,0.017886253,0.012944352,0.0192559,0.015443806,0.015565381,0.0142722,0.016791597,0.014842132,0.015703782,0.01316759,0.016782666,0.01740649,0.015824178,0.013407223,0.016764432,0.017163752,0.0145238275,0.017815545
wt_5,6,0.6066233333333330,0.02026619,0.018354926,0.033099603,0.019941952,0.0307493,0.018676648,0.026985735,0.024552507,0.015819265,0.034521498,0.021055698,0.048093114,0.020100497,0.016171368,0.016389236,0.04845372,0.039418958,0.02178359,0.013813924,0.013319933,0.048025884,0.036971018,0.017506931,0.029604403,0.025476042,0.014001842,0.025832994,0.013571122,0.025384873,0.03999994,0.031205066,0.047529146,0.04462304,0.04290846,0.022686223,0.020613952,0.040352445,0.036811735,0.033671904,0.021725547,0.030125882,0.015912864,0.051476188,0.02210998,0.048019953,0.025575932,0.05833167,0.066874966,0.022496544,0.02244962,0.02849413,0.04335047,0.029992633,0.019042993,0.029765774,0.023222324,0.021998663,0.05556263,0.021809585,0.04531836,0.029211674,0.021493683,0.023139827,0.024836136,0.019462116,0.024371862,0.020202607,0.020511981,0.07388696,0.08425674,0.016117383,0.041885633,0.02126222,0.043087516,0.026536664,0.033196643,0.027485646,0.013774126,0.034639288,0.011973057,0.022651905,0.06896597,0.03194986,0.016752094,0.037016585,0.023836903,0.024212945,0.020364147,0.02816621,0.022019073,0.024646083,0.017334683,0.028132439,0.030269535,0.025029644,0.017971257,0.028079573,0.029428475,0.021082498,0.03169745
wt_5,9,0.7239553333333330,0.028834464,0.024855843,0.060081188,0.028147157,0.053791996,0.025509724,0.044252347,0.038426206,0.0198891,0.063939065,0.030526605,0.10480302,0.028477589,0.020555805,0.020974655,0.10579497,0.07792335,0.03212085,0.016234726,0.015371233,0.10451995,0.07077099,0.023151934,0.050791338,0.040609974,0.016567595,0.041473296,0.01580883,0.040382393,0.07965747,0.054989446,0.10298266,0.09366429,0.08835559,0.03414365,0.029572602,0.08076929,0.07037587,0.061614826,0.031992562,0.052143592,0.020070504,0.11580576,0.032849677,0.10440429,0.04085382,0.13929011,0.17043018,0.033710647,0.033600096,0.04801198,0.08978151,0.051833898,0.026270883,0.05122641,0.03535563,0.032596044,0.12973653,0.032180265,0.09580619,0.049823295,0.031497527,0.03516421,0.039093662,0.027133161,0.03800212,0.028696634,0.029360149,0.1975598,0.23826227,0.020451315,0.085269034,0.030974535,0.08900079,0.043158937,0.06031607,0.045478635,0.016162703,0.064260095,0.013099449,0.03404873,0.17810799,0.056938086,0.021673933,0.070929855,0.03675753,0.03762819,0.029045364,0.04716328,0.03264489,0.038644362,0.022813842,0.04706471,0.052550804,0.03956323,0.024081616,0.046961915,0.05036653,0.030578494,0.05626429
wt_5,24,0.91935,0.16549322,0.11195608,1.0328846,0.15555431,0.77828455,0.11962736,0.48651677,0.3451557,0.062035836,1.1478472,0.1906566,2.8752413,0.1594483,0.067645885,0.071533926,2.6072004,1.7098641,0.21752617,0.036358513,0.03141185,2.7549644,1.358521,0.09256675,0.65775573,0.3970283,0.038400713,0.42233682,0.033881415,0.38738787,1.806887,0.82007986,2.8087084,2.2674701,2.0503883,0.25702062,0.17561488,1.95483,1.4080409,1.0688262,0.21524687,0.70483035,0.06388091,3.0594258,0.23178925,2.571881,0.40522218,3.588681,4.3217945,0.24704447,0.2436438,0.5992434,2.2060575,0.7188641,0.13029425,0.68420565,0.28023648,0.22571248,3.550819,0.21903567,2.2971776,0.6502995,0.21000762,0.27536288,0.36093435,0.14049967,0.33502847,0.16301873,0.17352055,4.9507923,4.3448343,0.06661442,1.9772161,0.19764747,2.2269201,0.45913437,1.0142416,0.5175795,0.035849817,1.1552091,0.020501912,0.25060102,4.2004566,0.8692767,0.07795712,1.3971287,0.30697703,0.3255213,0.1690034,0.5600697,0.22742945,0.34960496,0.089287706,0.5498451,0.74223465,0.37695137,0.10304608,0.562538,0.6605558,0.19022416,0.8437868
wt_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
wt_6,3,0.1903962233333330,0.031214977,0.0281222,0.031438727,0.029267259,0.02771809,0.029728545,0.032769006,0.029510992,0.028858218,0.02806694,0.030177107,0.030453973,0.035151325,0.031098137,0.030055372,0.02963823,0.030142395,0.029301273,0.030035285,0.031453885,0.031096656,0.029091943,0.03396644,0.02976953,0.027871381,0.030706054,0.02938396,0.029888477,0.031242035,0.028167391,0.033161778,0.030425299,0.029499296,0.028758693,0.0321216,0.031170743,0.02904819,0.03165239,0.034653444,0.03345802,0.029657159,0.030408889,0.035307415,0.031059965,0.029867103,0.031057026,0.031852778,0.031247728,0.030431503,0.02968769,0.03082165,0.031791702,0.03182319,0.031865705,0.033115335,0.02785722,0.03121872,0.030534822,0.031659648,0.032642394,0.030199118,0.028334966,0.03060846,0.031425297,0.030220108,0.032987744,0.028974682,0.030791255,0.028898235,0.032738086,0.03012924,0.03335714,0.032255143,0.030592833,0.028385377,0.030499764,0.03416402,0.03253435,0.028893266,0.030732132,0.03414888,0.027111165,0.029664157,0.032303672,0.029200671,0.031502582,0.031745907,0.032092314,0.02921481,0.03301903,0.03199732,0.03108963,0.03215255,0.029173959,0.032515224,0.03166778,0.031858355,0.031312756,0.02963676,0.032129847
wt_6,6,1.0495600000000000,0.09643857,0.07847509,0.097775534,0.084946014,0.076298565,0.08759789,0.10610413,0.08634372,0.08259179,0.07817093,0.09022151,0.09184459,0.12180306,0.09571892,0.08954381,0.08707581,0.09003101,0.0850842,0.08938582,0.0979028,0.095696755,0.08390462,0.1138764,0.0878281,0.077109754,0.09332435,0.0856031,0.08847319,0.09659547,0.07872865,0.10855361,0.09166743,0.086239,0.08203558,0.10200115,0.09615189,0.08367017,0.099054076,0.11832482,0.11052816,0.087172374,0.091565296,0.122813195,0.09547457,0.08840386,0.09546024,0.10033075,0.096671484,0.0917357,0.08731259,0.09403804,0.0999644,0.10015328,0.10046592,0.10832777,0.07703015,0.09643286,0.09236402,0.09913671,0.10527456,0.09033389,0.079634935,0.09277281,0.09773217,0.090448335,0.10750252,0.083287954,0.093927026,0.0828067,0.10590014,0.08990691,0.109840065,0.10282678,0.09272737,0.07994223,0.09210885,0.115181215,0.10460565,0.0827967,0.093514696,0.11497742,0.07299553,0.087222315,0.103178814,0.08455366,0.09818795,0.09968664,0.1018434,0.08462911,0.10767554,0.10122869,0.095674686,0.10216773,0.084408015,0.10448409,0.09916597,0.10038702,0.09702801,0.08702908,0.102083765
wt_6,9,1.7338386666666700,0.2888476,0.21438734,0.29428467,0.24077263,0.20611994,0.2515958,0.33088744,0.24647754,0.2309429,0.21318403,0.26249617,0.26915222,0.4023334,0.2856607,0.2600423,0.2494586,0.26183853,0.24080704,0.25898975,0.29519683,0.2854272,0.23614585,0.36596507,0.25246897,0.20909603,0.27515075,0.24334876,0.2546774,0.28943172,0.21542777,0.34104335,0.26833868,0.24569173,0.22874358,0.31262296,0.28742874,0.2353275,0.29943928,0.38485956,0.350563,0.24973042,0.2678625,0.40635812,0.28448185,0.25492483,0.28445247,0.30537266,0.29019624,0.2689409,0.24995793,0.27837873,0.30390948,0.30466545,0.3065511,0.34086317,0.2087632,0.28852195,0.27172184,0.3001952,0.32694215,0.262797,0.21884094,0.27314222,0.2945073,0.26318103,0.33711553,0.23410015,0.27863675,0.23170896,0.32990506,0.2608613,0.3470814,0.31611744,0.27343652,0.22030705,0.27018476,0.3719045,0.32416052,0.23183464,0.27630264,0.3697522,0.19297531,0.25002566,0.31818357,0.2390607,0.29628223,0.3027646,0.3122003,0.23932235,0.33757222,0.30928215,0.28554258,0.3130581,0.2385292,0.32361257,0.300108,0.30584785,0.2913044,0.24890085,0.3133226
wt_6,24,2.650873666666670,4.229125,3.889786,4.062107,4.105673,3.998303,4.0835304,4.1696744,4.108241,3.978855,3.8500438,4.1034546,4.063766,4.309283,4.152394,4.296244,4.1172347,4.1855955,3.8650627,4.0950785,4.233719,4.0563517,3.8625946,4.2754283,4.020833,3.8871026,3.989134,4.046698,3.8421354,4.0902624,3.8612597,4.01292,4.0307417,3.9495063,3.9770772,4.1417384,4.060498,3.947169,3.9665048,3.9872408,4.205639,4.065342,4.0129046,4.171121,4.1095314,4.060399,4.054274,4.1018786,4.3545775,4.1841536,3.9140375,4.0570326,4.106516,4.114588,4.26765,4.2158647,3.8678544,4.0505733,4.169638,4.0880585,4.1148324,4.063589,3.7789197,4.075592,4.2022967,3.9844308,4.203054,4.100212,4.330656,3.9110641,4.176842,3.9779036,4.1019673,4.037029,4.317309,3.9290197,4.0468693,4.278199,4.1571016,4.0158744,4.139674,4.044651,3.7304802,4.0588503,4.275447,4.0398235,4.1435122,4.136037,4.1191716,4.086629,4.1002235,4.1183543,4.1153975,4.027798,4.058751,4.099397,4.049418,4.153033,4.098972,3.9366746,4.240233
